,en,es,ar,cs,de,id,ko,ja,lv,nl,it
0,"[0.29744789004325867, 0.2573990821838379, 0.21364657580852509, 0.1352793276309967, 0.09622712433338165]&['Previous  fractures', 'BMI', 'Recent physical activity', 'Medication use', 'Family history']","[0.4479089081287384, 0.1434074193239212, 0.14222031831741333, 0.1415092647075653, 0.12495408952236176]&['Previous  fractures', 'Recent physical activity', 'Family history', 'Medication use', 'BMI']","[0.47963008284568787, 0.1702233999967575, 0.1290893256664276, 0.11890021711587906, 0.10215691477060318]&['Previous  fractures', 'BMI', 'Medication use', 'Family history', 'Recent physical activity']","[0.42352595925331116, 0.17270894348621368, 0.14445801079273224, 0.14212176203727722, 0.1171853169798851]&['Previous  fractures', 'BMI', 'Recent physical activity', 'Family history', 'Medication use']","[0.5054642558097839, 0.15366137027740479, 0.1258370727300644, 0.11417493969202042, 0.10086233168840408]&['Previous  fractures', 'Recent physical activity', 'Family history', 'BMI', 'Medication use']","[0.45101234316825867, 0.16027003526687622, 0.13760173320770264, 0.12841598689556122, 0.12269986420869827]&['Previous  fractures', 'BMI', 'Family history', 'Recent physical activity', 'Medication use']","[0.47784098982810974, 0.19735391438007355, 0.12071920186281204, 0.11918123066425323, 0.0849047377705574]&['Previous  fractures', 'Recent physical activity', 'Medication use', 'BMI', 'Family history']","[0.5155156850814819, 0.169772207736969, 0.1210177019238472, 0.0994761660695076, 0.09421828389167786]&['Previous  fractures', 'Recent physical activity', 'Family history', 'BMI', 'Medication use']","[0.525981605052948, 0.14241257309913635, 0.1241573914885521, 0.11421219259500504, 0.09323619306087494]&['Previous  fractures', 'Recent physical activity', 'BMI', 'Family history', 'Medication use']","[0.42270758748054504, 0.18710337579250336, 0.14922961592674255, 0.12325114756822586, 0.11770833283662796]&['Previous  fractures', 'BMI', 'Family history', 'Recent physical activity', 'Medication use']","[0.45671385526657104, 0.1887088567018509, 0.14658279716968536, 0.11589697748422623, 0.09209754317998886]&['Previous  fractures', 'BMI', 'Family history', 'Medication use', 'Recent physical activity']"
1,"[0.9163400530815125, 0.0379125215113163, 0.03399666026234627, 0.011750808916985989]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.37222185730934143, 0.25630536675453186, 0.24390922486782074, 0.12756352126598358]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration']","[0.48024389147758484, 0.19551320374011993, 0.1782570630311966, 0.14598579704761505]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.4911666512489319, 0.24039530754089355, 0.17489081621170044, 0.09354720264673233]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.34252509474754333, 0.26052799820899963, 0.20764777064323425, 0.18929913640022278]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.4957142770290375, 0.28144586086273193, 0.14357681572437286, 0.07926303148269653]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.3488418161869049, 0.2519764304161072, 0.24443165957927704, 0.15475009381771088]&['Increased total lung capacity', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.29517874121665955, 0.26106634736061096, 0.24965135753154755, 0.19410352408885956]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.4962129294872284, 0.3240700662136078, 0.09503913670778275, 0.08467786759138107]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration']","[0.3886509835720062, 0.3005150258541107, 0.16177859902381897, 0.14905542135238647]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration']","[0.3398403227329254, 0.31178128719329834, 0.19580067694187164, 0.1525777280330658]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']"
2,"[0.4489474892616272, 0.21132729947566986, 0.16519872844219208, 0.1034604012966156, 0.07106607407331467]&['Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Nucleolar protein', 'Phospholipid', 'Collagen']","[0.33641257882118225, 0.24456307291984558, 0.18226028978824615, 0.123929463326931, 0.11283458769321442]&['Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm', 'Collagen', 'Phospholipid']","[0.3783583343029022, 0.25496357679367065, 0.14691179990768433, 0.14097926020622253, 0.07878711074590683]&['Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm', 'Collagen', 'Phospholipid']","[0.31033337116241455, 0.264758825302124, 0.216762974858284, 0.14712513983249664, 0.061019718647003174]&['Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm', 'Collagen', 'Phospholipid']","[0.23934265971183777, 0.23255965113639832, 0.2085699737071991, 0.1638498455286026, 0.15567782521247864]&['Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Phospholipid', 'Collagen', 'Nucleolar protein']","[0.3847648501396179, 0.23474103212356567, 0.14674144983291626, 0.12499938160181046, 0.10875330865383148]&['Double -stranded DNA', 'Nucleolar protein', 'Collagen', 'Proteins in neutrophil cytoplasm', 'Phospholipid']","[0.39074385166168213, 0.2853167951107025, 0.16213685274124146, 0.0835198238492012, 0.07828264683485031]&['Nucleolar protein', 'Double -stranded DNA', 'Collagen', 'Phospholipid', 'Proteins in neutrophil cytoplasm']","[0.32657840847969055, 0.25384312868118286, 0.16013021767139435, 0.1325584203004837, 0.12688982486724854]&['Double -stranded DNA', 'Nucleolar protein', 'Collagen', 'Phospholipid', 'Proteins in neutrophil cytoplasm']","[0.3124839961528778, 0.24622130393981934, 0.17853675782680511, 0.1723751723766327, 0.09038279205560684]&['Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm', 'Collagen', 'Phospholipid']","[0.35119813680648804, 0.21442367136478424, 0.16742010414600372, 0.1615755558013916, 0.1053825169801712]&['Double -stranded DNA', 'Nucleolar protein', 'Collagen', 'Proteins in neutrophil cytoplasm', 'Phospholipid']","[0.3067275583744049, 0.23387548327445984, 0.18462838232517242, 0.16009175777435303, 0.114676833152771]&['Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm', 'Collagen', 'Phospholipid']"
3,"[0.29043450951576233, 0.26373153924942017, 0.2569592297077179, 0.18887466192245483]&['Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent']","[0.2876885235309601, 0.2734537720680237, 0.2630934417247772, 0.17576421797275543]&['Failure of the kidneys to rotate 90 degrees medially', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally']","[0.5433295965194702, 0.23455584049224854, 0.16889835894107819, 0.05321614071726799]&['Failure of the kidneys to rotate 90 degrees medially', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent']","[0.6229476928710938, 0.17056232690811157, 0.1349325329065323, 0.0715574398636818]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent']","[0.5816075205802917, 0.15784263610839844, 0.13862890005111694, 0.12192100286483765]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent']","[0.47564730048179626, 0.20114855468273163, 0.1772097796201706, 0.1459943652153015]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']","[0.3554583489894867, 0.3127477765083313, 0.2188228964805603, 0.11297104507684708]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent']","[0.4418792724609375, 0.2761005163192749, 0.19015543162822723, 0.09186476469039917]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent']","[0.5484979748725891, 0.17126023769378662, 0.16965018212795258, 0.11059160530567169]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent']","[0.36591991782188416, 0.29374703764915466, 0.24973070621490479, 0.09060230851173401]&['Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent']","[0.5399990081787109, 0.179115429520607, 0.16696777939796448, 0.11391788721084595]&['Failure of the kidneys to rotate 90 degrees medially', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent']"
4,"[0.30884894728660583, 0.3037249445915222, 0.25477439165115356, 0.07873795181512833, 0.05391372740268707]&['Increased alcohol intake  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes']","[0.30405962467193604, 0.28807610273361206, 0.14134155213832855, 0.13403119146823883, 0.13249152898788452]&['Decreased protein binding  ', 'Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ']","[0.2496785968542099, 0.23779048025608063, 0.19251810014247894, 0.16988852620124817, 0.15012429654598236]&['Decreased protein binding  ', 'Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Induction of cytochrome enzymes']","[0.2915797233581543, 0.22533902525901794, 0.20890991389751434, 0.1391226053237915, 0.1350487470626831]&['Decreased protein binding  ', 'Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']","[0.2776188552379608, 0.26928046345710754, 0.15892934799194336, 0.15379106998443604, 0.14038030803203583]&['Decreased protein binding  ', 'Induction of cytochrome enzymes', 'Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Eradication of gut flora  ']","[0.29693567752838135, 0.22125054895877838, 0.19511309266090393, 0.146406352519989, 0.14029428362846375]&['Decreased protein binding  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes']","[0.24702079594135284, 0.2266377955675125, 0.18507252633571625, 0.1738366037607193, 0.1674322634935379]&['Decreased protein binding  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes']","[0.30437225103378296, 0.22807838022708893, 0.21136918663978577, 0.15374934673309326, 0.1024308055639267]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ']","[0.4299473166465759, 0.2487390637397766, 0.129847452044487, 0.096306711435318, 0.09515949338674545]&['Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']","[0.24249941110610962, 0.23145274817943573, 0.22769898176193237, 0.1713351607322693, 0.12701372802257538]&['Decreased protein binding  ', 'Induction of cytochrome enzymes', 'Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Eradication of gut flora  ']","[0.2586090564727783, 0.23481278121471405, 0.19243571162223816, 0.16353829205036163, 0.15060420334339142]&['Decreased protein binding  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes', 'Increased alcohol intake  ', 'Increased vegetable consumption  ']"
5,"[0.44211211800575256, 0.19311834871768951, 0.1671401560306549, 0.10962680727243423, 0.08800256252288818]&['Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis', 'HIV infection  ']","[0.3798982799053192, 0.21857593953609467, 0.16977916657924652, 0.14755401015281677, 0.0841926634311676]&['Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.3755706250667572, 0.2674258351325989, 0.1602771133184433, 0.15264517068862915, 0.044081222265958786]&['HIV infection  ', 'Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.4655180275440216, 0.2015009969472885, 0.1829582005739212, 0.11063940078020096, 0.03938346728682518]&['Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ', 'Streptococcal pharyngitis']","[0.40337327122688293, 0.25612953305244446, 0.14817768335342407, 0.1216503158211708, 0.07066923379898071]&['HIV infection  ', 'Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.26936033368110657, 0.25942301750183105, 0.2002445012331009, 0.16745243966579437, 0.10351968556642532]&['Epstein -Barr virus infection  ', 'HIV infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.37799951434135437, 0.26269546151161194, 0.18857130408287048, 0.132319375872612, 0.038414355367422104]&['Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.41890883445739746, 0.20922335982322693, 0.1735786497592926, 0.11205712705850601, 0.08623208850622177]&['Epstein -Barr virus infection  ', 'HIV infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.3202236294746399, 0.21378567814826965, 0.1846812665462494, 0.16539005935192108, 0.11591937392950058]&['HIV infection  ', 'Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.32421666383743286, 0.22873979806900024, 0.21511970460414886, 0.11683729290962219, 0.11508651822805405]&['Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.32684391736984253, 0.2251264452934265, 0.2124776989221573, 0.1465563029050827, 0.08899565041065216]&['HIV infection  ', 'Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']"
6,"[0.4008572995662689, 0.2918473482131958, 0.1387161761522293, 0.12034913897514343, 0.048229996114969254]&['Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment']","[0.30624160170555115, 0.23910123109817505, 0.23037025332450867, 0.1426662653684616, 0.08162068575620651]&['Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Arteriovenous nicking  ', 'Tractional retinal detachment']","[0.3775029480457306, 0.23869648575782776, 0.16689257323741913, 0.16483448445796967, 0.05207351967692375]&['Optic neuritis  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Posterior subcapsular cataracts  ', 'Tractional retinal detachment']","[0.45908182859420776, 0.1986614167690277, 0.16608455777168274, 0.14088863134384155, 0.035283513367176056]&['Optic neuritis  ', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment']","[0.24099400639533997, 0.23758883774280548, 0.20700912177562714, 0.17921848595142365, 0.13518954813480377]&['Melanocytes in the uvea  ', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Tractional retinal detachment']","[0.3721786141395569, 0.21345624327659607, 0.177525594830513, 0.15684786438941956, 0.07999163866043091]&['Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Arteriovenous nicking  ', 'Tractional retinal detachment']","[0.31013044714927673, 0.2423190325498581, 0.1827954649925232, 0.1732027381658554, 0.09155231714248657]&['Melanocytes in the uvea  ', 'Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.2521090805530548, 0.24616055190563202, 0.23295268416404724, 0.22796614468097687, 0.04081149399280548]&['Melanocytes in the uvea  ', 'Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.29258421063423157, 0.270541787147522, 0.23763203620910645, 0.1301850825548172, 0.06905685365200043]&['Posterior subcapsular cataracts  ', 'Optic neuritis  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment']","[0.5255874991416931, 0.18092192709445953, 0.11908919364213943, 0.10900314897298813, 0.06539815664291382]&['Optic neuritis  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Posterior subcapsular cataracts  ', 'Tractional retinal detachment']","[0.3589794337749481, 0.2138146460056305, 0.21130932867527008, 0.12428193539381027, 0.09161467105150223]&['Optic neuritis  ', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment']"
7,"[0.5191454887390137, 0.22433137893676758, 0.1493491530418396, 0.08364374935626984, 0.023530229926109314]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole']","[0.40255704522132874, 0.17326030135154724, 0.15509648621082306, 0.14098015427589417, 0.12810596823692322]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole', 'Refer the patient to a gastroenterologist  ']","[0.3770682215690613, 0.18781273066997528, 0.1753210872411728, 0.14865241944789886, 0.1111454889178276]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ']","[0.41927778720855713, 0.23992106318473816, 0.1823531538248062, 0.12257597595453262, 0.03587203845381737]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Switch the omeprazole to pantoprazole']","[0.4231274127960205, 0.1899440437555313, 0.15540404617786407, 0.14653286337852478, 0.08499166369438171]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Order an upper endoscopy  ', 'Switch the omeprazole to pantoprazole', 'Refer the patient to a gastroenterologist  ']","[0.383916974067688, 0.18422257900238037, 0.17626351118087769, 0.14097517728805542, 0.11462175846099854]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Order an upper endoscopy  ', 'Switch the omeprazole to pantoprazole', 'Refer the patient to a gastroenterologist  ']","[0.35042718052864075, 0.1789311319589615, 0.1750386655330658, 0.15790285170078278, 0.1377001404762268]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ']","[0.42853155732154846, 0.1564193218946457, 0.15354974567890167, 0.14911462366580963, 0.11238480359315872]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Order an upper endoscopy  ', 'Switch the omeprazole to pantoprazole', 'Refer the patient to a gastroenterologist  ']","[0.3911385238170624, 0.21531887352466583, 0.1661628633737564, 0.1532210260629654, 0.07415876537561417]&['Ask the patient how much he is eating and drinking during the holidays  ', 'Order an upper endoscopy  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole']","[0.2694791257381439, 0.2443535178899765, 0.17441459000110626, 0.15712767839431763, 0.15462510287761688]&['Switch the omeprazole to pantoprazole', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ']","[0.40288060903549194, 0.20307627320289612, 0.18361052870750427, 0.11123472452163696, 0.0991978794336319]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Order an upper endoscopy  ', 'Switch the omeprazole to pantoprazole', 'Refer the patient to a gastroenterologist  ']"
8,"[0.49011895060539246, 0.18035678565502167, 0.15619173645973206, 0.09865522384643555, 0.07467730343341827]&['Methionine  ', 'Glutamine  ', 'Cysteine  ', 'Phenylalanine  ', 'Tyrosine']","[0.3620050847530365, 0.21900363266468048, 0.19927960634231567, 0.14530445635318756, 0.07440721243619919]&['Methionine  ', 'Phenylalanine  ', 'Cysteine  ', 'Glutamine  ', 'Tyrosine']","[0.43140554428100586, 0.22995373606681824, 0.12545916438102722, 0.11016923934221268, 0.10301235318183899]&['Methionine  ', 'Cysteine  ', 'Phenylalanine  ', 'Tyrosine', 'Glutamine  ']","[0.4381222426891327, 0.3997810482978821, 0.07412710785865784, 0.07403146475553513, 0.013938109390437603]&['Phenylalanine  ', 'Methionine  ', 'Cysteine  ', 'Glutamine  ', 'Tyrosine']","[0.44723114371299744, 0.19830094277858734, 0.15963326394557953, 0.12089675664901733, 0.07393793761730194]&['Methionine  ', 'Cysteine  ', 'Phenylalanine  ', 'Glutamine  ', 'Tyrosine']","[0.46212238073349, 0.22198645770549774, 0.1722729653120041, 0.10156118869781494, 0.042056988924741745]&['Methionine  ', 'Phenylalanine  ', 'Cysteine  ', 'Glutamine  ', 'Tyrosine']","[0.27130430936813354, 0.27082133293151855, 0.21934406459331512, 0.15763996541500092, 0.08089030534029007]&['Methionine  ', 'Tyrosine', 'Glutamine  ', 'Phenylalanine  ', 'Cysteine  ']","[0.5168898105621338, 0.1619524210691452, 0.1545153558254242, 0.11677546799182892, 0.04986697807908058]&['Methionine  ', 'Cysteine  ', 'Phenylalanine  ', 'Glutamine  ', 'Tyrosine']","[0.6148868799209595, 0.2565985918045044, 0.051880594342947006, 0.048377010971307755, 0.028256913647055626]&['Methionine  ', 'Phenylalanine  ', 'Cysteine  ', 'Glutamine  ', 'Tyrosine']","[0.5070607662200928, 0.19723013043403625, 0.13677290081977844, 0.10348434746265411, 0.05545181408524513]&['Methionine  ', 'Tyrosine', 'Phenylalanine  ', 'Cysteine  ', 'Glutamine  ']","[0.5662533640861511, 0.1621396690607071, 0.1481410562992096, 0.0768468901515007, 0.04661903902888298]&['Methionine  ', 'Phenylalanine  ', 'Cysteine  ', 'Glutamine  ', 'Tyrosine']"
9,"[0.2934701442718506, 0.2560611665248871, 0.17243604362010956, 0.08829758316278458, 0.08805014938116074, 0.05686313658952713, 0.04482176527380943]&['Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Superior vena cava', 'Middle colic artery  ', 'Left colic vein  ', 'Pulmonary vein  ']","[0.40752002596855164, 0.2348954975605011, 0.13789433240890503, 0.11100301146507263, 0.0439370758831501, 0.033446818590164185, 0.03130326792597771]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Superior vena cava', 'Left colic vein  ']","[0.4137338101863861, 0.22822733223438263, 0.14871425926685333, 0.09125704318284988, 0.05164186283946037, 0.03358093276619911, 0.032844725996255875]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Left colic vein  ', 'Superior vena cava', 'Middle colic artery  ']","[0.3261241912841797, 0.20026640594005585, 0.18681034445762634, 0.10505091398954391, 0.08791247755289078, 0.07409396022558212, 0.019741617143154144]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Superior vena cava', 'Left colic vein  ', 'Pulmonary vein  ', 'Middle colic artery  ']","[0.3046867549419403, 0.22426851093769073, 0.18532916903495789, 0.14233434200286865, 0.06422095745801926, 0.048179991543293, 0.03098033182322979]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Superior vena cava', 'Middle colic artery  ', 'Left colic vein  ']","[0.3105836510658264, 0.26622360944747925, 0.16073887050151825, 0.12686626613140106, 0.05424201115965843, 0.043423496186733246, 0.03792216628789902]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Superior vena cava', 'Left colic vein  ']","[0.35290810465812683, 0.19898617267608643, 0.18777835369110107, 0.08983785659074783, 0.07310029119253159, 0.07002609223127365, 0.027363205328583717]&['Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Left colic vein  ', 'Superior vena cava', 'Middle colic artery  ']","[0.46484407782554626, 0.20093879103660583, 0.1410633772611618, 0.09394156187772751, 0.040127743035554886, 0.03367764875292778, 0.02540675364434719]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Superior vena cava', 'Left colic vein  ', 'Middle colic artery  ']","[0.21972399950027466, 0.19846457242965698, 0.15280425548553467, 0.136201873421669, 0.13592760264873505, 0.07895107567310333, 0.07792657613754272]&['Inferior vena cava  ', 'Superior mesenteric artery  ', 'Inferior mesenteric vein  ', 'Pulmonary vein  ', 'Left colic vein  ', 'Superior vena cava', 'Middle colic artery  ']","[0.32607707381248474, 0.28173476457595825, 0.20586039125919342, 0.07014884054660797, 0.05415533483028412, 0.0379013791680336, 0.024122130125761032]&['Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Left colic vein  ', 'Pulmonary vein  ', 'Superior vena cava', 'Middle colic artery  ']","[0.3446199893951416, 0.21123288571834564, 0.19980719685554504, 0.11296206712722778, 0.04786721244454384, 0.04748494550585747, 0.03602571412920952]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Superior vena cava', 'Left colic vein  ']"
