,Phi-3-medium-4k-instruct,Phi-3-medium-4k-instruct (Revised % Concordant),Chocolatine-14B-Instruct-DPO-v1.2,Chocolatine-14B-Instruct-DPO-v1.2 (Revised % Concordant),Qwen2.5-32B,Qwen2.5-32B (Revised % Concordant),lambda-qwen2.5-32b-dpo-test,lambda-qwen2.5-32b-dpo-test (Revised % Concordant),franqwenstein-35b,franqwenstein-35b (Revised % Concordant),Yi-1.5-34B-Chat,Yi-1.5-34B-Chat (Revised % Concordant),qwen-carpmuscle-v0.1,qwen-carpmuscle-v0.1 (Revised % Concordant)
0,D,0.2,D,0.1,E,0.2,A,0.3,A,0.3,C,0.3,B,0.2
1,A,0.2,D,0.2,C,0.2,B,0.1,D,0.1,A,0.3,D,0.2
2,E,0.1,E,0.3,B,0.2,D,0.2,A,0.1,C,0.3,A,0.2
3,D,0.2,C,0.3,B,0.3,A,0.3,D,0.2,D,0.3,C,0.2
4,C,0.2,C,0.3,A,0.2,A,0.2,E,0.1,D,0.2,B,0.2
5,E,0.4,B,0.3,D,0.2,C,0.2,A,0.2,D,0.2,D,0.1
6,E,0.3,C,0.3,A,0.1,A,0.3,E,0.1,C,0.3,B,0.1
7,C,0.2,B,0.3,C,0.2,D,0.2,E,0.2,E,0.2,C,0.1
8,C,0.4,C,0.2,C,0.1,C,0.3,E,0.1,B,0.3,B,0.3
9,F,0.2,B,0.2,A,0.3,E,0.4,G,0.1,F,0.5,F,0.1
10,A,0.3,F,0.2,A,0.2,F,0.2,F,0.2,C,0.4,E,0.2
11,D,0.2,E,0.1,C,0.2,C,0.3,D,0.3,A,0.3,D,0.2
12,D,0.3,C,0.3,A,0.1,C,0.2,B,0.1,D,0.3,A,0.1
13,E,0.1,A,0.3,A,0.2,C,0.3,E,0.1,C,0.5,B,0.3
14,A,0.3,C,0.2,C,0.1,E,0.1,E,0.1,A,0.2,E,0.1
15,D,0.2,D,0.2,B,0.3,C,0.1,E,0.1,C,0.3,A,0.1
16,E,0.4,E,0.2,E,0.2,D,0.2,E,0.1,C,0.2,A,0.2
17,E,0.3,D,0.3,C,0.2,A,0.1,E,0.1,D,0.2,D,0.3
18,D,0.3,B,0.1,A,0.1,D,0.2,C,0.1,A,0.3,B,0.3
19,C,0.1,D,0.3,A,0.3,B,0.3,E,0.1,C,0.4,C,0.1
20,E,0.4,B,0.3,C,0.4,B,0.3,E,0.2,D,0.3,D,0.3
21,C,0.3,E,0.4,C,0.3,E,0.3,E,0.1,C,0.4,C,0.3
22,B,0.3,E,0.2,E,0.1,C,0.3,E,0.1,F,0.2,E,0.1
23,E,0.2,B,0.1,B,0.2,D,0.2,A,0.1,E,0.2,B,0.1
24,B,0.3,C,0.4,A,0.2,C,0.3,E,0.2,A,0.2,A,0.1
25,D,0.2,B,0.3,A,0.2,A,0.1,E,0.1,B,0.2,E,0.1
26,B,0.4,C,0.1,C,0.1,C,0.3,E,0.1,C,0.3,A,0.2
27,D,0.3,B,0.3,D,0.2,D,0.3,C,0.2,E,0.3,C,0.2
28,D,0.2,A,0.1,C,0.2,B,0.3,E,0.1,B,0.2,B,0.2
29,A,0.1,E,0.2,A,0.1,E,0.4,C,0.1,B,0.2,E,0.3
30,B,0.3,A,0.3,A,0.1,D,0.1,D,0.1,A,0.4,D,0.1
31,A,0.3,C,0.2,B,0.1,C,0.2,E,0.1,C,0.5,D,0.1
32,F,0.4,E,0.2,E,0.2,A,0.2,F,0.1,D,0.3,B,0.3
33,E,0.2,C,0.2,A,0.2,C,0.5,E,0.3,A,0.4,B,0.3
34,A,0.4,C,0.2,D,0.1,A,0.2,A,0.1,A,0.2,D,0.1
35,C,0.4,C,0.2,C,0.1,C,0.1,C,0.1,D,0.2,A,0.1
36,A,0.4,D,0.3,B,0.3,C,0.1,C,0.2,A,0.3,C,0.1
37,A,0.1,A,0.3,D,0.2,B,0.1,E,0.1,C,0.1,C,0.2
38,E,0.2,D,0.3,A,0.1,D,0.2,E,0.1,B,0.2,C,0.1
39,E,0.3,A,0.2,C,0.2,C,0.2,E,0.1,D,0.4,B,0.1
40,C,0.3,D,0.2,B,0.2,B,0.2,D,0.1,E,0.2,E,0.1
41,B,0.4,A,0.1,C,0.1,C,0.1,D,0.1,A,0.3,A,0.1
42,D,0.3,C,0.3,B,0.2,C,0.1,D,0.1,A,0.3,A,0.2
43,A,0.2,C,0.4,B,0.1,E,0.1,C,0.1,E,0.3,E,0.3
44,A,0.3,D,0.3,A,0.2,A,0.2,D,0.1,A,0.2,A,0.2
45,E,0.1,A,0.2,E,0.1,E,0.1,B,0.3,E,0.1,E,0.2
46,D,0.2,C,0.3,D,0.1,B,0.4,E,0.1,C,0.3,A,0.2
47,B,0.3,E,0.3,A,0.2,E,0.1,A,0.1,E,0.2,E,0.1
48,C,0.3,B,0.2,D,0.2,E,0.2,C,0.1,C,0.3,E,0.3
49,B,0.3,A,0.3,A,0.2,D,0.2,B,0.1,C,0.4,A,0.2
50,B,0.2,D,0.2,A,0.3,A,0.2,B,0.4,B,0.2,A,0.2
51,B,0.4,D,0.4,A,0.1,B,0.5,A,0.1,E,0.3,D,0.1
52,C,0.2,A,0.3,B,0.1,E,0.1,E,0.1,D,0.3,D,0.2
53,D,0.2,E,0.2,C,0.2,D,0.2,E,0.1,B,0.4,B,0.1
54,C,0.2,E,0.2,C,0.2,C,0.2,D,0.1,C,0.3,A,0.1
55,A,0.2,D,0.2,E,0.1,E,0.1,E,0.1,E,0.1,B,0.1
56,A,0.2,B,0.2,C,0.3,D,0.2,E,0.2,E,0.1,D,0.1
57,E,0.3,B,0.4,D,0.2,C,0.3,E,0.3,D,0.3,D,0.1
58,E,0.3,D,0.4,D,0.4,E,0.1,B,0.4,D,0.4,C,0.2
59,A,0.3,C,0.1,B,0.1,A,0.3,C,0.1,D,0.1,D,0.1
60,E,0.3,B,0.3,A,0.1,D,0.1,D,0.1,D,0.4,C,0.1
61,C,0.2,E,0.1,C,0.2,F,0.2,F,0.1,A,0.4,D,0.3
62,E,0.3,A,0.3,D,0.1,B,0.3,E,0.1,D,0.3,B,0.1
63,A,0.3,B,0.2,B,0.4,D,0.3,C,0.1,E,0.2,A,0.1
64,B,0.2,C,0.2,D,0.1,D,0.3,E,0.2,C,0.3,D,0.2
65,D,0.3,B,0.3,C,0.2,C,0.1,A,0.1,C,0.4,C,0.1
66,B,0.1,A,0.3,C,0.1,A,0.3,E,0.1,A,0.2,C,0.1
67,C,0.4,E,0.2,C,0.1,G,0.2,G,0.1,F,0.3,D,0.2
68,B,0.2,D,0.1,B,0.2,D,0.2,E,0.1,C,0.1,B,0.2
69,E,0.2,D,0.2,A,0.1,D,0.2,E,0.1,A,0.5,E,0.3
70,E,0.2,C,0.1,B,0.2,D,0.4,D,0.1,A,0.2,A,0.2
71,H,0.2,E,0.3,F,0.3,G,0.2,D,0.1,E,0.2,B,0.1
72,D,0.5,C,0.2,C,0.3,C,0.1,E,0.1,B,0.2,A,0.2
73,B,0.1,A,0.2,D,0.4,A,0.3,E,0.1,B,0.4,B,0.2
74,B,0.3,A,0.3,C,0.3,D,0.3,E,0.2,D,0.4,D,0.2
75,C,0.2,B,0.3,A,0.1,B,0.3,C,0.2,C,0.2,C,0.1
76,G,0.4,B,0.1,C,0.2,G,0.2,E,0.3,F,0.3,E,0.2
