,Correct Answer,Rombos-LLM-V2.5-Qwen-32b-scores,Rombos-LLM-V2.5-Qwen-32b-scores (Revised % Concordant),oxyge1-33B-scores,oxyge1-33B-scores (Revised % Concordant),Lamarck-14B-v0.6,Lamarck-14B-v0.6 (Revised % Concordant),ultiima-32B-scores,ultiima-32B-scores (Revised % Concordant),TheBeagle-v2beta-32B-MGS-scores,TheBeagle-v2beta-32B-MGS-scores (Revised % Concordant),Qwentile2.5-32B-Instruct-scores,Qwentile2.5-32B-Instruct-scores (Revised % Concordant)
0,A,E,0.5,B,0.5,B,0.25,B,0.75,E,0.5,C,0.75
1,B,B,0.5,B,0.75,B,0.25,B,0.5,D,0.25,C,0.5
2,A,A,0.5,B,0.5,E,0.25,A,0.25,B,0.5,D,0.5
3,D,D,0.25,B,0.75,A,0.75,C,0.25,A,0.25,B,0.5
4,E,C,0.25,E,0.5,A,0.25,E,0.25,E,0.25,C,0.25
5,C,B,0.5,E,1.0,E,0.25,C,0.5,E,0.25,B,0.5
6,A,C,0.5,E,0.5,D,0.5,E,0.5,E,0.5,A,0.25
7,A,C,0.75,E,0.25,B,0.25,A,0.5,B,0.25,D,0.25
8,C,C,0.25,D,0.5,C,0.75,C,0.25,E,0.25,B,0.5
9,B,E,0.75,G,0.25,D,0.25,B,0.75,E,0.5,C,0.25
10,F,E,0.5,F,0.25,F,0.5,F,0.5,B,0.75,D,0.5
11,C,C,0.25,E,0.25,D,0.25,C,0.5,B,0.25,A,0.25
12,B,A,0.25,E,1.0,C,0.25,E,0.5,C,0.5,A,0.5
13,B,D,0.75,E,0.25,A,0.25,E,0.75,E,0.25,D,0.75
14,E,B,0.5,D,0.25,E,0.5,E,0.25,E,0.5,A,0.25
15,D,B,0.5,E,0.25,B,0.5,E,0.5,E,0.75,B,1.0
16,D,D,0.25,F,0.5,F,0.5,D,0.25,D,0.25,C,0.5
17,A,D,0.25,C,0.25,E,0.5,E,0.25,E,0.5,D,0.5
18,D,B,0.25,C,0.25,D,0.5,E,0.75,A,0.75,E,0.75
19,B,B,0.75,E,0.5,A,0.75,B,0.5,E,0.25,B,0.5
