,Original,Below Basic,Basic,Intermediate,Advanced
0,"[0.3987255394458771, 0.3509741723537445, 0.1809362918138504, 0.05624808371067047, 0.01311598438769579]&['Recent physical activity', 'BMI', 'Previous  fractures', 'Family history', 'Medication use']","[0.6585931181907654, 0.23182709515094757, 0.06930236518383026, 0.023096701130270958, 0.017180779948830605]&['BMI', 'Recent physical activity', 'Family history', 'Medication use', 'Previous  fractures']","[0.640675961971283, 0.12941128015518188, 0.10147383064031601, 0.06914550811052322, 0.05929339677095413]&['BMI', 'Recent physical activity', 'Medication use', 'Previous  fractures', 'Family history']","[0.7360023856163025, 0.14201144874095917, 0.04910172149538994, 0.03846829757094383, 0.03441619873046875]&['BMI', 'Recent physical activity', 'Medication use', 'Previous  fractures', 'Family history']","[0.5262775421142578, 0.34601691365242004, 0.08689233660697937, 0.021659018471837044, 0.019154179841279984]&['Recent physical activity', 'BMI', 'Previous  fractures', 'Medication use', 'Family history']"
1,"[0.6920690536499023, 0.1955524981021881, 0.0886123776435852, 0.02376607432961464]&['Increased hemoglobin concentration', 'Increased total lung capacity', 'Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration']","[0.47468850016593933, 0.37920448184013367, 0.10946249961853027, 0.03664451092481613]&['Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity', 'Decreased serum bicarbonate concentration']","[0.5683990120887756, 0.30423352122306824, 0.0677645280957222, 0.059603046625852585]&['Increased hemoglobin concentration', 'Left ventricular hypertrophy', 'Increased total lung capacity', 'Decreased serum bicarbonate concentration']","[0.48184409737586975, 0.2548176050186157, 0.21350708603858948, 0.04983125999569893]&['Increased hemoglobin concentration', 'Increased total lung capacity', 'Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration']","[0.5743584036827087, 0.3329566419124603, 0.049460381269454956, 0.043224532157182693]&['Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity', 'Decreased serum bicarbonate concentration']"
2,"[0.5803675651550293, 0.16907483339309692, 0.1081206202507019, 0.09243576228618622, 0.05000121518969536]&['Collagen', 'Nucleolar protein', 'Double -stranded DNA', 'Phospholipid', 'Proteins in neutrophil cytoplasm']","[0.5734807848930359, 0.20509569346904755, 0.08241738379001617, 0.08216922730207443, 0.05683695524930954]&['Phospholipid', 'Collagen', 'Double -stranded DNA', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein']","[0.40893012285232544, 0.24155771732330322, 0.19971483945846558, 0.07961300760507584, 0.0701843649148941]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Phospholipid', 'Nucleolar protein', 'Double -stranded DNA']","[0.34545212984085083, 0.2913568913936615, 0.24947208166122437, 0.06494277715682983, 0.048776134848594666]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Phospholipid', 'Double -stranded DNA', 'Nucleolar protein']","[0.49656006693840027, 0.26240822672843933, 0.16328668594360352, 0.044724516570568085, 0.03302046284079552]&['Collagen', 'Phospholipid', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Double -stranded DNA']"
3,"[0.47095784544944763, 0.1796913892030716, 0.17915906012058258, 0.1701916754245758]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally']","[0.6329811215400696, 0.19068646430969238, 0.09462874382734299, 0.08170361816883087]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially']","[0.5933940410614014, 0.17145578563213348, 0.12608595192432404, 0.10906418412923813]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.6856823563575745, 0.13989432156085968, 0.09753149002790451, 0.07689181715250015]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.6295420527458191, 0.1450832635164261, 0.1132967621088028, 0.11207788437604904]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially']"
4,"[0.7359961867332458, 0.16301371157169342, 0.07403635233640671, 0.026539379730820656, 0.0004143267869949341]&['Increased alcohol intake  ', 'Decreased protein binding  ', 'Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes']","[0.8780503273010254, 0.07734199613332748, 0.0259765163064003, 0.01785591058433056, 0.0007752592791803181]&['Increased alcohol intake  ', 'Decreased protein binding  ', 'Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes']","[0.8536102175712585, 0.07808645069599152, 0.03683311864733696, 0.029557092115283012, 0.0019130369182676077]&['Increased alcohol intake  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes']","[0.6731168627738953, 0.1588243693113327, 0.10780941694974899, 0.059102218598127365, 0.0011472147889435291]&['Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes']","[0.8486648201942444, 0.06997478753328323, 0.06743832677602768, 0.013443770818412304, 0.0004782571631949395]&['Increased alcohol intake  ', 'Decreased protein binding  ', 'Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes']"
5,"[0.5981807112693787, 0.19684778153896332, 0.18597890436649323, 0.017787454649806023, 0.0012050162767991424]&['Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.397987425327301, 0.2999092638492584, 0.1656595915555954, 0.13500629365444183, 0.001437363214790821]&['Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.4142870306968689, 0.2717905342578888, 0.19773654639720917, 0.11458441615104675, 0.0016015422297641635]&['Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.3827938139438629, 0.2883005440235138, 0.25580161809921265, 0.072796531021595, 0.0003073718980886042]&['Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.29359763860702515, 0.257965087890625, 0.2511686682701111, 0.19628944993019104, 0.0009791577467694879]&['Epstein -Barr virus infection  ', 'HIV infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']"
6,"[0.6217373013496399, 0.1864338517189026, 0.11120722442865372, 0.08022849261760712, 0.0003930718230549246]&['Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment']","[0.3466758131980896, 0.22867310047149658, 0.22049616277217865, 0.20079486072063446, 0.003359988098964095]&['Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.42551326751708984, 0.25004881620407104, 0.1953083574771881, 0.12151461839675903, 0.007614956237375736]&['Arteriovenous nicking  ', 'Optic neuritis  ', 'Melanocytes in the uvea  ', 'Posterior subcapsular cataracts  ', 'Tractional retinal detachment']","[0.5725452303886414, 0.1899128258228302, 0.15098190307617188, 0.08630628883838654, 0.00025372838717885315]&['Optic neuritis  ', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment']","[0.3704814910888672, 0.31259629130363464, 0.16424329578876495, 0.15045380592346191, 0.0022252006456255913]&['Optic neuritis  ', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment']"
7,"[0.7902122139930725, 0.15781231224536896, 0.049050625413656235, 0.0028919207397848368, 3.2906580599956214e-05]&['Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']","[0.6369994282722473, 0.1768881380558014, 0.12233680486679077, 0.06356329470872879, 0.0002124335296684876]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Order an upper endoscopy  ', 'Switch the omeprazole to pantoprazole']","[0.38769444823265076, 0.2600066363811493, 0.2218778133392334, 0.13029567897319794, 0.00012543499178718776]&['Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole']","[0.31346824765205383, 0.28858211636543274, 0.22654196619987488, 0.17114409804344177, 0.0002635926357470453]&['Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole']","[0.3093142509460449, 0.2979157269001007, 0.23961514234542847, 0.1524495780467987, 0.0007052249275147915]&['Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']"
8,"[0.5026509761810303, 0.357959508895874, 0.11906998604536057, 0.02026330679655075, 5.623713877866976e-05]&['Methionine  ', 'Cysteine  ', 'Glutamine  ', 'Phenylalanine  ', 'Tyrosine']","[0.35535991191864014, 0.32877156138420105, 0.25479766726493835, 0.06104109063744545, 2.9784434445900843e-05]&['Methionine  ', 'Glutamine  ', 'Cysteine  ', 'Phenylalanine  ', 'Tyrosine']","[0.47459596395492554, 0.26302048563957214, 0.19732700288295746, 0.06501735001802444, 3.917979120160453e-05]&['Methionine  ', 'Cysteine  ', 'Glutamine  ', 'Phenylalanine  ', 'Tyrosine']","[0.4917981028556824, 0.24084961414337158, 0.2183244824409485, 0.04898425191640854, 4.362056279205717e-05]&['Methionine  ', 'Cysteine  ', 'Glutamine  ', 'Phenylalanine  ', 'Tyrosine']","[0.583167314529419, 0.1958755999803543, 0.16850559413433075, 0.052385568618774414, 6.590801785932854e-05]&['Methionine  ', 'Glutamine  ', 'Cysteine  ', 'Phenylalanine  ', 'Tyrosine']"
9,"[0.48258262872695923, 0.19463832676410675, 0.19311462342739105, 0.05934169515967369, 0.0364331379532814, 0.03356454521417618, 0.00032508550793863833]&['Pulmonary vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Middle colic artery  ', 'Left colic vein  ', 'Superior vena cava']","[0.33162790536880493, 0.2875838279724121, 0.17852653563022614, 0.11540542542934418, 0.05222420394420624, 0.033996712416410446, 0.0006353681092150509]&['Inferior vena cava  ', 'Pulmonary vein  ', 'Superior mesenteric artery  ', 'Inferior mesenteric vein  ', 'Left colic vein  ', 'Middle colic artery  ', 'Superior vena cava']","[0.2899303138256073, 0.2636444866657257, 0.2464231550693512, 0.12596102058887482, 0.03844864293932915, 0.0354803241789341, 0.00011209666990907863]&['Inferior mesenteric vein  ', 'Pulmonary vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ', 'Left colic vein  ', 'Middle colic artery  ', 'Superior vena cava']","[0.3429635763168335, 0.3117666244506836, 0.22627821564674377, 0.06530236452817917, 0.030731024220585823, 0.022467372938990593, 0.0004909051931463182]&['Pulmonary vein  ', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Middle colic artery  ', 'Left colic vein  ', 'Superior vena cava']","[0.30370640754699707, 0.2784406840801239, 0.18175670504570007, 0.13113874197006226, 0.06092971935868263, 0.04256010428071022, 0.0014675878919661045]&['Inferior vena cava  ', 'Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Left colic vein  ', 'Middle colic artery  ', 'Superior vena cava']"
