,Original,Below Basic,Basic,Intermediate,Advanced
0,"[0.3704567849636078, 0.3387162983417511, 0.23138104379177094, 0.04146995022892952, 0.017975959926843643]&['Family history', 'BMI', 'Previous  fractures', 'Recent physical activity', 'Medication use']","[0.4287598729133606, 0.307991623878479, 0.15152797102928162, 0.06212189793586731, 0.049598582088947296]&['Previous  fractures', 'Family history', 'BMI', 'Medication use', 'Recent physical activity']","[0.2951758801937103, 0.25223350524902344, 0.22558504343032837, 0.1367238610982895, 0.09028173983097076]&['Medication use', 'Family history', 'Previous  fractures', 'BMI', 'Recent physical activity']","[0.28553974628448486, 0.21554133296012878, 0.2037956267595291, 0.165642648935318, 0.1294805407524109]&['BMI', 'Family history', 'Previous  fractures', 'Recent physical activity', 'Medication use']","[0.4523448646068573, 0.16866470873355865, 0.1510973870754242, 0.11694495379924774, 0.11094803363084793]&['Medication use', 'Family history', 'BMI', 'Recent physical activity', 'Previous  fractures']"
1,"[0.5871360301971436, 0.30569222569465637, 0.07519272714853287, 0.03197905793786049]&['Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration', 'Increased total lung capacity', 'Left ventricular hypertrophy']","[0.5067053437232971, 0.3158857822418213, 0.14120322465896606, 0.036205656826496124]&['Increased total lung capacity', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy']","[0.5252240896224976, 0.3286390006542206, 0.09890150278806686, 0.0472354032099247]&['Decreased serum bicarbonate concentration', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy']","[0.6547666788101196, 0.15547719597816467, 0.13518717885017395, 0.05456890910863876]&['Decreased serum bicarbonate concentration', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy']","[0.5065330266952515, 0.2607707679271698, 0.18958422541618347, 0.0431118942797184]&['Decreased serum bicarbonate concentration', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy']"
2,"[0.23737283051013947, 0.23425230383872986, 0.2018222063779831, 0.18834780156612396, 0.13820485770702362]&['Collagen', 'Phospholipid', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Double -stranded DNA']","[0.5939635038375854, 0.1548505425453186, 0.09541910141706467, 0.08660328388214111, 0.0691635012626648]&['Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Double -stranded DNA', 'Collagen', 'Phospholipid']","[0.5960801243782043, 0.2659463584423065, 0.060207609087228775, 0.0472254641354084, 0.030540434643626213]&['Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Double -stranded DNA', 'Collagen', 'Phospholipid']","[0.8276476860046387, 0.10827505588531494, 0.024709129706025124, 0.021653637290000916, 0.017714478075504303]&['Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Collagen', 'Double -stranded DNA', 'Phospholipid']","[0.8476078510284424, 0.0786152258515358, 0.043863456696271896, 0.02007550559937954, 0.009837983176112175]&['Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Double -stranded DNA', 'Phospholipid', 'Collagen']"
3,"[0.5722066760063171, 0.2112160623073578, 0.13852255046367645, 0.07805468887090683]&['Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent']","[0.46980562806129456, 0.28250548243522644, 0.15523570775985718, 0.09245314449071884]&['Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent']","[0.5965930223464966, 0.16289964318275452, 0.12030103802680969, 0.12020627409219742]&['Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially']","[0.6655687689781189, 0.13887953758239746, 0.12404591590166092, 0.07150579243898392]&['Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Fusion of the inferior poles of the metanephros during ascent']","[0.5985753536224365, 0.16298043727874756, 0.126880943775177, 0.11156334728002548]&['Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Fusion of the inferior poles of the metanephros during ascent']"
4,"[0.7634766101837158, 0.1136394664645195, 0.07704436033964157, 0.02614794485270977, 0.019691668450832367]&['Induction of cytochrome enzymes', 'Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Decreased protein binding  ', 'Eradication of gut flora  ']","[0.7937575578689575, 0.08477846533060074, 0.05282941833138466, 0.036284636706113815, 0.03234992176294327]&['Induction of cytochrome enzymes', 'Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Decreased protein binding  ', 'Eradication of gut flora  ']","[0.9023036360740662, 0.03635769709944725, 0.027450954541563988, 0.021204981952905655, 0.012682749889791012]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']","[0.9532259702682495, 0.01572529599070549, 0.011724863201379776, 0.0106846634298563, 0.00863922294229269]&['Induction of cytochrome enzymes', 'Increased alcohol intake  ', 'Decreased protein binding  ', 'Eradication of gut flora  ', 'Increased vegetable consumption  ']","[0.839474081993103, 0.06523169577121735, 0.06419061869382858, 0.02215404249727726, 0.008949582464993]&['Induction of cytochrome enzymes', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Increased alcohol intake  ']"
5,"[0.5666494369506836, 0.1625235676765442, 0.1469871997833252, 0.10214205086231232, 0.02169773541390896]&['HIV infection  ', 'Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ', 'Streptococcal pharyngitis', 'Gonococcal pharyngitis  ']","[0.8827937841415405, 0.0409039743244648, 0.04072441905736923, 0.025885818526148796, 0.009692048653960228]&['Streptococcal pharyngitis', 'HIV infection  ', 'Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'Gonococcal pharyngitis  ']","[0.5939095616340637, 0.1583843231201172, 0.1261536031961441, 0.09968306869268417, 0.021869409829378128]&['Streptococcal pharyngitis', 'HIV infection  ', 'Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ']","[0.32939594984054565, 0.29989513754844666, 0.19914616644382477, 0.12724633514881134, 0.044316425919532776]&['HIV infection  ', 'Streptococcal pharyngitis', 'Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'Gonococcal pharyngitis  ']","[0.7049418091773987, 0.11435943841934204, 0.06754279881715775, 0.06359203159809113, 0.04956391826272011]&['Streptococcal pharyngitis', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ']"
6,"[0.7222114205360413, 0.2442566603422165, 0.016442907974123955, 0.010563066229224205, 0.006525943521410227]&['Tractional retinal detachment', 'Arteriovenous nicking  ', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ']","[0.46520671248435974, 0.40381482243537903, 0.10662464797496796, 0.015693293884396553, 0.00866049062460661]&['Melanocytes in the uvea  ', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Tractional retinal detachment', 'Optic neuritis  ']","[0.47309690713882446, 0.33532285690307617, 0.1444993019104004, 0.030124150216579437, 0.01695684902369976]&['Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Posterior subcapsular cataracts  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.46687641739845276, 0.21066991984844208, 0.17380554974079132, 0.07978755980730057, 0.06886062026023865]&['Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Posterior subcapsular cataracts  ', 'Tractional retinal detachment', 'Optic neuritis  ']","[0.39828068017959595, 0.34666693210601807, 0.12164632230997086, 0.1079292967915535, 0.025476722046732903]&['Melanocytes in the uvea  ', 'Arteriovenous nicking  ', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Tractional retinal detachment']"
7,"[0.7589523792266846, 0.12659567594528198, 0.09705477207899094, 0.01011051144450903, 0.00728663569316268]&['Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole', 'Order an upper endoscopy  ']","[0.8434167504310608, 0.09154696762561798, 0.034959953278303146, 0.015985814854502678, 0.014090544544160366]&['Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole', 'Refer the patient to a gastroenterologist  ']","[0.6446338295936584, 0.13684076070785522, 0.13415613770484924, 0.0715186595916748, 0.01285065058618784]&['Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.7168572545051575, 0.10836562514305115, 0.09423866868019104, 0.04822548106312752, 0.03231295570731163]&['Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole']","[0.4080279767513275, 0.3416525721549988, 0.19250261783599854, 0.02927451953291893, 0.02854231186211109]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Switch the omeprazole to pantoprazole', 'Ask the patient how much he is eating and drinking during the holidays  ']"
8,"[0.49699079990386963, 0.2936839461326599, 0.09773239493370056, 0.07203570753335953, 0.03955714777112007]&['Methionine  ', 'Phenylalanine  ', 'Tyrosine', 'Cysteine  ', 'Glutamine  ']","[0.36655181646347046, 0.3077346086502075, 0.13397178053855896, 0.11607858538627625, 0.07566320896148682]&['Methionine  ', 'Cysteine  ', 'Phenylalanine  ', 'Glutamine  ', 'Tyrosine']","[0.48469236493110657, 0.18629731237888336, 0.1814921498298645, 0.08162669092416763, 0.06589153409004211]&['Methionine  ', 'Cysteine  ', 'Tyrosine', 'Phenylalanine  ', 'Glutamine  ']","[0.5225562453269958, 0.25428614020347595, 0.14591144025325775, 0.04942353442311287, 0.02782263420522213]&['Methionine  ', 'Cysteine  ', 'Tyrosine', 'Glutamine  ', 'Phenylalanine  ']","[0.6719509959220886, 0.14755475521087646, 0.07403365522623062, 0.0627899244427681, 0.04367067664861679]&['Methionine  ', 'Cysteine  ', 'Glutamine  ', 'Tyrosine', 'Phenylalanine  ']"
9,"[0.6816784143447876, 0.13673003017902374, 0.10020534694194794, 0.033599793910980225, 0.01906038634479046, 0.0146992402151227, 0.014026728458702564]&['Inferior vena cava  ', 'Middle colic artery  ', 'Left colic vein  ', 'Superior mesenteric artery  ', 'Inferior mesenteric vein  ', 'Superior vena cava', 'Pulmonary vein  ']","[0.3043583929538727, 0.2667649984359741, 0.19175533950328827, 0.08628253638744354, 0.07046577334403992, 0.047036029398441315, 0.033336956053972244]&['Left colic vein  ', 'Superior vena cava', 'Middle colic artery  ', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ']","[0.6144657135009766, 0.17680242657661438, 0.07750090211629868, 0.049059730023145676, 0.048483703285455704, 0.022585367783904076, 0.011102195829153061]&['Inferior vena cava  ', 'Middle colic artery  ', 'Left colic vein  ', 'Pulmonary vein  ', 'Superior vena cava', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ']","[0.43749183416366577, 0.28484615683555603, 0.11892072856426239, 0.050956811755895615, 0.04754642769694328, 0.03376271575689316, 0.02647537738084793]&['Middle colic artery  ', 'Left colic vein  ', 'Inferior vena cava  ', 'Superior vena cava', 'Pulmonary vein  ', 'Superior mesenteric artery  ', 'Inferior mesenteric vein  ']","[0.3641778230667114, 0.17191261053085327, 0.15310561656951904, 0.09644147753715515, 0.08252105861902237, 0.07743430882692337, 0.05440709367394447]&['Middle colic artery  ', 'Inferior vena cava  ', 'Superior vena cava', 'Left colic vein  ', 'Superior mesenteric artery  ', 'Inferior mesenteric vein  ', 'Pulmonary vein  ']"
10,"[0.7051036953926086, 0.1420283317565918, 0.06658326089382172, 0.06272032111883163, 0.01658427156507969, 0.006980126723647118]&['Supraoptic nucleus', 'Glomerulus  ', 'Bowman capsule  ', 'Hypophysial portal system  ', 'Anterior pituitary gland  ', 'Loop of Henle  ']","[0.5328403115272522, 0.2884848117828369, 0.06278109550476074, 0.06217512860894203, 0.03778495639562607, 0.015933727845549583]&['Supraoptic nucleus', 'Glomerulus  ', 'Hypophysial portal system  ', 'Anterior pituitary gland  ', 'Bowman capsule  ', 'Loop of Henle  ']","[0.6402053236961365, 0.20343564450740814, 0.1087617576122284, 0.023446213454008102, 0.017977025359869003, 0.006174047943204641]&['Glomerulus  ', 'Bowman capsule  ', 'Supraoptic nucleus', 'Anterior pituitary gland  ', 'Hypophysial portal system  ', 'Loop of Henle  ']","[0.4882168769836426, 0.3657087981700897, 0.10361666977405548, 0.017528394237160683, 0.014819450676441193, 0.01010980922728777]&['Supraoptic nucleus', 'Glomerulus  ', 'Bowman capsule  ', 'Anterior pituitary gland  ', 'Hypophysial portal system  ', 'Loop of Henle  ']","[0.7589538097381592, 0.09518880397081375, 0.08400514721870422, 0.023846374824643135, 0.019408803433179855, 0.018597034737467766]&['Supraoptic nucleus', 'Bowman capsule  ', 'Glomerulus  ', 'Hypophysial portal system  ', 'Anterior pituitary gland  ', 'Loop of Henle  ']"
11,"[0.4002065062522888, 0.2910102605819702, 0.28158995509147644, 0.02145664393901825, 0.005736690945923328]&['Increased synthesis of contractile filaments  ', 'Fibrosis of intraventricular conduction pathways  ', 'Myocyte hyperplasia as a result of induction of embryonic genes', 'Excessive accumulation of glycogen  ', 'Misfolding and aggregation of cytoskeletal proteins  ']","[0.6102554202079773, 0.12930415570735931, 0.12663982808589935, 0.07138925045728683, 0.06241133436560631]&['Increased synthesis of contractile filaments  ', 'Fibrosis of intraventricular conduction pathways  ', 'Excessive accumulation of glycogen  ', 'Misfolding and aggregation of cytoskeletal proteins  ', 'Myocyte hyperplasia as a result of induction of embryonic genes']","[0.6163497567176819, 0.21758487820625305, 0.09393512457609177, 0.04683038592338562, 0.02529987134039402]&['Increased synthesis of contractile filaments  ', 'Fibrosis of intraventricular conduction pathways  ', 'Misfolding and aggregation of cytoskeletal proteins  ', 'Excessive accumulation of glycogen  ', 'Myocyte hyperplasia as a result of induction of embryonic genes']","[0.6285393834114075, 0.1263371706008911, 0.10990671068429947, 0.10903047025203705, 0.026186233386397362]&['Increased synthesis of contractile filaments  ', 'Excessive accumulation of glycogen  ', 'Misfolding and aggregation of cytoskeletal proteins  ', 'Fibrosis of intraventricular conduction pathways  ', 'Myocyte hyperplasia as a result of induction of embryonic genes']","[0.36844274401664734, 0.3342735469341278, 0.17004089057445526, 0.11100436002016068, 0.01623835414648056]&['Excessive accumulation of glycogen  ', 'Increased synthesis of contractile filaments  ', 'Fibrosis of intraventricular conduction pathways  ', 'Misfolding and aggregation of cytoskeletal proteins  ', 'Myocyte hyperplasia as a result of induction of embryonic genes']"
12,"[0.4002182185649872, 0.30579155683517456, 0.16116207838058472, 0.0743996724486351, 0.058428555727005005]&['Zinc', 'Vitamin B 12 (cobalamin)  ', 'Vitamin A  ', 'Magnesium  ', 'Vitamin C  ']","[0.41165831685066223, 0.23365935683250427, 0.17814232409000397, 0.12818510830402374, 0.04835493117570877]&['Zinc', 'Vitamin A  ', 'Vitamin B 12 (cobalamin)  ', 'Magnesium  ', 'Vitamin C  ']","[0.4904177784919739, 0.19353578984737396, 0.1434916853904724, 0.12021773308515549, 0.052337054163217545]&['Vitamin B 12 (cobalamin)  ', 'Magnesium  ', 'Zinc', 'Vitamin A  ', 'Vitamin C  ']","[0.4717731773853302, 0.22512038052082062, 0.2007448971271515, 0.05349840968847275, 0.048863161355257034]&['Zinc', 'Vitamin A  ', 'Magnesium  ', 'Vitamin B 12 (cobalamin)  ', 'Vitamin C  ']","[0.2730282247066498, 0.2678118646144867, 0.17066404223442078, 0.14697904884815216, 0.141516774892807]&['Zinc', 'Vitamin A  ', 'Vitamin B 12 (cobalamin)  ', 'Magnesium  ', 'Vitamin C  ']"
13,"[0.44632822275161743, 0.17059680819511414, 0.16661091148853302, 0.11881271749734879, 0.0976513922214508]&['129 -131', '125 -135 ', '120 -140 ', '105 -155 ', '128 -132 ']","[0.3394887149333954, 0.2795191705226898, 0.18689076602458954, 0.18417808413505554, 0.009923236444592476]&['129 -131', '125 -135 ', '120 -140 ', '105 -155 ', '128 -132 ']","[0.24764229357242584, 0.245389923453331, 0.23914408683776855, 0.2026633769273758, 0.06516037881374359]&['125 -135 ', '120 -140 ', '129 -131', '105 -155 ', '128 -132 ']","[0.7997460961341858, 0.0701504573225975, 0.053901348263025284, 0.039941661059856415, 0.036260414868593216]&['129 -131', '125 -135 ', '128 -132 ', '105 -155 ', '120 -140 ']","[0.31576400995254517, 0.2748086154460907, 0.1825346052646637, 0.11666689068078995, 0.11022581905126572]&['120 -140 ', '125 -135 ', '105 -155 ', '129 -131', '128 -132 ']"
14,"[0.8093200325965881, 0.058672431856393814, 0.05791173875331879, 0.04622191563248634, 0.027873840183019638]&['Emphysema', 'Bronchiectasis  ', 'Chronic pulmonary fibrosis  ', 'Cystic fibrosis  ', 'Asthma  ']","[0.8056831955909729, 0.08900175243616104, 0.0542227067053318, 0.02892608940601349, 0.022166239097714424]&['Emphysema', 'Chronic pulmonary fibrosis  ', 'Bronchiectasis  ', 'Cystic fibrosis  ', 'Asthma  ']","[0.7859126925468445, 0.07611583173274994, 0.059179794043302536, 0.040457833558321, 0.038333866745233536]&['Emphysema', 'Chronic pulmonary fibrosis  ', 'Cystic fibrosis  ', 'Asthma  ', 'Bronchiectasis  ']","[0.7557236552238464, 0.10110091418027878, 0.05669735372066498, 0.050506096333265305, 0.03597196936607361]&['Emphysema', 'Cystic fibrosis  ', 'Bronchiectasis  ', 'Chronic pulmonary fibrosis  ', 'Asthma  ']","[0.8220763802528381, 0.07630618661642075, 0.04096226394176483, 0.037763528525829315, 0.02289162017405033]&['Emphysema', 'Bronchiectasis  ', 'Chronic pulmonary fibrosis  ', 'Cystic fibrosis  ', 'Asthma  ']"
15,"[0.7744208574295044, 0.1539769023656845, 0.030017143115401268, 0.02416892535984516, 0.01741613633930683]&['Impossible to predict', 'Less chance of a Type II error  ', 'Greater chance of a Type I error  ', 'Less chance of a Type I error  ', 'Greater chance of a Type II error  ']","[0.6400994658470154, 0.2218649983406067, 0.06746984273195267, 0.05226684361696243, 0.018298862501978874]&['Less chance of a Type II error  ', 'Less chance of a Type I error  ', 'Impossible to predict', 'Greater chance of a Type II error  ', 'Greater chance of a Type I error  ']","[0.40313082933425903, 0.3369942307472229, 0.13372798264026642, 0.07177268713712692, 0.05437428504228592]&['Less chance of a Type II error  ', 'Impossible to predict', 'Greater chance of a Type II error  ', 'Less chance of a Type I error  ', 'Greater chance of a Type I error  ']","[0.7130053639411926, 0.2332935482263565, 0.03649820387363434, 0.01018852461129427, 0.00701431930065155]&['Impossible to predict', 'Less chance of a Type II error  ', 'Less chance of a Type I error  ', 'Greater chance of a Type I error  ', 'Greater chance of a Type II error  ']","[0.4197182357311249, 0.29947611689567566, 0.14143480360507965, 0.09345415979623795, 0.045916762202978134]&['Impossible to predict', 'Less chance of a Type II error  ', 'Less chance of a Type I error  ', 'Greater chance of a Type II error  ', 'Greater chance of a Type I error  ']"
