,Below Basic,Basic,Intermediate,Advanced
0,"A 14-year-old boy has pain in his right knee that got worse after one month. He walks 1 mile every day and does not take medicine for pain. He broke his right leg when he was 8. He has asthma and uses inhalers. His mother has diabetes, and his grandmother has osteoporosis. He is 170 cm tall and weighs 88 kg. His skin at the neck is thick and dark. His right hip is sore and hard to move. What in his past causes this condition?","A 14-year-old boy is in the emergency department due to worsening right knee pain over a month. The pain is worse when walking and better when sitting. He walks 1 mile each day for school marching band. He hasn’t taken any pain medicine. At 8 years old, he broke his right leg in a skateboarding accident. He treats his asthma with inhalers. His mother has diabetes, and his grandmother has osteoporosis. His height is 170 cm and weight is 88 kg, with thick skin on his neck. His right hip is painful and stiff. What in his history raised his risk for this condition?","A 14-year-old boy is brought to the emergency department due to worsening intermittent right knee pain over the past month. He rates his pain as 6 out of 10, worsening with walking and easing when sitting. He walks 1 mile daily for the marching band, without taking pain medications. At age 8, he fractured his right tibia and fibula in a skateboarding accident, treated with fixation and casting. He has asthma requiring inhalers. His mother has diabetes, and his grandmother has osteoporosis. His height is 170 cm and weight is 88 kg, with thick, dark skin on his neck. Right hip tenderness and limited motion are noted. Based on his history, what most increased his risk for this condition?","A 14-year-old boy presents to the emergency department with a 1-month history of intermittent right knee pain that intensified over the past day. He reports pain at a level 6 on a 10-point scale, exacerbated by walking and alleviated by rest. He has been walking 1 mile daily to prepare for his participation in the school marching band and has not used medications for pain relief. At 8 years old, he sustained a fracture of the right tibia and fibula in a skateboarding accident, subsequently treated with internal fixation and casting. He manages his asthma with daily inhaled budesonide and uses albuterol as needed. His family history includes a mother with type 2 diabetes mellitus and a maternal grandmother with osteoporosis. His anthropometrics show a height of 170 cm, a weight of 88 kg, and noticeable hyperpigmented, thickened skin at the neck. His right hip examination reveals tenderness and restricted range of motion. Given this patient's history, which factor most significantly increased his risk for this condition?",
1,"A man is 50 years old. He visits the doctor after feeling sleepy during the day for 2 months. He has a problem called obstructive sleep apnea but only sometimes uses the CPAP machine. He is 170 cm tall and weighs 181 kg, and his BMI is 63 kg/m2. His temperature is 37°C, pulse is 100/min, breathing is 12/min, and blood pressure is 135/80 mm Hg. When the doctor examines him, his lips, earlobes, and nails look gray-blue. His heart check shows no other problems. A test of his blood shows pH 7.31, CO2 at 70 mm Hg, and O2 at 50 mm Hg while breathing air in the room. What else would we likely find in this patient?","A 50-year-old man goes to see the doctor because he has been feeling very sleepy during the day for 2 months. He has obstructive sleep apnea but has only sometimes used his CPAP device. He is 170 cm tall and weighs 181 kg, with a BMI of 63 kg/m2. His temperature is 37°C, his pulse is 100 beats per minute, he breathes 12 times a minute, and his blood pressure reads 135/80 mm Hg. On physical exam, his lips, earlobes, and nails appear gray-blue. His heart exam reveals no other issues. A blood test on room air shows a pH of 7.31, CO2 level of 70 mm Hg, and oxygen level of 50 mm Hg. What other findings might be likely in this patient?","A 50-year-old male patient visits the doctor after experiencing increasing daytime sleepiness for 2 months. He has obstructive sleep apnea, and he uses a CPAP device only occasionally. He measures 170 cm in height and weighs 181 kg, resulting in a BMI of 63 kg/m2. His vital signs include a temperature of 37°C, a pulse of 100 beats per minute, a respiratory rate of 12 breaths per minute, and a blood pressure of 135/80 mm Hg. During the physical examination, there is a gray-blue tint observed on his lips, earlobes, and nails. The cardiac exam shows no additional abnormalities. On room air, his arterial blood gas demonstrates a pH of 7.31, partial pressure of carbon dioxide at 70 mm Hg, and partial pressure of oxygen at 50 mm Hg. What additional findings are most likely in this scenario for this patient?","A 50-year-old man presents to the clinic reporting a 2-month history of worsening daytime somnolence. Despite having obstructive sleep apnea, his use of a CPAP device has been sporadic. He measures 170 cm in height and weighs 181 kg, yielding a BMI of 63 kg/m2. He presents with the following vitals: temperature at 37°C, pulse at 100/min, respiratory rate at 12/min, and blood pressure at 135/80 mm Hg. Physical examination reveals cyanosis noted on the lips, earlobes, and nail beds. Cardiac examination reveals no further anomalies. Arterial blood gas on room air reports a pH of 7.31, a PaCO2 of 70 mm Hg, and a PaO2 of 50 mm Hg. Which additional finding would most likely be evident in this patient?",
2,"A 32-year-old man visits the office because he has coughed up a little blood for 1 day. He has had breathing trouble and swollen ankles for 2 days. For 2 weeks, he has felt more and more tired and has dark urine sometimes. He is usually healthy and doesn't take any medicine. His temperature is 37°C (98.6°F), pulse is 90 beats per minute, respirations are 18 breaths per minute, and blood pressure is 175/110 mm Hg. His oxygen level is 91% on room air. Doctors hear crackles in his lungs. Both ankles have 2+ pitting edema. Lab results show: Hemoglobin is 8.9 g/dL, Hematocrit is 27%, Urea nitrogen is 55 mg/dL, Creatinine is 2.9 mg/dL, and Urine has 20–40 RBCs per high power field. Urinalysis shows some different-shaped RBCs and rare RBC casts. A kidney biopsy shows crescentic glomerulonephritis and IgG lining the glomerular capillaries. Which antigens do this patient's antibodies most likely target?","A 32-year-old man is at the office due to a 1-day history of coughing small amounts of blood. He also has had difficulty breathing and swollen ankles for 2 days. Over 2 weeks, he has felt progressively tired and noticed dark urine in episodes. He has no major medical illnesses and takes no medications. His temperature stands at 37°C (98.6°F), pulse at 90/min, respirations at 18/min, with blood pressure reading 175/110 mm Hg. Oxygen saturation with room air is 91%. Examination reveals diffuse inspiratory crackles over all lung bases. There is 2+ pitting edema of both ankles. Laboratory results are: Hemoglobin 8.9 g/dL, Hematocrit 27%, Serum urea nitrogen 55 mg/dL, Creatinine 2.9 mg/dL, Urine RBC 20–40/hpf. Urinalysis shows some dysmorphic RBCs and rare RBC casts. Kidney biopsy examination reveals crescentic glomerulonephritis and linear IgG deposition along the glomerular capillaries. Against which antigens are this patient's antibodies most likely directed?","A 32-year-old man comes to the office with a 1-day history of coughing up small amounts of blood, along with a 2-day history of shortness of breath and swollen ankles. He has experienced progressive fatigue and episodes of dark urine over the past 2 weeks. He has no significant past medical history and does not take any medications. On examination, his temperature is 37°C (98.6°F), pulse is 90 per minute, respirations are 18 per minute, and blood pressure is 175/110 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 91%. There are diffuse inspiratory crackles audible over all lung bases. Both ankles exhibit 2+ pitting edema. Laboratory studies show the following: Hemoglobin is 8.9 g/dL, Hematocrit is 27%, Serum urea nitrogen is 55 mg/dL, Creatinine is 2.9 mg/dL, Urine RBC count of 20–40 per high power field, with urinalysis showing some dysmorphic RBCs and rare RBC casts. Examination of the kidney biopsy specimen reveals crescentic glomerulonephritis with linear deposition of IgG along the glomerular capillaries. What antigens are likely targeted by this patient's antibodies?","A 32-year-old man presents with a 1-day history of cough producing small amounts of blood and a 2-day history of shortness of breath with ankle swelling. He reports a 2-week history of progressive fatigue and episodes of dark urine. His medical history is unremarkable, and he is on no medications. Vital signs are as follows: temperature 37°C (98.6°F), pulse 90 bpm, respirations 18/min, with a blood pressure of 175/110 mm Hg. Oxygen saturation on room air is 91%. Auscultation reveals diffuse inspiratory crackles in all lung bases. Both ankles show 2+ pitting edema. Laboratory findings include hemoglobin at 8.9 g/dL, hematocrit at 27%, serum urea nitrogen at 55 mg/dL, and creatinine at 2.9 mg/dL. Urine RBC is 20–40/hpf, with urinalysis showing some dysmorphic RBCs and infrequent RBC casts. A renal biopsy demonstrates crescentic glomerulonephritis with linear IgG deposition along glomerular capillaries. Which antigens are the most likely targets of this patient's antibodies?",
3,"A 5-year-old girl is in the emergency department. She has had fever, needs to urinate often, and feels burning pain when peeing for 2 days. She had four similar issues last year. She has a urinary tract infection. An ultrasound shows one large U-shaped kidney. What is most likely the cause of this from when she was developing as a baby?","A 5-year-old girl comes to the emergency department with a 2-day history of fever, frequent urination, and burning pain when urinating. She has had four similar episodes in the past year. She is diagnosed with a urinary tract infection. A renal ultrasound reveals one large U-shaped kidney. Which is the most likely embryologic origin of her condition?","A 5-year-old girl arrives at the emergency department due to a 2-day history of fever, urgency to urinate, and burning pain when urinating. She has had four similar episodes over the past year. A urinary tract infection is diagnosed. Renal ultrasound reveals one large U-shaped kidney. What is the most likely embryologic origin of her condition?","A 5-year-old girl is presented to the emergency department with a 2-day history of fever, urinary urgency, and dysuria. She has experienced four similar episodes in the past year, and a diagnosis of urinary tract infection is confirmed. Renal ultrasonography indicates a large U-shaped kidney. Which embryologic origin is most likely responsible for this condition?",
4,"A 78-year-old man visited the office for a follow-up exam. He left the hospital a week ago after treatment for a nontuberculous mycobacterial infection. He started ciprofloxacin and rifampin then. He has hypertension and got a mechanical aortic valve 6 years back for aortic stenosis. He also takes hydrochlorothiazide, lisinopril, and warfarin. His warfarin dose was doubled four days ago. He’s trying to eat healthier and drinks two 12-oz beers daily. Lab results from four days ago and today show: 4 Days Ago: Prothrombin time 11 sec (INR=1) Partial thromboplastin time 29 sec Today: Prothrombin time 11.2 sec (INR=1.1) Partial thromboplastin time 27 sec. What is the most likely cause of these lab results?","A 78-year-old man is at the office for a follow-up exam. He was discharged from the hospital 1 week ago after treatment for a nontuberculous mycobacterial infection and began ciprofloxacin and rifampin. He also has hypertension and had a mechanical aortic valve placed 6 years ago for aortic stenosis. Other medications include hydrochlorothiazide, lisinopril, and warfarin. His warfarin dose doubled 4 days ago. He is trying to eat healthier and drinks two 12-oz beers daily. Lab results from 4 days ago and today showed: 4 Days Ago: Prothrombin time 11 sec (INR=1) Partial thromboplastin time 29 sec Today: Prothrombin time 11.2 sec (INR=1.1) Partial thromboplastin time 27 sec. What is the most likely reason for his lab findings?","A 78-year-old man comes to the clinic for a follow-up examination. He was recently discharged from the hospital one week ago after receiving treatment for a nontuberculous mycobacterial infection, at which time he started taking ciprofloxacin and rifampin. The patient also has a history of hypertension and underwent a mechanical aortic valve placement 6 years ago to address aortic stenosis. His current medications include hydrochlorothiazide, lisinopril, and warfarin, with the warfarin dose being doubled approximately 4 days ago. The patient reports attempting to adhere to a healthier diet and admits to consuming two 12-oz beers daily. Laboratory results obtained 4 days ago and today reveal: 4 Days Ago: Prothrombin time 11 sec (INR=1) Partial thromboplastin time 29 sec Today: Prothrombin time 11.2 sec (INR=1.1) Partial thromboplastin time 27 sec. Which factor is the most likely cause of this patient's laboratory results?","A 78-year-old male patient presents for a follow-up examination. He was discharged from the hospital 1 week ago following treatment for a nontuberculous mycobacterial infection, and at that time was initiated on ciprofloxacin and rifampin therapy. The patient possesses a medical history significant for hypertension and mechanical aortic valve replacement performed 6 years prior due to aortic stenosis. His existing medication regimen includes hydrochlorothiazide, lisinopril, and warfarin, with the recent adjustment of doubling the warfarin dosage 4 days prior. The patient indicates efforts to maintain a healthier diet and notes a daily intake of two 12-oz beers. Laboratory evaluations conducted 4 days ago and today disclosed the following: 4 Days Ago: Prothrombin time 11 sec (INR=1) Partial thromboplastin time 29 sec Today: Prothrombin time 11.2 sec (INR=1.1) Partial thromboplastin time 27 sec. Identify the most plausible cause of the aberrations in this patient's lab findings.",
5,"A 32-year-old man visits the office with a fever and sore throat for 2 weeks. He is 173 cm tall, weighs 63 kg, and has a BMI of 21. His pulse is 110/min, breathing is 16/min, and blood pressure is 98/68 mm Hg. He has 2- to 4-cm lymph nodes in his neck, armpits, and groin. Both tonsils have exudate, but there are no sores. Lab results: Hemoglobin 9.6 g/dL, Hematocrit 29%, White blood cells 1500/mm3, Platelets 60,000/mm3. The heterophile antibody test is negative. What is the most likely diagnosis?","A 32-year-old man comes to the office due to having a fever and throat pain for the past 2 weeks. He is 173 cm tall and weighs 63 kg, with a BMI of 21. His pulse is 110/min, respiratory rate is 16/min, and blood pressure is 98/68 mm Hg. The examination reveals 2- to 4-cm lymph nodes scattered in the neck, armpits, and groin. There is a bilateral tonsillar exudate present, but no ulcerations are found. Laboratory results show: Hemoglobin 9.6 g/dL, Hematocrit 29%, Leukocyte count 1500/mm3, Platelet count 60,000/mm3. A heterophile antibody test returned negative. What is the most likely diagnosis?","A 32-year-old man presents to the office with a 2-week history of fever and throat pain. He is 173 cm tall (5 ft 8 in) and weighs 63 kg (140 lb), with a BMI of 21 kg/m2. His vital signs are: pulse of 110/min, respirations of 16/min, and blood pressure of 98/68 mm Hg. On physical examination, there are 2- to 4-cm lymph nodes found in the neck, axillary, and inguinal areas. There is a bilateral tonsillar exudate, but no ulcerations. Laboratory studies show: Hemoglobin 9.6 g/dL, Hematocrit 29%, Leukocyte count 1500/mm3, Platelet count 60,000/mm3. The heterophile antibody test result is negative. What is the most likely diagnosis?","A 32-year-old male patient presents with a 2-week history of fever and throat pain. His height is 173 cm (5 ft 8 in), weight is 63 kg (140 lb), and his BMI is 21 kg/m2. Current vital signs include a pulse of 110/min, respirations at 16/min, and a blood pressure reading of 98/68 mm Hg. Physical examination identifies scattered 2- to 4-cm lymph nodes in cervical, axillary, and inguinal regions. There is observed bilateral tonsillar exudate without ulcerations. Laboratory investigations reveal: Hemoglobin 9.6 g/dL, Hematocrit 29%, Leukocyte count 1500/mm3, and Platelet count 60,000/mm3. The heterophile antibody test is negative. Which of the following is the most likely diagnosis?",
6,"A 50-year-old man visits the doctor for a follow-up. For 2 months, he has had headaches and gets short of breath when he exercises. He also has high blood pressure and takes hydrochlorothiazide for it for 2 years. His current blood pressure is 180/105 mm Hg. What is the eye exam likely to show in this patient?",A 50-year-old man is here for a follow-up check-up. He has had headaches and shortness of breath with exertion for 2 months. He also has hypertension and has been taking hydrochlorothiazide for the past 2 years. His blood pressure today is 180/105 mm Hg. What will the eye examination likely reveal in this patient?,"The patient is a 50-year-old man who comes to the office for a follow-up visit. He reports a 2-month history of headaches and shortness of breath when exerting himself. He also has hypertension, which is being managed with hydrochlorothiazide for 2 years. His current blood pressure reading is 180/105 mm Hg. In an ophthalmoscopic examination, what findings are most likely to appear in this patient?",A 50-year-old man presents for a follow-up examination. He reports a 2-month history of headaches and exertional dyspnea. He has a known history of hypertension that has been treated with hydrochlorothiazide for the past 2 years. His current blood pressure is recorded as 180/105 mm Hg. What findings are most likely to be identified upon ophthalmoscopic examination in this patient?,
7,"A 51-year-old man with 10 years of gastroesophageal reflux thinks he might have Barrett esophagus. He comes to the office because his omeprazole ""doesn't work around the Christmas holidays."" He says he eats a lot and drinks alcohol during the holidays. He takes the maximum dose of omeprazole. What should the doctor do first?","A 51-year-old man has had gastroesophageal reflux for 10 years and is suspected to have Barrett esophagus. He visits the doctor because his omeprazole ""doesn't work around the Christmas holidays."" He mentions he eats a lot and ""holds his liquor"" during this time. He is on the maximum dose of omeprazole. What is the first action the physician should take?","A 51-year-old man with a 10-year history of gastroesophageal reflux, likely with Barrett esophagus, attends the office due to his omeprazole ""not working around the Christmas holidays."" He prides himself on having a large appetite and handling alcohol well during this period. He is already on the maximum dose of omeprazole. What should be the physician's initial action?","A 51-year-old man, who has had gastroesophageal reflux for 10 years and is suspected of having Barrett esophagus, presents to the office complaining that his omeprazole is ineffective ""around the Christmas holidays."" He mentions taking pride in having a large appetite and ""holding his liquor"" during these holidays. Despite taking the maximum dose of omeprazole, he experiences these issues. What is the most appropriate initial action for the physician to take?",
8,"This question is about a 60-year-old man with problems like weakness, tingling in his hands and feet, irritability, and forgetfulness for 4 months. The doctor finds he has pale skin, weakness, and tight muscles. The man's deep tendon reflexes are more active, and he can't feel vibrations in his lower legs. His lab tests show megaloblastic anemia, antiparietal cell antibodies, and high levels of methylmalonic acid and total homocyst(e)ine in his blood. Which amino acid is not being made properly in this man?","A 60-year-old man visits the doctor due to weakness, tingling in his hands and feet, irritability, and forgetfulness that have been going on for 4 months. During the physical examination, pallor, weakness, and spasticity are observed. His deep tendon reflexes are increased. He can't feel vibrations in his lower extremities. Lab tests reveal megaloblastic anemia, serum antiparietal cell antibodies, and high serum levels of methylmalonic acid and total homocyst(e)ine. Which amino acid synthesis is likely impaired in this patient?","A 60-year-old man presents with weakness, tingling in his hands and feet, irritability, and forgetfulness persisting for 4 months. The physical examination reveals pallor, weakness, and spasticity. His deep tendon reflexes are elevated, and there is an absence of vibration sensation in the lower extremities. Laboratory studies indicate megaloblastic anemia, the presence of antiparietal cell antibodies, and elevated serum levels of methylmalonic acid and total homocyst(e)ine. Which amino acid's synthesis is likely impaired in this patient?","A 60-year-old male patient presents with a 4-month history of weakness, tingling in his hands and feet, irritability, and forgetfulness. On examination, he exhibits pallor, weakness, and spasticity, with increased deep tendon reflexes and absent vibration sensation in the lower extremities. Laboratory findings reveal megaloblastic anemia, serum antiparietal cell antibodies, and elevated concentrations of methylmalonic acid and total homocyst(e)ine. Which amino acid's synthesis is most likely impaired in this patient?",
9,A 65-year-old woman is at the doctor 1 year after surgery and treatment for her stage III colon cancer. She feels tired. A CT scan shows five new 2- to 3-cm masses in the liver and lungs. Through which structure did the cancer most likely spread to the lungs?,A 65-year-old woman visits her doctor for a follow-up 1 year after surgery and chemotherapy for stage III colon cancer. She reports feeling fatigued. A physical exam shows no issues. A CT scan reveals five new 2- to 3-cm masses in her liver and both lungs. What structure most likely allowed the cancer to spread to her lungs?,"A 65-year-old woman comes for a follow-up 1 year after having surgery and chemotherapy for stage III colon cancer. She complains of fatigue. Her physical exam is normal. A CT scan of the chest and abdomen reveals five new masses, each 2 to 3 cm, in the liver and both lungs. By which structure did the cancer most likely spread to the lungs?","A 65-year-old woman attends a follow-up appointment 1 year after undergoing resection of the right colon and chemotherapy for stage III colon cancer. She reports experiencing fatigue. On examination, there are no abnormalities. A staging CT scan shows five new 2- to 3-cm masses in the liver and both lungs. Through which anatomical structure did this patient's cancer most likely metastasize to the lungs?",
