,en,es,ar,cs,de,id,ko,ja,lv,nl,it
0,"[0.30755558609962463, 0.25648581981658936, 0.24334613978862762, 0.11775954812765121, 0.07485291361808777]&['Recent physical activity', 'Previous  fractures', 'BMI', 'Family history', 'Medication use']","[0.5360147356987, 0.2708994150161743, 0.11205212771892548, 0.055472709238529205, 0.025561004877090454]&['Previous  fractures', 'Recent physical activity', 'BMI', 'Family history', 'Medication use']","[0.40059971809387207, 0.2625855803489685, 0.25905221700668335, 0.05510421842336655, 0.022658193483948708]&['Previous  fractures', 'BMI', 'Recent physical activity', 'Family history', 'Medication use']","[0.47498929500579834, 0.23081892728805542, 0.2220945656299591, 0.04927081987261772, 0.02282639779150486]&['Previous  fractures', 'Recent physical activity', 'BMI', 'Family history', 'Medication use']","[0.41433054208755493, 0.26930397748947144, 0.24941439926624298, 0.04000373184680939, 0.026947300881147385]&['Previous  fractures', 'BMI', 'Recent physical activity', 'Family history', 'Medication use']","[0.4473857581615448, 0.2771250307559967, 0.21446651220321655, 0.040700413286685944, 0.02032226137816906]&['Previous  fractures', 'Recent physical activity', 'BMI', 'Family history', 'Medication use']","[0.5144602656364441, 0.26121801137924194, 0.13270458579063416, 0.05550779029726982, 0.03610941395163536]&['BMI', 'Previous  fractures', 'Recent physical activity', 'Family history', 'Medication use']","[0.4167497456073761, 0.27785566449165344, 0.24052664637565613, 0.03657233715057373, 0.02829558029770851]&['BMI', 'Previous  fractures', 'Recent physical activity', 'Family history', 'Medication use']","[0.35410502552986145, 0.35402634739875793, 0.22331717610359192, 0.04708447679877281, 0.021466966718435287]&['Recent physical activity', 'Previous  fractures', 'BMI', 'Family history', 'Medication use']","[0.3844756782054901, 0.28069832921028137, 0.26309385895729065, 0.04876041039824486, 0.02297172322869301]&['Previous  fractures', 'Recent physical activity', 'BMI', 'Family history', 'Medication use']","[0.3584609031677246, 0.3113406002521515, 0.26379135251045227, 0.03828220069408417, 0.028124958276748657]&['Previous  fractures', 'BMI', 'Recent physical activity', 'Family history', 'Medication use']"
1,"[0.325710654258728, 0.2912140488624573, 0.2248525768518448, 0.1582227200269699]&['Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.31199419498443604, 0.2932465970516205, 0.2051796168088913, 0.18957960605621338]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.3533262312412262, 0.2866988182067871, 0.21050341427326202, 0.14947156608104706]&['Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.3308919370174408, 0.2956564724445343, 0.19445067644119263, 0.17900092899799347]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.3525235950946808, 0.28986242413520813, 0.20106811821460724, 0.15654586255550385]&['Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.31389206647872925, 0.3079098165035248, 0.19565033912658691, 0.18254782259464264]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.34356391429901123, 0.2716391682624817, 0.21866512298583984, 0.16613174974918365]&['Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.31415852904319763, 0.29981619119644165, 0.210626021027565, 0.17539919912815094]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.3403364419937134, 0.26839253306388855, 0.21183058619499207, 0.17944049835205078]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.30356886982917786, 0.3003665506839752, 0.21663929522037506, 0.17942532896995544]&['Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.3205547332763672, 0.3004130423069, 0.1904383897781372, 0.1885938048362732]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration']"
2,"[0.4556657373905182, 0.24654053151607513, 0.21119529008865356, 0.05948558449745178, 0.027112865820527077]&['Proteins in neutrophil cytoplasm', 'Collagen', 'Phospholipid', 'Nucleolar protein', 'Double -stranded DNA']","[0.3557412028312683, 0.32748937606811523, 0.23423968255519867, 0.06874147057533264, 0.013788223266601562]&['Proteins in neutrophil cytoplasm', 'Collagen', 'Phospholipid', 'Nucleolar protein', 'Double -stranded DNA']","[0.3826788365840912, 0.3221314251422882, 0.20199556648731232, 0.06869208067655563, 0.024502137675881386]&['Proteins in neutrophil cytoplasm', 'Collagen', 'Phospholipid', 'Nucleolar protein', 'Double -stranded DNA']","[0.4162119925022125, 0.24983464181423187, 0.2046673446893692, 0.07170893996953964, 0.05757715925574303]&['Collagen', 'Phospholipid', 'Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Nucleolar protein']","[0.43208956718444824, 0.2790311872959137, 0.20243887603282928, 0.058486029505729675, 0.027954312041401863]&['Collagen', 'Phospholipid', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Double -stranded DNA']","[0.32576924562454224, 0.2857906222343445, 0.2775500416755676, 0.08464716374874115, 0.026242919266223907]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Phospholipid', 'Nucleolar protein', 'Double -stranded DNA']","[0.3268287479877472, 0.2810536026954651, 0.2763324975967407, 0.07327541708946228, 0.042509716004133224]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Phospholipid', 'Nucleolar protein', 'Double -stranded DNA']","[0.3713683784008026, 0.2853119671344757, 0.25953274965286255, 0.05064377561211586, 0.033143118023872375]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Phospholipid', 'Nucleolar protein', 'Double -stranded DNA']","[0.32840490341186523, 0.31053709983825684, 0.24427823722362518, 0.08598761260509491, 0.030792223289608955]&['Phospholipid', 'Collagen', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Double -stranded DNA']","[0.4445217251777649, 0.25236859917640686, 0.19242936372756958, 0.07173430174589157, 0.038946058601140976]&['Collagen', 'Phospholipid', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Double -stranded DNA']","[0.35120823979377747, 0.29979830980300903, 0.2714967727661133, 0.06568504869937897, 0.011811548843979836]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Phospholipid', 'Nucleolar protein', 'Double -stranded DNA']"
3,"[0.3538609743118286, 0.22699126601219177, 0.21213515102863312, 0.20701265335083008]&['Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially', 'Fusion of the inferior poles of the metanephros during ascent']","[0.3187248706817627, 0.28394192457199097, 0.2255958914756775, 0.17173728346824646]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.38884633779525757, 0.23448476195335388, 0.21092231571674347, 0.16574661433696747]&['Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']","[0.3431982100009918, 0.2509393095970154, 0.2074161320924759, 0.19844630360603333]&['Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.3590696454048157, 0.22645138204097748, 0.22117653489112854, 0.19330236315727234]&['Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']","[0.42861977219581604, 0.33916154503822327, 0.12274237722158432, 0.10947636514902115]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent']","[0.41174569725990295, 0.23630520701408386, 0.2239854633808136, 0.1279635727405548]&['Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']","[0.2931712865829468, 0.2714219093322754, 0.23448067903518677, 0.20092608034610748]&['Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially']","[0.3431635797023773, 0.23114508390426636, 0.22877681255340576, 0.19691459834575653]&['Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially', 'Fusion of the inferior poles of the metanephros during ascent']","[0.3627774715423584, 0.2214553952217102, 0.21511530876159668, 0.2006518393754959]&['Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.326775461435318, 0.23854315280914307, 0.23739707469940186, 0.19728434085845947]&['Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']"
4,"[0.27535387873649597, 0.2557311952114105, 0.17583364248275757, 0.17321167886257172, 0.11986959725618362]&['Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes']","[0.30459320545196533, 0.3005751967430115, 0.17144136130809784, 0.1407344490289688, 0.08265580981969833]&['Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Decreased protein binding  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes']","[0.2957606315612793, 0.2613716423511505, 0.18800336122512817, 0.14822101593017578, 0.10664331167936325]&['Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes']","[0.28678080439567566, 0.26329395174980164, 0.2370120733976364, 0.13529205322265625, 0.07762112468481064]&['Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes']","[0.2760475277900696, 0.25758957862854004, 0.17505621910095215, 0.17497819662094116, 0.11632850766181946]&['Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes']","[0.30660325288772583, 0.30553877353668213, 0.1530759185552597, 0.15170595049858093, 0.0830761268734932]&['Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes']","[0.2929334044456482, 0.2690584063529968, 0.17438951134681702, 0.17347633838653564, 0.09014223515987396]&['Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Decreased protein binding  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes']","[0.30073586106300354, 0.2815679907798767, 0.17234696447849274, 0.15578609704971313, 0.08956314623355865]&['Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes']","[0.3044573664665222, 0.22194164991378784, 0.17231485247612, 0.16963361203670502, 0.13165251910686493]&['Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Decreased protein binding  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes']","[0.3006155788898468, 0.2975795567035675, 0.16174796223640442, 0.1432357132434845, 0.09682118147611618]&['Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes']","[0.28529807925224304, 0.282375693321228, 0.18811361491680145, 0.15994808077812195, 0.08426455408334732]&['Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes']"
5,"[0.5921669006347656, 0.14194247126579285, 0.09500257670879364, 0.09360388666391373, 0.07728417962789536]&['Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.5601827502250671, 0.17619681358337402, 0.10821324586868286, 0.10427702963352203, 0.05113014206290245]&['Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.5528799295425415, 0.20193874835968018, 0.10438686609268188, 0.0963083952665329, 0.044486090540885925]&['Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'Gonococcal pharyngitis  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.4979204833507538, 0.24871546030044556, 0.1367187798023224, 0.0670403316617012, 0.049604952335357666]&['Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.5240916013717651, 0.20893536508083344, 0.12791916728019714, 0.09697677940130234, 0.04207705333828926]&['Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.5082647800445557, 0.23393851518630981, 0.10541659593582153, 0.09967733919620514, 0.05270274356007576]&['Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.5669826865196228, 0.18012717366218567, 0.09977254271507263, 0.08983948081731796, 0.06327812373638153]&['Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.4847738742828369, 0.25300776958465576, 0.12279865145683289, 0.07178469002246857, 0.06763507425785065]&['Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.47027477622032166, 0.2976539433002472, 0.1256745457649231, 0.07291440665721893, 0.03348229080438614]&['Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.5470777750015259, 0.21892566978931427, 0.09454089403152466, 0.08996352553367615, 0.049492087215185165]&['Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.5538537502288818, 0.19924478232860565, 0.09850157797336578, 0.09770232439041138, 0.05069754645228386]&['Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'Gonococcal pharyngitis  ', 'HIV infection  ', 'Streptococcal pharyngitis']"
6,"[0.5306543707847595, 0.17550835013389587, 0.13995829224586487, 0.08157958835363388, 0.07229936867952347]&['Arteriovenous nicking  ', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment']","[0.3645641505718231, 0.20406682789325714, 0.15957507491111755, 0.1432749480009079, 0.1285189837217331]&['Arteriovenous nicking  ', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment']","[0.33204105496406555, 0.2454252690076828, 0.18223053216934204, 0.12402433902025223, 0.11627881228923798]&['Arteriovenous nicking  ', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Tractional retinal detachment', 'Melanocytes in the uvea  ']","[0.35659661889076233, 0.20515717566013336, 0.18715420365333557, 0.14356781542301178, 0.10752420127391815]&['Arteriovenous nicking  ', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Tractional retinal detachment', 'Melanocytes in the uvea  ']","[0.34047162532806396, 0.2218637317419052, 0.18204990029335022, 0.12933115661144257, 0.1262836456298828]&['Arteriovenous nicking  ', 'Tractional retinal detachment', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ']","[0.37437862157821655, 0.22897465527057648, 0.15971475839614868, 0.14194193482398987, 0.09499002248048782]&['Arteriovenous nicking  ', 'Optic neuritis  ', 'Melanocytes in the uvea  ', 'Posterior subcapsular cataracts  ', 'Tractional retinal detachment']","[0.36139175295829773, 0.20458903908729553, 0.17124271392822266, 0.13777807354927063, 0.12499850243330002]&['Arteriovenous nicking  ', 'Tractional retinal detachment', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ']","[0.420171320438385, 0.17237941920757294, 0.15302206575870514, 0.13605444133281708, 0.11837276816368103]&['Arteriovenous nicking  ', 'Tractional retinal detachment', 'Optic neuritis  ', 'Melanocytes in the uvea  ', 'Posterior subcapsular cataracts  ']","[0.32643625140190125, 0.22198818624019623, 0.20443977415561676, 0.13396035134792328, 0.1131754219532013]&['Arteriovenous nicking  ', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment']","[0.390408992767334, 0.2468109130859375, 0.13715104758739471, 0.12777142226696014, 0.09785762429237366]&['Arteriovenous nicking  ', 'Optic neuritis  ', 'Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ']","[0.36441171169281006, 0.23691542446613312, 0.197276309132576, 0.10521227866411209, 0.09618432819843292]&['Arteriovenous nicking  ', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment']"
7,"[0.3136790096759796, 0.23335422575473785, 0.19536404311656952, 0.15190167725086212, 0.10570106655359268]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole', 'Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ']","[0.2951551079750061, 0.2676621377468109, 0.16971264779567719, 0.16381320357322693, 0.1036568284034729]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.26544469594955444, 0.22997841238975525, 0.19439102709293365, 0.1616809070110321, 0.14850489795207977]&['Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ']","[0.3367835581302643, 0.3179026246070862, 0.14570558071136475, 0.12747466564178467, 0.0721336230635643]&['Switch the omeprazole to pantoprazole', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ']","[0.3606095016002655, 0.23354408144950867, 0.17056380212306976, 0.16647402942180634, 0.06880857050418854]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Order an upper endoscopy  ', 'Switch the omeprazole to pantoprazole']","[0.27870652079582214, 0.2733967900276184, 0.17577724158763885, 0.1377723067998886, 0.13434718549251556]&['Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.2952021658420563, 0.2605147659778595, 0.16372664272785187, 0.1508644074201584, 0.12969203293323517]&['Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.2557353675365448, 0.215343177318573, 0.18299256265163422, 0.17682252824306488, 0.1691063791513443]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.3786826431751251, 0.285400927066803, 0.14550955593585968, 0.12372216582298279, 0.06668476015329361]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole', 'Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ']","[0.38695335388183594, 0.29402101039886475, 0.14078673720359802, 0.12446414679288864, 0.053774770349264145]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.28135257959365845, 0.25934556126594543, 0.15851308405399323, 0.15696394443511963, 0.1438247710466385]&['Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']"
8,"[0.5000337958335876, 0.14223921298980713, 0.1420173943042755, 0.1332511305809021, 0.08245849609375]&['Methionine  ', 'Cysteine  ', 'Tyrosine', 'Phenylalanine  ', 'Glutamine  ']","[0.5251155495643616, 0.15392008423805237, 0.11764458566904068, 0.10256056487560272, 0.10075917840003967]&['Methionine  ', 'Cysteine  ', 'Glutamine  ', 'Tyrosine', 'Phenylalanine  ']","[0.4038173258304596, 0.2621675729751587, 0.153695210814476, 0.12055470049381256, 0.05976516008377075]&['Methionine  ', 'Cysteine  ', 'Tyrosine', 'Glutamine  ', 'Phenylalanine  ']","[0.44274869561195374, 0.15831536054611206, 0.15122629702091217, 0.13180886209011078, 0.11590085178613663]&['Methionine  ', 'Tyrosine', 'Cysteine  ', 'Phenylalanine  ', 'Glutamine  ']","[0.43043166399002075, 0.18801333010196686, 0.13087865710258484, 0.13014693558216095, 0.12052933871746063]&['Methionine  ', 'Cysteine  ', 'Phenylalanine  ', 'Glutamine  ', 'Tyrosine']","[0.407776415348053, 0.16468462347984314, 0.15024442970752716, 0.1501794010400772, 0.12711510062217712]&['Methionine  ', 'Cysteine  ', 'Tyrosine', 'Phenylalanine  ', 'Glutamine  ']","[0.48132258653640747, 0.19844165444374084, 0.1331295520067215, 0.10509136319160461, 0.08201491087675095]&['Methionine  ', 'Cysteine  ', 'Phenylalanine  ', 'Glutamine  ', 'Tyrosine']","[0.48605701327323914, 0.16172267496585846, 0.12474852800369263, 0.12215911597013474, 0.10531270503997803]&['Methionine  ', 'Cysteine  ', 'Phenylalanine  ', 'Glutamine  ', 'Tyrosine']","[0.47039949893951416, 0.16051173210144043, 0.1388009488582611, 0.11734501272439957, 0.11294282972812653]&['Methionine  ', 'Tyrosine', 'Cysteine  ', 'Phenylalanine  ', 'Glutamine  ']","[0.4256567656993866, 0.17119786143302917, 0.14689913392066956, 0.13664959371089935, 0.11959661543369293]&['Methionine  ', 'Cysteine  ', 'Tyrosine', 'Phenylalanine  ', 'Glutamine  ']","[0.4071589708328247, 0.17697077989578247, 0.14638423919677734, 0.14396730065345764, 0.12551866471767426]&['Methionine  ', 'Tyrosine', 'Cysteine  ', 'Phenylalanine  ', 'Glutamine  ']"
9,"[0.5250726938247681, 0.17589661478996277, 0.15993298590183258, 0.05968764051795006, 0.03357769176363945, 0.02672705054283142, 0.01910540834069252]&['Middle colic artery  ', 'Superior vena cava', 'Left colic vein  ', 'Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ']","[0.535775899887085, 0.179236501455307, 0.14180749654769897, 0.05910959467291832, 0.04100470244884491, 0.027881000190973282, 0.015184753574430943]&['Middle colic artery  ', 'Superior vena cava', 'Left colic vein  ', 'Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ']","[0.5259557962417603, 0.2005770206451416, 0.14081798493862152, 0.06381651014089584, 0.03042067028582096, 0.022838406264781952, 0.01557355560362339]&['Middle colic artery  ', 'Superior vena cava', 'Left colic vein  ', 'Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ']","[0.5549719929695129, 0.1694059520959854, 0.11607424169778824, 0.05713559314608574, 0.04926939308643341, 0.0324847586452961, 0.020657993853092194]&['Middle colic artery  ', 'Left colic vein  ', 'Superior vena cava', 'Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ']","[0.513469934463501, 0.21174798905849457, 0.1453060805797577, 0.05538271367549896, 0.034517232328653336, 0.0244945976883173, 0.015081397257745266]&['Middle colic artery  ', 'Superior vena cava', 'Left colic vein  ', 'Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ']","[0.5220118761062622, 0.19110441207885742, 0.13480232656002045, 0.06845921277999878, 0.03636625409126282, 0.030381040647625923, 0.016874918714165688]&['Middle colic artery  ', 'Superior vena cava', 'Left colic vein  ', 'Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ']","[0.6780214309692383, 0.11481628566980362, 0.09475366026163101, 0.05209203064441681, 0.0268145389854908, 0.019725121557712555, 0.013776974752545357]&['Middle colic artery  ', 'Left colic vein  ', 'Superior vena cava', 'Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ']","[0.48038485646247864, 0.19895347952842712, 0.16179324686527252, 0.0703202411532402, 0.04084022343158722, 0.029702048748731613, 0.018005911260843277]&['Middle colic artery  ', 'Superior vena cava', 'Left colic vein  ', 'Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ']","[0.5667217373847961, 0.15018850564956665, 0.10567554831504822, 0.06045117601752281, 0.05106866732239723, 0.04542838782072067, 0.020466046407818794]&['Middle colic artery  ', 'Left colic vein  ', 'Superior vena cava', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Inferior vena cava  ']","[0.5283916592597961, 0.1651913821697235, 0.15832969546318054, 0.060714494436979294, 0.04382545128464699, 0.028273558244109154, 0.01527372095733881]&['Middle colic artery  ', 'Left colic vein  ', 'Superior vena cava', 'Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ']","[0.4952946603298187, 0.18460144102573395, 0.14742110669612885, 0.06822656840085983, 0.05008561536669731, 0.035540297627449036, 0.018830271437764168]&['Middle colic artery  ', 'Superior vena cava', 'Left colic vein  ', 'Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ']"
