Phi-3-medium-4k-instruct (Revised % Concordant),Chocolatine-14B-Instruct-DPO-v1.2 (Revised % Concordant),Qwen2.5-32B (Revised % Concordant),lambda-qwen2.5-32b-dpo-test (Revised % Concordant),franqwenstein-35b (Revised % Concordant),Yi-1.5-34B-Chat (Revised % Concordant),qwen-carpmuscle-v0.1 (Revised % Concordant)
0.2,0.1,0.2,0.3,0.3,0.3,0.2
0.2,0.2,0.2,0.1,0.1,0.3,0.2
0.1,0.3,0.2,0.2,0.1,0.3,0.2
0.2,0.3,0.3,0.3,0.2,0.3,0.2
0.2,0.3,0.2,0.2,0.1,0.2,0.2
0.4,0.3,0.2,0.2,0.2,0.2,0.1
0.3,0.3,0.1,0.3,0.1,0.3,0.1
0.2,0.3,0.2,0.2,0.2,0.2,0.1
0.4,0.2,0.1,0.3,0.1,0.3,0.3
0.2,0.2,0.3,0.4,0.1,0.5,0.1
0.3,0.2,0.2,0.2,0.2,0.4,0.2
0.2,0.1,0.2,0.3,0.3,0.3,0.2
0.3,0.3,0.1,0.2,0.1,0.3,0.1
0.1,0.3,0.2,0.3,0.1,0.5,0.3
0.3,0.2,0.1,0.1,0.1,0.2,0.1
0.2,0.2,0.3,0.1,0.1,0.3,0.1
0.4,0.2,0.2,0.2,0.1,0.2,0.2
0.3,0.3,0.2,0.1,0.1,0.2,0.3
0.3,0.1,0.1,0.2,0.1,0.3,0.3
0.1,0.3,0.3,0.3,0.1,0.4,0.1
0.4,0.3,0.4,0.3,0.2,0.3,0.3
0.3,0.4,0.3,0.3,0.1,0.4,0.3
0.3,0.2,0.1,0.3,0.1,0.2,0.1
0.2,0.1,0.2,0.2,0.1,0.2,0.1
0.3,0.4,0.2,0.3,0.2,0.2,0.1
0.2,0.3,0.2,0.1,0.1,0.2,0.1
0.4,0.1,0.1,0.3,0.1,0.3,0.2
0.3,0.3,0.2,0.3,0.2,0.3,0.2
0.2,0.1,0.2,0.3,0.1,0.2,0.2
0.1,0.2,0.1,0.4,0.1,0.2,0.3
0.3,0.3,0.1,0.1,0.1,0.4,0.1
0.3,0.2,0.1,0.2,0.1,0.5,0.1
0.4,0.2,0.2,0.2,0.1,0.3,0.3
0.2,0.2,0.2,0.5,0.3,0.4,0.3
