,Correct Answer,Phi-3-medium-4k-instruct,Phi-3-medium-4k-instruct (Revised % Concordant),Chocolatine-14B-Instruct-DPO-v1.2,Chocolatine-14B-Instruct-DPO-v1.2 (Revised % Concordant),Qwen2.5-32B,Qwen2.5-32B (Revised % Concordant),lambda-qwen2.5-32b-dpo-test,lambda-qwen2.5-32b-dpo-test (Revised % Concordant),franqwenstein-35b,franqwenstein-35b (Revised % Concordant),Yi-1.5-34B-Chat,Yi-1.5-34B-Chat (Revised % Concordant),qwen-carpmuscle-v0.1,qwen-carpmuscle-v0.1 (Revised % Concordant)
0,A,D,0.9,D,1.0,E,0.6,A,0.7,A,0.7,C,0.6,B,0.8
1,B,A,0.7,D,0.9,C,0.6,B,1.0,D,1.0,A,0.5,D,0.9
2,A,E,1.0,E,0.8,B,0.8,D,0.7,A,1.0,C,0.5,A,0.7
3,D,D,0.9,C,0.8,B,0.7,A,0.5,D,0.9,D,0.6,C,0.7
4,E,C,0.8,C,0.8,A,0.7,A,0.9,E,1.0,D,0.9,B,0.9
5,C,E,0.4,B,0.5,D,0.8,C,0.8,A,0.8,D,0.8,D,1.0
6,A,E,0.6,C,0.6,A,1.0,A,0.6,E,1.0,C,0.6,B,1.0
7,A,C,0.6,B,0.8,C,0.5,D,0.5,E,0.9,E,0.9,C,1.0
8,C,C,0.3,C,0.9,C,1.0,C,0.7,E,1.0,B,0.4,B,0.8
9,B,F,0.8,B,0.7,A,0.6,E,0.4,G,1.0,F,0.3,F,1.0
10,F,A,0.8,F,0.6,A,0.6,F,0.9,F,0.8,C,0.4,E,0.9
11,C,D,0.7,E,1.0,C,0.6,C,0.8,D,0.7,A,0.5,D,0.9
12,B,D,0.6,C,0.5,A,1.0,C,0.9,B,1.0,D,0.8,A,1.0
13,B,E,1.0,A,0.7,A,0.7,C,0.5,E,1.0,C,0.5,B,0.5
14,E,A,0.4,C,0.9,C,1.0,E,1.0,E,1.0,A,0.9,E,1.0
15,D,D,0.7,D,0.5,B,0.7,C,1.0,E,1.0,C,0.7,A,1.0
16,D,E,0.6,E,0.8,E,0.6,D,0.9,E,1.0,C,0.8,A,0.8
17,A,E,0.6,D,0.6,C,0.8,A,1.0,E,1.0,D,0.9,D,0.7
18,D,D,0.8,B,1.0,A,1.0,D,0.9,C,1.0,A,0.8,B,0.6
19,B,C,1.0,D,0.4,A,0.8,B,0.5,E,1.0,C,0.4,C,1.0
20,B,E,0.4,B,0.7,C,0.6,B,0.5,E,0.9,D,0.5,D,0.8
21,D,C,0.6,E,0.7,C,0.7,E,0.7,E,1.0,C,0.6,C,0.6
22,C,B,0.5,E,0.7,E,1.0,C,0.5,E,1.0,F,0.9,E,1.0
23,B,E,0.7,B,1.0,B,0.9,D,0.7,A,1.0,E,0.6,B,1.0
24,D,B,0.7,C,0.6,A,0.9,C,0.8,E,0.9,A,0.6,A,1.0
25,D,D,0.9,B,0.7,A,0.9,A,1.0,E,1.0,B,0.7,E,1.0
26,E,B,0.5,C,1.0,C,1.0,C,0.8,E,1.0,C,0.6,A,0.9
27,D,D,0.6,B,0.5,D,0.9,D,0.6,C,0.8,E,0.5,C,0.9
28,A,D,0.9,A,1.0,C,0.7,B,0.8,E,1.0,B,0.7,B,0.8
29,C,A,1.0,E,0.9,A,1.0,E,0.5,C,1.0,B,0.7,E,0.5
30,D,B,0.6,A,0.6,A,1.0,D,1.0,D,1.0,A,0.4,D,1.0
31,E,A,0.7,C,0.9,B,1.0,C,0.7,E,1.0,C,0.3,D,1.0
32,B,F,0.7,E,0.9,E,0.7,A,0.7,F,1.0,D,0.5,B,0.7
33,B,E,0.8,C,0.6,A,0.9,C,0.3,E,0.7,A,0.5,B,0.5
34,A,A,0.7,C,0.6,D,1.0,A,0.5,A,1.0,A,0.9,D,1.0
35,C,C,0.5,C,0.9,C,1.0,C,1.0,C,1.0,D,0.9,A,1.0
36,C,A,0.4,D,0.5,B,0.6,C,1.0,C,0.9,A,0.5,C,1.0
37,B,A,1.0,A,0.6,D,0.6,B,1.0,E,1.0,C,1.0,C,0.5
38,A,E,0.8,D,0.8,A,1.0,D,0.9,E,1.0,B,0.9,C,1.0
39,A,E,0.6,A,0.9,C,0.9,C,0.5,E,1.0,D,0.6,B,1.0
40,B,C,0.6,D,0.6,B,0.9,B,0.9,D,1.0,E,0.9,E,1.0
41,D,B,0.7,A,1.0,C,1.0,C,1.0,D,1.0,A,0.8,A,1.0
42,B,D,0.8,C,0.6,B,0.8,C,1.0,D,1.0,A,0.5,A,0.9
43,B,A,0.6,C,0.4,B,1.0,E,1.0,C,1.0,E,0.7,E,0.5
44,E,A,0.5,D,0.6,A,0.9,A,0.9,D,1.0,A,0.8,A,0.9
45,D,E,1.0,A,0.9,E,1.0,E,1.0,B,0.5,E,1.0,E,0.5
46,C,D,0.8,C,0.6,D,1.0,B,0.5,E,1.0,C,0.6,A,0.8
47,E,B,0.5,E,0.5,A,0.6,E,1.0,A,1.0,E,0.6,E,1.0
48,E,C,0.5,B,0.7,D,0.9,E,0.9,C,1.0,C,0.7,E,0.7
49,D,B,0.6,A,0.7,A,0.6,D,0.7,B,1.0,C,0.7,A,0.8
50,A,B,0.9,D,0.9,A,0.5,A,0.5,B,0.5,B,0.7,A,0.9
51,B,B,0.4,D,0.5,A,1.0,B,0.4,A,1.0,E,0.8,D,1.0
52,C,C,0.9,A,0.8,B,1.0,E,1.0,E,1.0,D,0.6,D,0.6
53,C,D,0.8,E,0.8,C,0.9,D,0.9,E,1.0,B,0.6,B,1.0
54,C,C,0.8,E,0.9,C,0.7,C,0.6,D,1.0,C,0.6,A,1.0
55,A,A,0.8,D,0.9,E,1.0,E,1.0,E,1.0,E,1.0,B,1.0
56,A,A,0.9,B,0.5,C,0.7,D,0.8,E,0.9,E,1.0,D,1.0
57,A,E,0.4,B,0.4,D,0.9,C,0.7,E,0.5,D,0.5,D,1.0
58,E,E,0.5,D,0.5,D,0.5,E,1.0,B,0.5,D,0.5,C,0.6
59,C,A,0.6,C,1.0,B,1.0,A,0.6,C,1.0,D,1.0,D,1.0
