,en,es,ar,cs,de,id,ko,ja,lv,nl,it
0,"[0.4462055265903473, 0.25320810079574585, 0.14515677094459534, 0.13179665803909302, 0.023632943630218506]&['BMI', 'Recent physical activity', 'Medication use', 'Previous  fractures', 'Family history']","[0.35310080647468567, 0.30044031143188477, 0.16417518258094788, 0.1461077481508255, 0.03617600351572037]&['Previous  fractures', 'Medication use', 'BMI', 'Recent physical activity', 'Family history']","[0.3057260811328888, 0.284042626619339, 0.275038480758667, 0.1144246980547905, 0.02076815254986286]&['Recent physical activity', 'Previous  fractures', 'BMI', 'Medication use', 'Family history']","[0.5129050612449646, 0.19310276210308075, 0.1533467173576355, 0.1054282858967781, 0.03521714359521866]&['Previous  fractures', 'Recent physical activity', 'Medication use', 'BMI', 'Family history']","[0.3297940194606781, 0.22021940350532532, 0.20759627223014832, 0.2075052261352539, 0.034885164350271225]&['Previous  fractures', 'BMI', 'Medication use', 'Recent physical activity', 'Family history']","[0.3144615590572357, 0.2596184015274048, 0.2153569757938385, 0.18065176904201508, 0.029911283403635025]&['Previous  fractures', 'Recent physical activity', 'Medication use', 'BMI', 'Family history']","[0.3987140953540802, 0.2362828403711319, 0.1845737099647522, 0.1535893678665161, 0.026840010657906532]&['BMI', 'Recent physical activity', 'Medication use', 'Previous  fractures', 'Family history']","[0.31970348954200745, 0.2638404369354248, 0.1985771507024765, 0.19638244807720184, 0.02149645984172821]&['Previous  fractures', 'BMI', 'Medication use', 'Recent physical activity', 'Family history']","[0.4160332679748535, 0.241952583193779, 0.21216905117034912, 0.09862170368432999, 0.031223375350236893]&['Previous  fractures', 'Recent physical activity', 'BMI', 'Medication use', 'Family history']","[0.32569780945777893, 0.2530766427516937, 0.20367959141731262, 0.18815878033638, 0.02938716672360897]&['Previous  fractures', 'BMI', 'Recent physical activity', 'Medication use', 'Family history']","[0.3038238286972046, 0.26325634121894836, 0.24225753545761108, 0.16364187002182007, 0.027020541951060295]&['Recent physical activity', 'BMI', 'Previous  fractures', 'Medication use', 'Family history']"
1,"[0.275002121925354, 0.2612345218658447, 0.25840917229652405, 0.20535413920879364]&['Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity', 'Decreased serum bicarbonate concentration']","[0.4497864544391632, 0.2397821992635727, 0.1627131849527359, 0.14771820604801178]&['Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity', 'Decreased serum bicarbonate concentration']","[0.45155060291290283, 0.21625396609306335, 0.2015961855649948, 0.13059930503368378]&['Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity', 'Decreased serum bicarbonate concentration']","[0.43633833527565, 0.24354518949985504, 0.1659635752439499, 0.15415295958518982]&['Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity', 'Decreased serum bicarbonate concentration']","[0.40045228600502014, 0.2624393105506897, 0.17307421565055847, 0.1640341728925705]&['Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity', 'Decreased serum bicarbonate concentration']","[0.4621478021144867, 0.19934937357902527, 0.18454138934612274, 0.1539614200592041]&['Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity', 'Decreased serum bicarbonate concentration']","[0.40373340249061584, 0.24135592579841614, 0.21529202163219452, 0.1396186351776123]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.4649433493614197, 0.20671658217906952, 0.1843845546245575, 0.14395557343959808]&['Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity', 'Decreased serum bicarbonate concentration']","[0.34067434072494507, 0.2723841369152069, 0.20229263603687286, 0.18464893102645874]&['Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration', 'Increased total lung capacity']","[0.44957566261291504, 0.21618707478046417, 0.18666622042655945, 0.14757102727890015]&['Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity', 'Decreased serum bicarbonate concentration']","[0.46594879031181335, 0.22565871477127075, 0.15426698327064514, 0.15412552654743195]&['Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration', 'Increased total lung capacity']"
2,"[0.3655703365802765, 0.2275533527135849, 0.16249313950538635, 0.16181950271129608, 0.0825636237859726]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Phospholipid', 'Nucleolar protein', 'Double -stranded DNA']","[0.39037609100341797, 0.1800006926059723, 0.1621943712234497, 0.15077590942382812, 0.11665301769971848]&['Collagen', 'Phospholipid', 'Nucleolar protein', 'Double -stranded DNA', 'Proteins in neutrophil cytoplasm']","[0.41219624876976013, 0.20372523367404938, 0.15883846580982208, 0.12487514317035675, 0.10036498308181763]&['Collagen', 'Phospholipid', 'Nucleolar protein', 'Double -stranded DNA', 'Proteins in neutrophil cytoplasm']","[0.4145285189151764, 0.22766011953353882, 0.1390688568353653, 0.1163487657904625, 0.10239371657371521]&['Collagen', 'Phospholipid', 'Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm']","[0.3478257954120636, 0.17102894186973572, 0.16870972514152527, 0.15966589748859406, 0.15276961028575897]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Nucleolar protein', 'Phospholipid']","[0.39266902208328247, 0.19280104339122772, 0.16405873000621796, 0.14582297205924988, 0.10464819520711899]&['Collagen', 'Phospholipid', 'Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm']","[0.243205264210701, 0.21116769313812256, 0.19308075308799744, 0.1835697591304779, 0.16897648572921753]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Double -stranded DNA', 'Phospholipid']","[0.34914159774780273, 0.22115309536457062, 0.20153459906578064, 0.11868348717689514, 0.10948718339204788]&['Collagen', 'Nucleolar protein', 'Phospholipid', 'Proteins in neutrophil cytoplasm', 'Double -stranded DNA']","[0.44334089756011963, 0.2531280517578125, 0.14957241714000702, 0.11184602975845337, 0.04211258143186569]&['Collagen', 'Phospholipid', 'Nucleolar protein', 'Double -stranded DNA', 'Proteins in neutrophil cytoplasm']","[0.3904043138027191, 0.1696929633617401, 0.16803839802742004, 0.14672718942165375, 0.1251371055841446]&['Collagen', 'Phospholipid', 'Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm']","[0.41916725039482117, 0.18847116827964783, 0.150026336312294, 0.14992982149124146, 0.09240540862083435]&['Collagen', 'Phospholipid', 'Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm']"
3,"[0.318098247051239, 0.2758687436580658, 0.20847849547863007, 0.19755445420742035]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially']","[0.3727503716945648, 0.2964188754558563, 0.19360880553722382, 0.13722191751003265]&['Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially']","[0.3357791304588318, 0.28050467371940613, 0.20449161529541016, 0.17922452092170715]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally']","[0.3832571804523468, 0.2393064945936203, 0.2129736989736557, 0.16446258127689362]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally']","[0.4046576917171478, 0.23548966646194458, 0.22275327146053314, 0.13709934055805206]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally']","[0.5287890434265137, 0.1909220963716507, 0.16779780387878418, 0.11249098926782608]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent']","[0.4111570715904236, 0.23824717104434967, 0.17990174889564514, 0.17069394886493683]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally']","[0.28491637110710144, 0.24832777678966522, 0.24469904601573944, 0.2220568209886551]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially']","[0.38873761892318726, 0.22937718033790588, 0.22836387157440186, 0.1535213738679886]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally']","[0.2830270826816559, 0.276991605758667, 0.25399234890937805, 0.1859889030456543]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.4321386218070984, 0.2245292067527771, 0.2203860878944397, 0.12294608354568481]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']"
4,"[0.80560302734375, 0.07022348791360855, 0.05839160457253456, 0.0481235533952713, 0.017658358439803123]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Increased alcohol intake  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ']","[0.9557843804359436, 0.024709606543183327, 0.011993303894996643, 0.004526703152805567, 0.0029860278591513634]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']","[0.9280151128768921, 0.04446205496788025, 0.018634779378771782, 0.004588799085468054, 0.004299212712794542]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']","[0.9207257628440857, 0.046529702842235565, 0.020181503146886826, 0.00771336117759347, 0.004849609918892384]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']","[0.9659872651100159, 0.016535883769392967, 0.011238394305109978, 0.0032079240772873163, 0.003030515741556883]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ']","[0.9679429531097412, 0.01715359464287758, 0.009915686212480068, 0.002635875716805458, 0.002351937582716346]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']","[0.9535471200942993, 0.029893500730395317, 0.010363624431192875, 0.0034995710011571646, 0.0026962198317050934]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']","[0.9602535963058472, 0.020010586827993393, 0.012655016034841537, 0.0035882582888007164, 0.003492519957944751]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']","[0.9331624507904053, 0.035635486245155334, 0.016267335042357445, 0.007528737653046846, 0.007406022399663925]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']","[0.9375940561294556, 0.03816128894686699, 0.016398008912801743, 0.004435648210346699, 0.0034110017586499453]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ']","[0.9693467020988464, 0.018028361722826958, 0.007766095921397209, 0.002458741655573249, 0.002400076948106289]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']"
5,"[0.33220258355140686, 0.2920383810997009, 0.2698374390602112, 0.07737276703119278, 0.028548846021294594]&['Epstein -Barr virus infection  ', 'Streptococcal pharyngitis', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ']","[0.47425222396850586, 0.32785502076148987, 0.10471862554550171, 0.06170814856886864, 0.03146595135331154]&['Streptococcal pharyngitis', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ']","[0.47538790106773376, 0.3564557135105133, 0.09873390942811966, 0.03805093839764595, 0.03137154132127762]&['Streptococcal pharyngitis', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ']","[0.5369495153427124, 0.24683590233325958, 0.13542716205120087, 0.05166386440396309, 0.029123516753315926]&['Streptococcal pharyngitis', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ']","[0.42219820618629456, 0.407326877117157, 0.09680666774511337, 0.047524645924568176, 0.026143597438931465]&['Epstein -Barr virus infection  ', 'Streptococcal pharyngitis', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ']","[0.40667325258255005, 0.39029011130332947, 0.15149448812007904, 0.02805417962372303, 0.023487918078899384]&['Streptococcal pharyngitis', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ']","[0.4628307521343231, 0.27726981043815613, 0.21851418912410736, 0.02107805572450161, 0.020307200029492378]&['Streptococcal pharyngitis', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ']","[0.3261920213699341, 0.3204161822795868, 0.2616237699985504, 0.06246749311685562, 0.029300499707460403]&['Epstein -Barr virus infection  ', 'Streptococcal pharyngitis', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ']","[0.5581819415092468, 0.2190881371498108, 0.10885728150606155, 0.07014062255620956, 0.043732013553380966]&['Streptococcal pharyngitis', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ']","[0.45527175068855286, 0.35019534826278687, 0.12598182260990143, 0.037545736879110336, 0.031005291268229485]&['Streptococcal pharyngitis', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ']","[0.4601188600063324, 0.353880912065506, 0.11234048753976822, 0.04187776893377304, 0.031781990081071854]&['Streptococcal pharyngitis', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ']"
6,"[0.369415819644928, 0.2563120722770691, 0.12678280472755432, 0.12670834362506866, 0.12078100442886353]&['Tractional retinal detachment', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ']","[0.5772750377655029, 0.2029184103012085, 0.13244466483592987, 0.04405902698636055, 0.04330287128686905]&['Tractional retinal detachment', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ']","[0.7148468494415283, 0.1543424278497696, 0.07673698663711548, 0.02864339016377926, 0.025430280715227127]&['Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Optic neuritis  ', 'Melanocytes in the uvea  ']","[0.7394449710845947, 0.13110052049160004, 0.08144406229257584, 0.02574739046394825, 0.022263040766119957]&['Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ']","[0.663921594619751, 0.15075068175792694, 0.09903816133737564, 0.04517676681280136, 0.0411127507686615]&['Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ']","[0.49560898542404175, 0.2183496206998825, 0.1837366372346878, 0.052184633910655975, 0.050120122730731964]&['Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Optic neuritis  ', 'Melanocytes in the uvea  ']","[0.7757927179336548, 0.07547645270824432, 0.07196971029043198, 0.03847551718354225, 0.03828562796115875]&['Tractional retinal detachment', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ']","[0.6764432191848755, 0.12331229448318481, 0.07901279628276825, 0.06381338834762573, 0.0574183315038681]&['Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ']","[0.7213176488876343, 0.1407438963651657, 0.09558717906475067, 0.026903316378593445, 0.015447949059307575]&['Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Optic neuritis  ', 'Melanocytes in the uvea  ']","[0.7197967171669006, 0.11236490309238434, 0.0776519775390625, 0.04638919234275818, 0.043797191232442856]&['Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ']","[0.6345990896224976, 0.2081879824399948, 0.08659883588552475, 0.04093112796545029, 0.02968302182853222]&['Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ']"
7,"[0.33540093898773193, 0.266678124666214, 0.16914750635623932, 0.12031900882720947, 0.1084543764591217]&['Switch the omeprazole to pantoprazole', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ']","[0.6204543113708496, 0.23640859127044678, 0.06811448931694031, 0.03942327946424484, 0.03559936210513115]&['Switch the omeprazole to pantoprazole', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ']","[0.6144890189170837, 0.2212674766778946, 0.10096509754657745, 0.0347735695540905, 0.02850485034286976]&['Switch the omeprazole to pantoprazole', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ']","[0.39040127396583557, 0.276786208152771, 0.25465846061706543, 0.04500589147210121, 0.033148109912872314]&['Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ']","[0.629576563835144, 0.19242709875106812, 0.12035574018955231, 0.04302273318171501, 0.01461788546293974]&['Switch the omeprazole to pantoprazole', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ']","[0.6028727889060974, 0.2616202235221863, 0.07807671278715134, 0.04091208800673485, 0.016518162563443184]&['Switch the omeprazole to pantoprazole', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ']","[0.6496403217315674, 0.24394932389259338, 0.0668136402964592, 0.033714354038238525, 0.005882308818399906]&['Switch the omeprazole to pantoprazole', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ']","[0.48206767439842224, 0.24333256483078003, 0.13121771812438965, 0.08836963772773743, 0.055012352764606476]&['Switch the omeprazole to pantoprazole', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ']","[0.41885673999786377, 0.2691955864429474, 0.24652478098869324, 0.04267099127173424, 0.022751860320568085]&['Switch the omeprazole to pantoprazole', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ']","[0.5213222503662109, 0.30906230211257935, 0.07548047602176666, 0.07215504348278046, 0.021979905664920807]&['Switch the omeprazole to pantoprazole', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ']","[0.5748749375343323, 0.26569077372550964, 0.08294626325368881, 0.05354714393615723, 0.022940881550312042]&['Switch the omeprazole to pantoprazole', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ']"
8,"[0.5597997307777405, 0.25553086400032043, 0.10316944867372513, 0.042230114340782166, 0.03926987573504448]&['Tyrosine', 'Methionine  ', 'Phenylalanine  ', 'Cysteine  ', 'Glutamine  ']","[0.7692936658859253, 0.08622220158576965, 0.065739206969738, 0.0437493771314621, 0.03499556705355644]&['Tyrosine', 'Methionine  ', 'Phenylalanine  ', 'Glutamine  ', 'Cysteine  ']","[0.7096230983734131, 0.1795903444290161, 0.04232398048043251, 0.03572366014122963, 0.03273885324597359]&['Tyrosine', 'Methionine  ', 'Phenylalanine  ', 'Cysteine  ', 'Glutamine  ']","[0.8018947243690491, 0.10800313949584961, 0.04007586091756821, 0.025406979024410248, 0.024619312956929207]&['Tyrosine', 'Methionine  ', 'Phenylalanine  ', 'Cysteine  ', 'Glutamine  ']","[0.7531905770301819, 0.10938410460948944, 0.07477391511201859, 0.03531862422823906, 0.02733275666832924]&['Tyrosine', 'Phenylalanine  ', 'Methionine  ', 'Glutamine  ', 'Cysteine  ']","[0.7848334312438965, 0.11238566786050797, 0.06354214996099472, 0.021892016753554344, 0.017346683889627457]&['Tyrosine', 'Methionine  ', 'Phenylalanine  ', 'Cysteine  ', 'Glutamine  ']","[0.7371160387992859, 0.11827101558446884, 0.08316729217767715, 0.03553684428334236, 0.025908788666129112]&['Tyrosine', 'Methionine  ', 'Phenylalanine  ', 'Cysteine  ', 'Glutamine  ']","[0.7512098550796509, 0.1257035732269287, 0.058499809354543686, 0.03835848346352577, 0.02622828260064125]&['Tyrosine', 'Methionine  ', 'Phenylalanine  ', 'Cysteine  ', 'Glutamine  ']","[0.7626004815101624, 0.12928108870983124, 0.05019741132855415, 0.029071077704429626, 0.028849979862570763]&['Tyrosine', 'Methionine  ', 'Phenylalanine  ', 'Cysteine  ', 'Glutamine  ']","[0.8528653383255005, 0.07228072732686996, 0.03226253017783165, 0.02143372781574726, 0.02115763910114765]&['Tyrosine', 'Methionine  ', 'Phenylalanine  ', 'Glutamine  ', 'Cysteine  ']","[0.7896703481674194, 0.10383223742246628, 0.06471676379442215, 0.025805316865444183, 0.015975354239344597]&['Tyrosine', 'Methionine  ', 'Phenylalanine  ', 'Cysteine  ', 'Glutamine  ']"
9,"[0.3851712942123413, 0.17612090706825256, 0.14029358327388763, 0.10782738775014877, 0.08606485277414322, 0.08508700132369995, 0.019434934481978416]&['Superior vena cava', 'Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Pulmonary vein  ', 'Left colic vein  ', 'Superior mesenteric artery  ', 'Middle colic artery  ']","[0.6324310302734375, 0.08956976234912872, 0.08053114265203476, 0.07180449366569519, 0.06436978280544281, 0.03237585723400116, 0.028917906805872917]&['Superior vena cava', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Pulmonary vein  ', 'Left colic vein  ', 'Superior mesenteric artery  ', 'Middle colic artery  ']","[0.5845375657081604, 0.0980338305234909, 0.09125465899705887, 0.09049220383167267, 0.0554206520318985, 0.053910091519355774, 0.02635098621249199]&['Superior vena cava', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Pulmonary vein  ', 'Superior mesenteric artery  ', 'Left colic vein  ', 'Middle colic artery  ']","[0.6082542538642883, 0.11926928907632828, 0.07379256933927536, 0.06335025280714035, 0.0556592158973217, 0.048832282423973083, 0.03084210492670536]&['Superior vena cava', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ', 'Left colic vein  ', 'Pulmonary vein  ', 'Middle colic artery  ']","[0.6220763921737671, 0.10800788551568985, 0.08726894855499268, 0.05897292494773865, 0.054415710270404816, 0.037922415882349014, 0.03133575990796089]&['Superior vena cava', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Pulmonary vein  ', 'Left colic vein  ', 'Superior mesenteric artery  ', 'Middle colic artery  ']","[0.6303309798240662, 0.11049201339483261, 0.07161955535411835, 0.06814313679933548, 0.06428759545087814, 0.029739415273070335, 0.025387322530150414]&['Superior vena cava', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Pulmonary vein  ', 'Left colic vein  ', 'Superior mesenteric artery  ', 'Middle colic artery  ']","[0.6478042602539062, 0.1085335984826088, 0.07153064757585526, 0.0701908990740776, 0.04046280309557915, 0.0374164953827858, 0.02406122162938118]&['Superior vena cava', 'Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Left colic vein  ', 'Middle colic artery  ']","[0.5830481648445129, 0.1068120226264, 0.09927661716938019, 0.08030931651592255, 0.05551188811659813, 0.051425736397504807, 0.02361624501645565]&['Superior vena cava', 'Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Pulmonary vein  ', 'Left colic vein  ', 'Superior mesenteric artery  ', 'Middle colic artery  ']","[0.6962510943412781, 0.07883870601654053, 0.06607366353273392, 0.04859935864806175, 0.04476955160498619, 0.03826580196619034, 0.027201751247048378]&['Superior vena cava', 'Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Pulmonary vein  ', 'Left colic vein  ', 'Superior mesenteric artery  ', 'Middle colic artery  ']","[0.6223571300506592, 0.11461836844682693, 0.08068916201591492, 0.06169721484184265, 0.057546455413103104, 0.04167190566658974, 0.02141973003745079]&['Superior vena cava', 'Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Pulmonary vein  ', 'Superior mesenteric artery  ', 'Left colic vein  ', 'Middle colic artery  ']","[0.6148609519004822, 0.10282435268163681, 0.08036923408508301, 0.07670553028583527, 0.062370359897613525, 0.03442126512527466, 0.028448285534977913]&['Superior vena cava', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Pulmonary vein  ', 'Left colic vein  ', 'Middle colic artery  ', 'Superior mesenteric artery  ']"
