,en,es,ar,cs,de,id,ko,ja,lv,nl,it
0,"[0.5156311988830566, 0.3341975510120392, 0.08556663990020752, 0.04301949590444565, 0.02158515341579914]&['Family history', 'BMI', 'Medication use', 'Recent physical activity', 'Previous  fractures']","[0.44428637623786926, 0.3370678722858429, 0.1019301787018776, 0.07029926031827927, 0.046416301280260086]&['Family history', 'BMI', 'Medication use', 'Recent physical activity', 'Previous  fractures']","[0.4690748453140259, 0.3338647484779358, 0.08893601596355438, 0.06352631747722626, 0.04459811747074127]&['Family history', 'BMI', 'Medication use', 'Recent physical activity', 'Previous  fractures']","[0.49033859372138977, 0.2902667820453644, 0.09354180842638016, 0.069772869348526, 0.05607987567782402]&['Family history', 'BMI', 'Medication use', 'Recent physical activity', 'Previous  fractures']","[0.47509756684303284, 0.33541131019592285, 0.07363628596067429, 0.06871253997087479, 0.04714221507310867]&['Family history', 'BMI', 'Medication use', 'Recent physical activity', 'Previous  fractures']","[0.5834620594978333, 0.256660521030426, 0.07225289940834045, 0.04813406243920326, 0.039490409195423126]&['Family history', 'BMI', 'Medication use', 'Recent physical activity', 'Previous  fractures']","[0.4548487961292267, 0.28492864966392517, 0.13340112566947937, 0.07040604203939438, 0.056415390223264694]&['BMI', 'Family history', 'Medication use', 'Recent physical activity', 'Previous  fractures']","[0.46869727969169617, 0.29612523317337036, 0.1018795371055603, 0.09221208095550537, 0.041085951030254364]&['BMI', 'Family history', 'Recent physical activity', 'Medication use', 'Previous  fractures']","[0.4677155315876007, 0.27173274755477905, 0.1137140691280365, 0.0912155881524086, 0.055622074753046036]&['Family history', 'BMI', 'Recent physical activity', 'Medication use', 'Previous  fractures']","[0.44846412539482117, 0.360749751329422, 0.07412686198949814, 0.06928683817386627, 0.047372445464134216]&['Family history', 'BMI', 'Medication use', 'Recent physical activity', 'Previous  fractures']","[0.5069152116775513, 0.264799028635025, 0.08596712350845337, 0.08496355265378952, 0.05735510215163231]&['Family history', 'BMI', 'Medication use', 'Recent physical activity', 'Previous  fractures']"
1,"[0.4103115499019623, 0.3040268123149872, 0.17317426204681396, 0.11248735338449478]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.36362412571907043, 0.3372774124145508, 0.17319384217262268, 0.12590469419956207]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.35496440529823303, 0.3195973336696625, 0.18084539473056793, 0.14459286630153656]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.4047071635723114, 0.30055126547813416, 0.186330646276474, 0.10841094702482224]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.41090428829193115, 0.30824583768844604, 0.1770656406879425, 0.1037842407822609]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.3849150240421295, 0.3196846544742584, 0.16109898686408997, 0.1343013346195221]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.3736395537853241, 0.31799745559692383, 0.1696958690881729, 0.13866707682609558]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.36416012048721313, 0.313554048538208, 0.16592267155647278, 0.15636317431926727]&['Increased total lung capacity', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.3965286314487457, 0.3017410337924957, 0.18789851665496826, 0.11383184045553207]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.36389032006263733, 0.3123190402984619, 0.1844651699066162, 0.13932543992996216]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']","[0.3860405683517456, 0.3035617470741272, 0.179289773106575, 0.13110791146755219]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration']"
2,"[0.35157275199890137, 0.32521817088127136, 0.17770521342754364, 0.10073304921388626, 0.04477078467607498]&['Collagen', 'Phospholipid', 'Nucleolar protein', 'Double -stranded DNA', 'Proteins in neutrophil cytoplasm']","[0.3223659098148346, 0.29881662130355835, 0.1805969476699829, 0.15994948148727417, 0.038270965218544006]&['Collagen', 'Phospholipid', 'Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm']","[0.33135125041007996, 0.27399012446403503, 0.18769368529319763, 0.16638490557670593, 0.04058009013533592]&['Collagen', 'Phospholipid', 'Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm']","[0.3122510612010956, 0.2610900402069092, 0.239585742354393, 0.13559159636497498, 0.05148155987262726]&['Phospholipid', 'Collagen', 'Nucleolar protein', 'Double -stranded DNA', 'Proteins in neutrophil cytoplasm']","[0.3671715259552002, 0.23247480392456055, 0.17383667826652527, 0.16453590989112854, 0.06198107451200485]&['Collagen', 'Phospholipid', 'Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm']","[0.3199720084667206, 0.31886425614356995, 0.20219458639621735, 0.12744425237178802, 0.03152497857809067]&['Phospholipid', 'Collagen', 'Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm']","[0.33987921476364136, 0.27210932970046997, 0.21070468425750732, 0.14285247027873993, 0.03445430472493172]&['Collagen', 'Phospholipid', 'Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm']","[0.3184071183204651, 0.28769636154174805, 0.18100571632385254, 0.172567218542099, 0.04032350704073906]&['Phospholipid', 'Collagen', 'Nucleolar protein', 'Double -stranded DNA', 'Proteins in neutrophil cytoplasm']","[0.3409351110458374, 0.24690444767475128, 0.20132620632648468, 0.16907325387001038, 0.041760992258787155]&['Collagen', 'Phospholipid', 'Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm']","[0.3591388463973999, 0.265091210603714, 0.19751869142055511, 0.138404980301857, 0.03984630107879639]&['Collagen', 'Phospholipid', 'Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm']","[0.33426815271377563, 0.2958277463912964, 0.21654658019542694, 0.12005097419023514, 0.033306580036878586]&['Collagen', 'Phospholipid', 'Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm']"
3,"[0.34543752670288086, 0.2713467478752136, 0.27109119296073914, 0.11212455481290817]&['Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially']","[0.323709636926651, 0.26639437675476074, 0.2631322145462036, 0.14676375687122345]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially']","[0.3437155783176422, 0.2876642048358917, 0.28306350111961365, 0.08555673062801361]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially']","[0.34119272232055664, 0.3023834228515625, 0.25618162751197815, 0.1002422496676445]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially']","[0.3404442369937897, 0.2891608476638794, 0.26347237825393677, 0.10692249983549118]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially']","[0.4034034013748169, 0.27184996008872986, 0.2057720273733139, 0.11897461861371994]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially']","[0.32296785712242126, 0.3070724308490753, 0.26743215322494507, 0.10252746939659119]&['Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially']","[0.2928915023803711, 0.290002703666687, 0.27409401535987854, 0.14301183819770813]&['Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially']","[0.3317100703716278, 0.3015095293521881, 0.2716852128505707, 0.0950951874256134]&['Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially']","[0.35136598348617554, 0.295042484998703, 0.22912415862083435, 0.1244673952460289]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially']","[0.34378495812416077, 0.28457650542259216, 0.2661994695663452, 0.10543909668922424]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially']"
4,"[0.3139975368976593, 0.25032109022140503, 0.2021695375442505, 0.13518358767032623, 0.09832826256752014]&['Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes']","[0.27745717763900757, 0.20721006393432617, 0.20315304398536682, 0.16167396306991577, 0.15050582587718964]&['Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes', 'Decreased protein binding  ', 'Increased alcohol intake  ']","[0.2739116847515106, 0.23420216143131256, 0.1839609295129776, 0.16943904757499695, 0.13848619163036346]&['Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Induction of cytochrome enzymes', 'Decreased protein binding  ']","[0.2592305839061737, 0.21570609509944916, 0.1891816109418869, 0.17418323457241058, 0.16169844567775726]&['Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes', 'Decreased protein binding  ', 'Increased alcohol intake  ']","[0.2703039050102234, 0.2599400579929352, 0.1739736944437027, 0.15774613618850708, 0.13803626596927643]&['Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes', 'Increased alcohol intake  ', 'Decreased protein binding  ']","[0.24367935955524445, 0.22563539445400238, 0.18869036436080933, 0.17461003363132477, 0.1673848032951355]&['Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes', 'Increased alcohol intake  ', 'Decreased protein binding  ']","[0.2642388939857483, 0.22917549312114716, 0.18676425516605377, 0.16290389001369476, 0.1569174826145172]&['Eradication of gut flora  ', 'Induction of cytochrome enzymes', 'Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Decreased protein binding  ']","[0.24961595237255096, 0.24438312649726868, 0.2030969262123108, 0.16110415756702423, 0.14179986715316772]&['Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes', 'Increased alcohol intake  ', 'Decreased protein binding  ']","[0.28529372811317444, 0.20865082740783691, 0.1822834312915802, 0.16900652647018433, 0.15476545691490173]&['Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes', 'Increased alcohol intake  ']","[0.32073476910591125, 0.2239110767841339, 0.17235100269317627, 0.14491765201091766, 0.13808555901050568]&['Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes', 'Decreased protein binding  ', 'Increased alcohol intake  ']","[0.27280619740486145, 0.24940869212150574, 0.17442753911018372, 0.15423491597175598, 0.14912265539169312]&['Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Decreased protein binding  ', 'Increased alcohol intake  ', 'Induction of cytochrome enzymes']"
5,"[0.8037386536598206, 0.11713464558124542, 0.043665047734975815, 0.017937783151865005, 0.01752394251525402]&['Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis', 'Epstein -Barr virus infection  ', 'HIV infection  ']","[0.6965944766998291, 0.1637083739042282, 0.08733240514993668, 0.026195688173174858, 0.02616904303431511]&['Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.6193230748176575, 0.1630977839231491, 0.15051524341106415, 0.04879259690642357, 0.01827125810086727]&['Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.6438591480255127, 0.18450093269348145, 0.11185969412326813, 0.04312536492943764, 0.016654862090945244]&['Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.6863278150558472, 0.16749493777751923, 0.09334734082221985, 0.03510420769453049, 0.017725711688399315]&['Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.5795677304267883, 0.216289684176445, 0.14542391896247864, 0.04176415130496025, 0.016954556107521057]&['Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.649320125579834, 0.14705884456634521, 0.13746494054794312, 0.04256489872932434, 0.023591147735714912]&['Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'Gonococcal pharyngitis  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.5711475014686584, 0.18124929070472717, 0.16193975508213043, 0.07155587524175644, 0.014107526279985905]&['Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'Gonococcal pharyngitis  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.6074211001396179, 0.216801717877388, 0.1044301837682724, 0.05626205727458, 0.015084899961948395]&['Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.7321957945823669, 0.12543846666812897, 0.08056408166885376, 0.036849554628133774, 0.024952126666903496]&['Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.6486749053001404, 0.1519915759563446, 0.13551901280879974, 0.045015156269073486, 0.018799342215061188]&['Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Streptococcal pharyngitis']"
6,"[0.4253165125846863, 0.16487078368663788, 0.14673082530498505, 0.142768993973732, 0.12031284719705582]&['Melanocytes in the uvea  ', 'Tractional retinal detachment', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Optic neuritis  ']","[0.38592103123664856, 0.20246750116348267, 0.13824357092380524, 0.1368589848279953, 0.13650892674922943]&['Melanocytes in the uvea  ', 'Arteriovenous nicking  ', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Tractional retinal detachment']","[0.3843444287776947, 0.1736726611852646, 0.153397336602211, 0.15061625838279724, 0.1379692256450653]&['Melanocytes in the uvea  ', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.3723813593387604, 0.1655435413122177, 0.1625813990831375, 0.16194146871566772, 0.1375522017478943]&['Melanocytes in the uvea  ', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.43186143040657043, 0.15060168504714966, 0.14150376617908478, 0.13852962851524353, 0.13750343024730682]&['Melanocytes in the uvea  ', 'Optic neuritis  ', 'Arteriovenous nicking  ', 'Tractional retinal detachment', 'Posterior subcapsular cataracts  ']","[0.4476810097694397, 0.15702871978282928, 0.15565574169158936, 0.12147791683673859, 0.11815662682056427]&['Melanocytes in the uvea  ', 'Posterior subcapsular cataracts  ', 'Optic neuritis  ', 'Arteriovenous nicking  ', 'Tractional retinal detachment']","[0.36871910095214844, 0.20178355276584625, 0.16513940691947937, 0.13897892832756042, 0.12537895143032074]&['Melanocytes in the uvea  ', 'Tractional retinal detachment', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Optic neuritis  ']","[0.31925246119499207, 0.2052982896566391, 0.17890134453773499, 0.15250712633132935, 0.14404073357582092]&['Melanocytes in the uvea  ', 'Tractional retinal detachment', 'Arteriovenous nicking  ', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ']","[0.36435285210609436, 0.18988831341266632, 0.16362716257572174, 0.1439807265996933, 0.1381509155035019]&['Melanocytes in the uvea  ', 'Arteriovenous nicking  ', 'Optic neuritis  ', 'Tractional retinal detachment', 'Posterior subcapsular cataracts  ']","[0.449326753616333, 0.1472761631011963, 0.13640740513801575, 0.13574530184268951, 0.13124428689479828]&['Melanocytes in the uvea  ', 'Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.3657208979129791, 0.1900750696659088, 0.15790103375911713, 0.1518222540616989, 0.13448083400726318]&['Melanocytes in the uvea  ', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Optic neuritis  ', 'Tractional retinal detachment']"
7,"[0.32498985528945923, 0.3034785985946655, 0.16841161251068115, 0.13901591300964355, 0.06410396844148636]&['Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.3620900809764862, 0.2105633020401001, 0.1736510545015335, 0.1466679573059082, 0.10702754557132721]&['Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']","[0.3427610993385315, 0.20249661803245544, 0.19859550893306732, 0.1565578579902649, 0.09958885610103607]&['Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.39985913038253784, 0.2215622365474701, 0.17107391357421875, 0.1308060735464096, 0.07669859379529953]&['Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.3861241042613983, 0.1948889195919037, 0.18282286822795868, 0.17142662405967712, 0.06473751366138458]&['Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']","[0.3714481294155121, 0.2254587858915329, 0.15536350011825562, 0.14651063084602356, 0.10121890157461166]&['Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.36458978056907654, 0.20101694762706757, 0.1978689432144165, 0.14354726672172546, 0.0929771214723587]&['Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']","[0.3202521800994873, 0.21874548494815826, 0.20544709265232086, 0.1813652217388153, 0.07419005036354065]&['Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.41871604323387146, 0.2273019552230835, 0.1577756553888321, 0.12074442207813263, 0.07546192407608032]&['Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.3524371087551117, 0.21266932785511017, 0.18333137035369873, 0.18049520254135132, 0.07106709480285645]&['Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Switch the omeprazole to pantoprazole']","[0.37246912717819214, 0.22472938895225525, 0.17058131098747253, 0.14759071171283722, 0.08462950587272644]&['Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']"
8,"[0.31414204835891724, 0.24761824309825897, 0.17687907814979553, 0.1315039098262787, 0.12985669076442719]&['Glutamine  ', 'Phenylalanine  ', 'Cysteine  ', 'Tyrosine', 'Methionine  ']","[0.2851743996143341, 0.25353753566741943, 0.19365595281124115, 0.1627100557088852, 0.10492205619812012]&['Phenylalanine  ', 'Glutamine  ', 'Cysteine  ', 'Methionine  ', 'Tyrosine']","[0.29061949253082275, 0.24618789553642273, 0.19333003461360931, 0.14390990138053894, 0.12595266103744507]&['Glutamine  ', 'Phenylalanine  ', 'Cysteine  ', 'Methionine  ', 'Tyrosine']","[0.3125796914100647, 0.2571351230144501, 0.1642276644706726, 0.16106106340885162, 0.104996457695961]&['Glutamine  ', 'Phenylalanine  ', 'Methionine  ', 'Cysteine  ', 'Tyrosine']","[0.3411548137664795, 0.25831615924835205, 0.14376850426197052, 0.129962757229805, 0.1267978399991989]&['Glutamine  ', 'Phenylalanine  ', 'Cysteine  ', 'Tyrosine', 'Methionine  ']","[0.31037986278533936, 0.2606990337371826, 0.17205651104450226, 0.15094095468521118, 0.10592357814311981]&['Glutamine  ', 'Phenylalanine  ', 'Cysteine  ', 'Methionine  ', 'Tyrosine']","[0.25524604320526123, 0.25464051961898804, 0.2462323158979416, 0.16235089302062988, 0.08153028041124344]&['Methionine  ', 'Phenylalanine  ', 'Glutamine  ', 'Cysteine  ', 'Tyrosine']","[0.3274056613445282, 0.26309075951576233, 0.14548997581005096, 0.14279572665691376, 0.12121788412332535]&['Glutamine  ', 'Phenylalanine  ', 'Cysteine  ', 'Methionine  ', 'Tyrosine']","[0.3003520965576172, 0.23526494204998016, 0.17961561679840088, 0.17817111313343048, 0.10659612715244293]&['Glutamine  ', 'Phenylalanine  ', 'Cysteine  ', 'Methionine  ', 'Tyrosine']","[0.280531108379364, 0.26654788851737976, 0.1820864975452423, 0.16140171885490417, 0.10943281650543213]&['Glutamine  ', 'Phenylalanine  ', 'Cysteine  ', 'Methionine  ', 'Tyrosine']","[0.310092031955719, 0.262205570936203, 0.16552072763442993, 0.15163280069828033, 0.11054889857769012]&['Glutamine  ', 'Phenylalanine  ', 'Cysteine  ', 'Methionine  ', 'Tyrosine']"
9,"[0.2184886485338211, 0.1944553703069687, 0.14727561175823212, 0.1262761801481247, 0.12499095499515533, 0.10231736302375793, 0.08619578182697296]&['Superior mesenteric artery  ', 'Inferior mesenteric vein  ', 'Middle colic artery  ', 'Inferior vena cava  ', 'Left colic vein  ', 'Pulmonary vein  ', 'Superior vena cava']","[0.2614403963088989, 0.22254720330238342, 0.18924126029014587, 0.0854324921965599, 0.08476203680038452, 0.07844093441963196, 0.07813568413257599]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Superior vena cava', 'Left colic vein  ']","[0.26932603120803833, 0.21525073051452637, 0.19955357909202576, 0.08985791355371475, 0.08112204819917679, 0.07286328822374344, 0.07202635705471039]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Superior vena cava', 'Left colic vein  ']","[0.23869161307811737, 0.2025558054447174, 0.18123821914196014, 0.1120491698384285, 0.08987618237733841, 0.08950674533843994, 0.08608231693506241]&['Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ', 'Superior vena cava', 'Pulmonary vein  ', 'Left colic vein  ', 'Middle colic artery  ']","[0.2639084458351135, 0.2103443741798401, 0.20376884937286377, 0.09275192022323608, 0.09067217260599136, 0.07698194682598114, 0.061572253704071045]&['Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Left colic vein  ', 'Superior vena cava']","[0.2670764923095703, 0.22134831547737122, 0.20352840423583984, 0.08587653189897537, 0.08153945207595825, 0.07799604535102844, 0.06263480335474014]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Left colic vein  ', 'Superior vena cava']","[0.25965702533721924, 0.19848991930484772, 0.18444418907165527, 0.09695921838283539, 0.0967964231967926, 0.08499961346387863, 0.07865364104509354]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Superior vena cava', 'Left colic vein  ', 'Middle colic artery  ']","[0.24778741598129272, 0.20628412067890167, 0.2033449113368988, 0.09380227327346802, 0.09333138912916183, 0.07809314876794815, 0.07735665887594223]&['Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Left colic vein  ', 'Superior vena cava']","[0.2627246081829071, 0.24826262891292572, 0.1766568273305893, 0.0997120663523674, 0.08118215948343277, 0.0678676962852478, 0.06359400600194931]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Superior vena cava', 'Pulmonary vein  ', 'Middle colic artery  ', 'Left colic vein  ']","[0.2619321644306183, 0.20451530814170837, 0.19914619624614716, 0.09769449383020401, 0.08238816261291504, 0.07749441266059875, 0.07682929188013077]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Superior vena cava', 'Left colic vein  ', 'Pulmonary vein  ', 'Middle colic artery  ']","[0.26203569769859314, 0.22305503487586975, 0.19107668101787567, 0.09878721833229065, 0.0891282856464386, 0.07934854179620743, 0.05656870827078819]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Left colic vein  ', 'Superior vena cava']"
