,en,es,ar,cs,de,id,ko,ja,lv,nl,it
0,"[0.354545533657074, 0.25013241171836853, 0.22375839948654175, 0.1506972312927246, 0.010592327453196049, 0.010274124331772327]","[0.39144453406333923, 0.30663418769836426, 0.17765896022319794, 0.08392735570669174, 0.036747027188539505, 0.0035879777278751135]","[0.38110026717185974, 0.2698341906070709, 0.23436111211776733, 0.08282679319381714, 0.0279738437384367, 0.0039038192480802536]","[0.34967952966690063, 0.3021036684513092, 0.23553720116615295, 0.06992796808481216, 0.03795599564909935, 0.004795642103999853]","[0.44627606868743896, 0.2682480812072754, 0.12577331066131592, 0.1111174076795578, 0.04589800536632538, 0.002687073778361082]","[0.36125296354293823, 0.31036490201950073, 0.23896795511245728, 0.06567508727312088, 0.020688358694314957, 0.003050779225304723]","[0.3089170753955841, 0.3074578046798706, 0.2883463203907013, 0.048703525215387344, 0.04345443472266197, 0.0031208458822220564]","[0.323750376701355, 0.2816620171070099, 0.24043168127536774, 0.07797021418809891, 0.0719781294465065, 0.004207571502774954]","[0.292174756526947, 0.28700876235961914, 0.269957572221756, 0.10643211752176285, 0.03462829813361168, 0.009798428043723106]","[0.3672471046447754, 0.31002023816108704, 0.17314369976520538, 0.1013321653008461, 0.044340237975120544, 0.0039165327325463295]","[0.36072149872779846, 0.3097454905509949, 0.2331068515777588, 0.06360679119825363, 0.029935067519545555, 0.0028842641040682793]"
1,"[0.2573222815990448, 0.2449737787246704, 0.20993222296237946, 0.17706866562366486, 0.1107030138373375]","[0.3437563478946686, 0.2846086621284485, 0.18646696209907532, 0.15928053855895996, 0.025887470692396164]","[0.3474462330341339, 0.2634011209011078, 0.20105594396591187, 0.1661614626646042, 0.02193518541753292]","[0.3422228991985321, 0.29856330156326294, 0.21063844859600067, 0.1202549934387207, 0.02832035906612873]","[0.34816259145736694, 0.2579595744609833, 0.209985613822937, 0.17537392675876617, 0.008518247865140438]","[0.37939485907554626, 0.23304882645606995, 0.184182807803154, 0.17188842594623566, 0.03148506209254265]","[0.38173553347587585, 0.27859658002853394, 0.21435631811618805, 0.12180643528699875, 0.003505180822685361]","[0.28679215908050537, 0.24352990090847015, 0.22929677367210388, 0.21949873864650726, 0.02088239975273609]","[0.36752086877822876, 0.2805532217025757, 0.17455284297466278, 0.11129675060510635, 0.06607629358768463]","[0.34453994035720825, 0.24863091111183167, 0.20292432606220245, 0.19437068700790405, 0.009534096345305443]","[0.31397148966789246, 0.28826209902763367, 0.22877860069274902, 0.1557956337928772, 0.01319216936826706]"
2,"[0.31909438967704773, 0.2465558648109436, 0.16207027435302734, 0.14267490804195404, 0.07852618396282196, 0.051078327000141144]","[0.3828912675380707, 0.23633289337158203, 0.21554914116859436, 0.0876416265964508, 0.042546432465314865, 0.035038650035858154]","[0.4324305057525635, 0.25141552090644836, 0.14728303253650665, 0.0859718844294548, 0.049372654408216476, 0.03352634981274605]","[0.5402655601501465, 0.2046014368534088, 0.11975397169589996, 0.058293670415878296, 0.045968007296323776, 0.031117364764213562]","[0.4340150058269501, 0.27200013399124146, 0.11735443025827408, 0.08195964992046356, 0.049423445016145706, 0.04524731636047363]","[0.3583301901817322, 0.25300920009613037, 0.24029728770256042, 0.08164787292480469, 0.04408080875873566, 0.022634705528616905]","[0.3719494938850403, 0.2836223840713501, 0.21960659325122833, 0.06844855844974518, 0.037229426205158234, 0.01914346031844616]","[0.36914315819740295, 0.24378426373004913, 0.14899490773677826, 0.13605722784996033, 0.06233759596943855, 0.03968287631869316]","[0.4675443768501282, 0.19777655601501465, 0.1347031146287918, 0.08836860209703445, 0.06581166386604309, 0.04579564929008484]","[0.3807147741317749, 0.25543534755706787, 0.21307726204395294, 0.07931732386350632, 0.03958828002214432, 0.03186703845858574]","[0.4192291796207428, 0.24481305480003357, 0.1936187595129013, 0.07539575546979904, 0.03617938607931137, 0.030763844028115273]"
3,"[0.40237846970558167, 0.30445849895477295, 0.15290109813213348, 0.10706953704357147, 0.03319232910871506]","[0.47129955887794495, 0.27241137623786926, 0.10151039808988571, 0.08970195800065994, 0.06507671624422073]","[0.3486127555370331, 0.2636948823928833, 0.15221400558948517, 0.14839811623096466, 0.08708024770021439]","[0.5276578664779663, 0.19280050694942474, 0.11315234750509262, 0.10857809334993362, 0.057811252772808075]","[0.4154733419418335, 0.2009517401456833, 0.16780638694763184, 0.11920902878046036, 0.09655950218439102]","[0.5088530778884888, 0.1925705224275589, 0.12839993834495544, 0.10156553983688354, 0.06861096620559692]","[0.544011652469635, 0.21237672865390778, 0.10035555064678192, 0.08079744875431061, 0.062458597123622894]","[0.6228845119476318, 0.13762368261814117, 0.11840369552373886, 0.09350073337554932, 0.02758738584816456]","[0.4497227668762207, 0.2352607548236847, 0.13594530522823334, 0.12339454889297485, 0.0556766577064991]","[0.5482519865036011, 0.19975897669792175, 0.11639498174190521, 0.0770367905497551, 0.05855721980333328]","[0.5348738431930542, 0.17513443529605865, 0.14592699706554413, 0.08590459823608398, 0.05816022679209709]"
4,"[0.30127018690109253, 0.2435334324836731, 0.23768652975559235, 0.10414886474609375, 0.06151044741272926, 0.051850516349077225]","[0.31825757026672363, 0.26138338446617126, 0.16911688446998596, 0.10843420773744583, 0.0864754468202591, 0.05633250251412392]","[0.34553444385528564, 0.31685563921928406, 0.10497169941663742, 0.10137653350830078, 0.08642712235450745, 0.04483463242650032]","[0.3608091473579407, 0.19114172458648682, 0.15636801719665527, 0.1348862648010254, 0.09247003495693207, 0.0643247738480568]","[0.37414324283599854, 0.2008717656135559, 0.16531313955783844, 0.11933182924985886, 0.08491326868534088, 0.05542675033211708]","[0.31146058440208435, 0.24113410711288452, 0.18621070683002472, 0.11424790322780609, 0.08925945311784744, 0.05768720433115959]","[0.3846450448036194, 0.25334054231643677, 0.1741677224636078, 0.07777904719114304, 0.05979267135262489, 0.05027494952082634]","[0.5390411019325256, 0.15804599225521088, 0.12044070661067963, 0.06906895339488983, 0.06632453203201294, 0.04707861691713333]","[0.3359135091304779, 0.25820112228393555, 0.20594049990177155, 0.0793101117014885, 0.06707002967596054, 0.05356471240520477]","[0.4353167414665222, 0.18875648081302643, 0.1336589753627777, 0.09395693242549896, 0.07793961465358734, 0.07037122547626495]","[0.3565742075443268, 0.21214348077774048, 0.13555265963077545, 0.12863434851169586, 0.1092897281050682, 0.05780552700161934]"
5,"[0.41164693236351013, 0.3376808762550354, 0.17786912620067596, 0.029912058264017105, 0.02157912589609623, 0.021311921998858452]","[0.26846006512641907, 0.26089316606521606, 0.16960525512695312, 0.1444021612405777, 0.09514708817005157, 0.06149224191904068]","[0.2977583110332489, 0.1870327740907669, 0.15913143754005432, 0.1500290185213089, 0.1321420520544052, 0.07390636205673218]","[0.5196836590766907, 0.18076030910015106, 0.1257418692111969, 0.09072000533342361, 0.0594460666179657, 0.023648107424378395]","[0.2682406008243561, 0.19534991681575775, 0.16417622566223145, 0.15310059487819672, 0.14811773598194122, 0.07101495563983917]","[0.29626739025115967, 0.22152677178382874, 0.1836015284061432, 0.17852963507175446, 0.08106493949890137, 0.03900972381234169]","[0.3111995458602905, 0.16966032981872559, 0.1616676151752472, 0.15950307250022888, 0.12856720387935638, 0.06940219551324844]","[0.3554544150829315, 0.1913294941186905, 0.17365726828575134, 0.131405308842659, 0.0951523408293724, 0.05300118029117584]","[0.24233917891979218, 0.19387318193912506, 0.18506619334220886, 0.16331084072589874, 0.10817538946866989, 0.10723523795604706]","[0.3905175030231476, 0.1443602293729782, 0.14165271818637848, 0.1340775340795517, 0.1144598051905632, 0.07493224740028381]","[0.3112778961658478, 0.21891194581985474, 0.2028241604566574, 0.15327180922031403, 0.06805501878261566, 0.04565918445587158]"
6,"[0.335043340921402, 0.24189825356006622, 0.21777001023292542, 0.07844746112823486, 0.06769013404846191, 0.05915078893303871]","[0.3750212788581848, 0.2859543561935425, 0.1054089218378067, 0.08899325877428055, 0.08295558393001556, 0.06166652590036392]","[0.3798190951347351, 0.29454678297042847, 0.13188031315803528, 0.07315129041671753, 0.0719674751162529, 0.04863497242331505]","[0.3782927691936493, 0.1544039398431778, 0.14554722607135773, 0.12705622613430023, 0.11829611659049988, 0.0764036476612091]","[0.36393633484840393, 0.3228318691253662, 0.11665119975805283, 0.08047524094581604, 0.07637225836515427, 0.039733029901981354]","[0.3738662302494049, 0.29239559173583984, 0.12008178979158401, 0.07765457779169083, 0.07029872387647629, 0.0657031387090683]","[0.6215388178825378, 0.14339452981948853, 0.09276542067527771, 0.0807587206363678, 0.0351591482758522, 0.026383433490991592]","[0.3640502989292145, 0.26483505964279175, 0.14190219342708588, 0.08528991788625717, 0.0736355185508728, 0.07028695940971375]","[0.3606710731983185, 0.1916242390871048, 0.11838841438293457, 0.11634163558483124, 0.10972187668085098, 0.1032528281211853]","[0.4653715491294861, 0.1470690816640854, 0.1393347978591919, 0.09743179380893707, 0.09512633830308914, 0.05566642805933952]","[0.3843810558319092, 0.33161136507987976, 0.10460948944091797, 0.0736241564154625, 0.05906813219189644, 0.046705711632966995]"
7,"[0.5354414582252502, 0.21394804120063782, 0.12019655108451843, 0.10338512808084488, 0.017182955518364906, 0.009845880791544914]","[0.60038822889328, 0.2518453896045685, 0.06133035570383072, 0.05591226741671562, 0.021014302968978882, 0.009509487077593803]","[0.44644618034362793, 0.3064732849597931, 0.11822101473808289, 0.06020853668451309, 0.05149579793214798, 0.017155226320028305]","[0.49701595306396484, 0.3516444265842438, 0.06865806132555008, 0.04662351682782173, 0.022709056735038757, 0.013348985463380814]","[0.5898537039756775, 0.26566281914711, 0.06433622539043427, 0.04703066125512123, 0.020052526146173477, 0.013064066879451275]","[0.6852734088897705, 0.17002582550048828, 0.09224004298448563, 0.039037786424160004, 0.00694608548656106, 0.006476903334259987]","[0.47479209303855896, 0.218854621052742, 0.12790000438690186, 0.08035578578710556, 0.07478462904691696, 0.023312808945775032]","[0.5895277261734009, 0.29757580161094666, 0.04305792599916458, 0.03746960684657097, 0.022382065653800964, 0.009986897930502892]","[0.5255234241485596, 0.32743963599205017, 0.06823122501373291, 0.05145782604813576, 0.01880168728530407, 0.008546233177185059]","[0.44569867849349976, 0.3927227258682251, 0.0657685250043869, 0.04318658635020256, 0.037792980670928955, 0.014830531552433968]","[0.5887656807899475, 0.24771688878536224, 0.08686687052249908, 0.055764079093933105, 0.013899970799684525, 0.00698655191808939]"
8,"[0.7001647353172302, 0.10760223865509033, 0.0661911740899086, 0.05432974174618721, 0.05111966282129288, 0.020592452958226204]","[0.4159938395023346, 0.23851796984672546, 0.16486337780952454, 0.09538284689188004, 0.07351002097129822, 0.01173192635178566]","[0.5013057589530945, 0.18999367952346802, 0.1437389999628067, 0.08016715943813324, 0.06851902604103088, 0.016275424510240555]","[0.7314650416374207, 0.07469842582941055, 0.05714494735002518, 0.05503784120082855, 0.050608694553375244, 0.031045088544487953]","[0.35223761200904846, 0.243046373128891, 0.22478502988815308, 0.08918651193380356, 0.07597655802965164, 0.014767926186323166]","[0.4045616388320923, 0.2240363508462906, 0.1842031031847, 0.094234399497509, 0.08386170119047165, 0.009102826938033104]","[0.5079087018966675, 0.1694265455007553, 0.15170533955097198, 0.10429668426513672, 0.063982293009758, 0.00268040900118649]","[0.5068414211273193, 0.1604311466217041, 0.10517628490924835, 0.08909721672534943, 0.0718284547328949, 0.0666254311800003]","[0.7205135822296143, 0.08367813378572464, 0.05999623239040375, 0.05543534830212593, 0.04694307595491409, 0.03343365713953972]","[0.46082594990730286, 0.16058403253555298, 0.14783808588981628, 0.11848010867834091, 0.09105565398931503, 0.02121623605489731]","[0.4509428143501282, 0.21730603277683258, 0.1562163382768631, 0.08559410274028778, 0.08268766850233078, 0.007253073155879974]"
9,"[0.37011611461639404, 0.15743035078048706, 0.1093631386756897, 0.09679413586854935, 0.08686007559299469, 0.07868309319019318, 0.06669244170188904, 0.03406060114502907]","[0.20262886583805084, 0.17296016216278076, 0.16532976925373077, 0.12154247611761093, 0.09748765081167221, 0.09173282980918884, 0.08727534860372543, 0.06104293465614319]","[0.2064651995897293, 0.18610624969005585, 0.13817955553531647, 0.1243499144911766, 0.11864057928323746, 0.09352335333824158, 0.08448776602745056, 0.04824736341834068]","[0.3192581236362457, 0.13438494503498077, 0.12296120077371597, 0.10415041446685791, 0.10187486559152603, 0.09945326298475266, 0.0729769915342331, 0.04494022950530052]","[0.26152539253234863, 0.1458495408296585, 0.1298944652080536, 0.11238683760166168, 0.09613313525915146, 0.0956084281206131, 0.08223212510347366, 0.07637003809213638]","[0.19474276900291443, 0.19445808231830597, 0.17500951886177063, 0.10639877617359161, 0.0988716185092926, 0.09720516949892044, 0.08652196824550629, 0.04679208993911743]","[0.1930515617132187, 0.16899049282073975, 0.15522606670856476, 0.1371002197265625, 0.10357941687107086, 0.09359816461801529, 0.07920855283737183, 0.06924550235271454]","[0.22140613198280334, 0.1651078462600708, 0.1512077897787094, 0.11816369742155075, 0.10690197348594666, 0.10606590658426285, 0.08183547109365463, 0.049311213195323944]","[0.32044854760169983, 0.14149273931980133, 0.12181231379508972, 0.10124776512384415, 0.0918087363243103, 0.08783573657274246, 0.08152565360069275, 0.053828414529561996]","[0.1942412257194519, 0.17325490713119507, 0.1646299809217453, 0.11576660722494125, 0.1073702946305275, 0.09872190654277802, 0.09405352175235748, 0.051961500197649]","[0.22333164513111115, 0.18046285212039948, 0.17580798268318176, 0.12334850430488586, 0.10295896977186203, 0.09337153285741806, 0.058080241084098816, 0.04263830557465553]"
