,Original,Below Basic,Basic,Intermediate,Advanced
0,"[0.6099016070365906, 0.1809745877981186, 0.10735227912664413, 0.06365659832954407, 0.03811490908265114]&['Family history', 'Previous  fractures', 'Medication use', 'BMI', 'Recent physical activity']","[0.346879243850708, 0.2872698903083801, 0.23480159044265747, 0.12376867979764938, 0.007280545309185982]&['Family history', 'Medication use', 'BMI', 'Previous  fractures', 'Recent physical activity']","[0.7099618315696716, 0.12061810493469238, 0.10362876206636429, 0.061159227043390274, 0.004632087890058756]&['Family history', 'Medication use', 'Previous  fractures', 'BMI', 'Recent physical activity']","[0.41294991970062256, 0.34030333161354065, 0.18515564501285553, 0.03449995443224907, 0.027091100811958313]&['Family history', 'Previous  fractures', 'Medication use', 'BMI', 'Recent physical activity']","[0.5096983909606934, 0.24864162504673004, 0.1302303522825241, 0.06850823760032654, 0.04292140156030655]&['Family history', 'Previous  fractures', 'Medication use', 'BMI', 'Recent physical activity']"
1,"[0.3285258412361145, 0.2783067524433136, 0.22288279235363007, 0.17028462886810303]&['Increased hemoglobin concentration', 'Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration', 'Increased total lung capacity']","[0.45052415132522583, 0.23925325274467468, 0.18626509606838226, 0.1239575445652008]&['Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy', 'Increased total lung capacity']","[0.4494205117225647, 0.27232158184051514, 0.1533217579126358, 0.12493616342544556]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.44091737270355225, 0.23737908899784088, 0.2275743931531906, 0.09412910044193268]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.5502805709838867, 0.22852486371994019, 0.11591888219118118, 0.10527566075325012]&['Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Increased total lung capacity', 'Left ventricular hypertrophy']"
2,"[0.3406776189804077, 0.2938804030418396, 0.13790790736675262, 0.13153961300849915, 0.0959944874048233]&['Proteins in neutrophil cytoplasm', 'Phospholipid', 'Nucleolar protein', 'Collagen', 'Double -stranded DNA']","[0.6503100991249084, 0.1696166694164276, 0.07512526959180832, 0.06487065553665161, 0.040077224373817444]&['Proteins in neutrophil cytoplasm', 'Phospholipid', 'Nucleolar protein', 'Collagen', 'Double -stranded DNA']","[0.47938695549964905, 0.28890734910964966, 0.1177053228020668, 0.0733761414885521, 0.04062426835298538]&['Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Phospholipid', 'Collagen', 'Double -stranded DNA']","[0.5639448761940002, 0.18470196425914764, 0.14879439771175385, 0.07688482105731964, 0.02567390352487564]&['Proteins in neutrophil cytoplasm', 'Phospholipid', 'Nucleolar protein', 'Collagen', 'Double -stranded DNA']","[0.5624285340309143, 0.21275070309638977, 0.11811365187168121, 0.06672968715429306, 0.039977431297302246]&['Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Phospholipid', 'Collagen', 'Double -stranded DNA']"
3,"[0.37550589442253113, 0.24017208814620972, 0.20356841385364532, 0.18075360357761383]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent']","[0.3489070236682892, 0.28987956047058105, 0.20436209440231323, 0.15685127675533295]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent']","[0.31648847460746765, 0.2658642828464508, 0.2550581097602844, 0.16258922219276428]&['Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally']","[0.48830509185791016, 0.22351902723312378, 0.16848497092723846, 0.11969093233346939]&['Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.3649004399776459, 0.2991030812263489, 0.17328910529613495, 0.16270732879638672]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']"
4,"[0.344797283411026, 0.2997789978981018, 0.18800927698612213, 0.09476585686206818, 0.07264859229326248]&['Decreased protein binding  ', 'Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']","[0.29006683826446533, 0.2793538272380829, 0.18017759919166565, 0.13605931401252747, 0.11434245109558105]&['Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']","[0.2798929512500763, 0.23361390829086304, 0.20669202506542206, 0.19261911511421204, 0.08718203753232956]&['Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']","[0.4381335377693176, 0.2848319411277771, 0.12228987365961075, 0.08116891980171204, 0.07357574254274368]&['Eradication of gut flora  ', 'Induction of cytochrome enzymes', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']","[0.39464855194091797, 0.27630072832107544, 0.2275363951921463, 0.0751284658908844, 0.02638593688607216]&['Eradication of gut flora  ', 'Induction of cytochrome enzymes', 'Decreased protein binding  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ']"
5,"[0.41166529059410095, 0.24060793220996857, 0.15836624801158905, 0.15404914319515228, 0.035311467945575714]&['Streptococcal pharyngitis', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ']","[0.3694691061973572, 0.2045818567276001, 0.16041584312915802, 0.15577954053878784, 0.10975361615419388]&['HIV infection  ', 'Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis']","[0.4067387878894806, 0.21244657039642334, 0.1983625739812851, 0.09602172672748566, 0.08643034845590591]&['HIV infection  ', 'Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis']","[0.37936538457870483, 0.29613903164863586, 0.12657029926776886, 0.10405003279447556, 0.09387527406215668]&['HIV infection  ', 'Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis']","[0.29289257526397705, 0.2631246745586395, 0.25151750445365906, 0.12866440415382385, 0.06380079686641693]&['HIV infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis', 'Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ']"
6,"[0.3644941747188568, 0.30185335874557495, 0.20462507009506226, 0.09975883364677429, 0.029268493875861168]&['Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ', 'Tractional retinal detachment', 'Arteriovenous nicking  ']","[0.5601965188980103, 0.21983037889003754, 0.08521749824285507, 0.07974782586097717, 0.055007752031087875]&['Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ', 'Tractional retinal detachment', 'Arteriovenous nicking  ']","[0.5844531059265137, 0.22107923030853271, 0.08465257287025452, 0.07516146451234818, 0.03465363010764122]&['Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment', 'Optic neuritis  ', 'Arteriovenous nicking  ']","[0.31628739833831787, 0.2532450556755066, 0.22807219624519348, 0.10592718422412872, 0.09646817296743393]&['Melanocytes in the uvea  ', 'Posterior subcapsular cataracts  ', 'Tractional retinal detachment', 'Optic neuritis  ', 'Arteriovenous nicking  ']","[0.38047441840171814, 0.24268189072608948, 0.2273935079574585, 0.08882942795753479, 0.0606207512319088]&['Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment', 'Optic neuritis  ', 'Arteriovenous nicking  ']"
7,"[0.251478910446167, 0.2325647622346878, 0.20747385919094086, 0.19630935788154602, 0.11217313259840012]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Order an upper endoscopy  ']","[0.4162473976612091, 0.35963699221611023, 0.15485814213752747, 0.04762950539588928, 0.02162799797952175]&['Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']","[0.49884289503097534, 0.23136135935783386, 0.10631130635738373, 0.09934511035680771, 0.06413938105106354]&['Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Switch the omeprazole to pantoprazole', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ']","[0.4630495011806488, 0.3269665539264679, 0.09428499639034271, 0.07121969759464264, 0.04447917267680168]&['Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']","[0.38940876722335815, 0.21899068355560303, 0.1631467640399933, 0.12118639796972275, 0.1072673350572586]&['Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole', 'Ask the patient how much he is eating and drinking during the holidays  ']"
8,"[0.3091633915901184, 0.2182842493057251, 0.16937996447086334, 0.15976391732692719, 0.14340849220752716]&['Methionine  ', 'Tyrosine', 'Phenylalanine  ', 'Glutamine  ', 'Cysteine  ']","[0.2640035152435303, 0.2540605962276459, 0.20582948625087738, 0.16638432443141937, 0.10972214490175247]&['Methionine  ', 'Cysteine  ', 'Tyrosine', 'Glutamine  ', 'Phenylalanine  ']","[0.24213825166225433, 0.21103565394878387, 0.20938582718372345, 0.19383513927459717, 0.1436050981283188]&['Cysteine  ', 'Tyrosine', 'Methionine  ', 'Glutamine  ', 'Phenylalanine  ']","[0.2934870719909668, 0.23475795984268188, 0.22037957608699799, 0.13914991915225983, 0.11222545057535172]&['Cysteine  ', 'Methionine  ', 'Tyrosine', 'Glutamine  ', 'Phenylalanine  ']","[0.29976385831832886, 0.23322390019893646, 0.22635231912136078, 0.14385269582271576, 0.09680715948343277]&['Tyrosine', 'Cysteine  ', 'Methionine  ', 'Phenylalanine  ', 'Glutamine  ']"
9,"[0.23686999082565308, 0.1839679479598999, 0.1507403403520584, 0.13933692872524261, 0.12086321413516998, 0.08950506150722504, 0.0787164568901062]&['Middle colic artery  ', 'Left colic vein  ', 'Superior vena cava', 'Pulmonary vein  ', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ']","[0.37810683250427246, 0.20627522468566895, 0.11973024904727936, 0.11234529316425323, 0.08595326542854309, 0.05962866172194481, 0.03796042874455452]&['Pulmonary vein  ', 'Inferior vena cava  ', 'Middle colic artery  ', 'Superior vena cava', 'Left colic vein  ', 'Superior mesenteric artery  ', 'Inferior mesenteric vein  ']","[0.38961753249168396, 0.17875716090202332, 0.13926567137241364, 0.10843756794929504, 0.07702476531267166, 0.06278596818447113, 0.04411131143569946]&['Pulmonary vein  ', 'Inferior vena cava  ', 'Middle colic artery  ', 'Superior vena cava', 'Superior mesenteric artery  ', 'Left colic vein  ', 'Inferior mesenteric vein  ']","[0.46972715854644775, 0.18992426991462708, 0.09435059130191803, 0.09141091257333755, 0.059116560965776443, 0.05041131004691124, 0.04505924507975578]&['Pulmonary vein  ', 'Inferior vena cava  ', 'Middle colic artery  ', 'Superior mesenteric artery  ', 'Inferior mesenteric vein  ', 'Left colic vein  ', 'Superior vena cava']","[0.4416385591030121, 0.14979176223278046, 0.13107429444789886, 0.10649671405553818, 0.07540620118379593, 0.05716743692755699, 0.0384250283241272]&['Pulmonary vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Middle colic artery  ', 'Superior vena cava', 'Left colic vein  ', 'Inferior mesenteric vein  ']"
