,en,es,ar,cs,de,id,ko,ja,lv,nl,it
0,"[0.3027949929237366, 0.2686464786529541, 0.18727067112922668, 0.12546853721141815, 0.11581927537918091]&['Previous  fractures', 'BMI', 'Family history', 'Recent physical activity', 'Medication use']","[0.24913907051086426, 0.23677454888820648, 0.18404513597488403, 0.18298332393169403, 0.1470579206943512]&['Medication use', 'BMI', 'Previous  fractures', 'Family history', 'Recent physical activity']","[0.2544279098510742, 0.21271835267543793, 0.19896645843982697, 0.17229057848453522, 0.16159677505493164]&['BMI', 'Recent physical activity', 'Medication use', 'Family history', 'Previous  fractures']","[0.3244633972644806, 0.21041716635227203, 0.17859907448291779, 0.1443929374217987, 0.1421274095773697]&['BMI', 'Previous  fractures', 'Medication use', 'Recent physical activity', 'Family history']","[0.34650909900665283, 0.18873262405395508, 0.1646486073732376, 0.15745875239372253, 0.14265091717243195]&['BMI', 'Previous  fractures', 'Recent physical activity', 'Family history', 'Medication use']","[0.28575894236564636, 0.19209329783916473, 0.1836281716823578, 0.17063580453395844, 0.16788379848003387]&['BMI', 'Recent physical activity', 'Family history', 'Medication use', 'Previous  fractures']","[0.3250432014465332, 0.21175435185432434, 0.20164288580417633, 0.14120107889175415, 0.12035853415727615]&['BMI', 'Medication use', 'Recent physical activity', 'Previous  fractures', 'Family history']","[0.2776835858821869, 0.26490315794944763, 0.18068526685237885, 0.14856316149234772, 0.12816478312015533]&['BMI', 'Previous  fractures', 'Medication use', 'Recent physical activity', 'Family history']","[0.5033451318740845, 0.19322438538074493, 0.13201701641082764, 0.09908400475978851, 0.07232946902513504]&['BMI', 'Family history', 'Previous  fractures', 'Medication use', 'Recent physical activity']","[0.38106569647789, 0.17159779369831085, 0.1673222929239273, 0.14503195881843567, 0.13498222827911377]&['BMI', 'Family history', 'Previous  fractures', 'Medication use', 'Recent physical activity']","[0.41098102927207947, 0.18423914909362793, 0.1640220731496811, 0.122348852455616, 0.1184089332818985]&['BMI', 'Family history', 'Medication use', 'Previous  fractures', 'Recent physical activity']"
1,"[0.32868894934654236, 0.2733163833618164, 0.26538315415382385, 0.1326114684343338]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration']","[0.33062905073165894, 0.3028646409511566, 0.22724789381027222, 0.1392585039138794]&['Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration', 'Increased total lung capacity', 'Increased hemoglobin concentration']","[0.3069405257701874, 0.25666719675064087, 0.24964524805545807, 0.18674704432487488]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.34638190269470215, 0.26276835799217224, 0.19933626055717468, 0.1915135383605957]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.2686156928539276, 0.25760069489479065, 0.2537875175476074, 0.21999605000019073]&['Left ventricular hypertrophy', 'Increased total lung capacity', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration']","[0.33356931805610657, 0.2446606606245041, 0.22202587127685547, 0.19974420964717865]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration']","[0.3205690383911133, 0.294033944606781, 0.1938907951116562, 0.19150617718696594]&['Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration', 'Increased total lung capacity', 'Increased hemoglobin concentration']","[0.393769770860672, 0.2709961235523224, 0.21315997838974, 0.12207409739494324]&['Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Increased total lung capacity', 'Left ventricular hypertrophy']","[0.45685532689094543, 0.23517659306526184, 0.16791822016239166, 0.14004983007907867]&['Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy', 'Increased total lung capacity']","[0.4137573540210724, 0.2558777630329132, 0.1793716549873352, 0.150993213057518]&['Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Increased total lung capacity', 'Left ventricular hypertrophy']","[0.36453887820243835, 0.22341661155223846, 0.22052089869976044, 0.19152359664440155]&['Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy', 'Increased total lung capacity']"
2,"[0.3177708089351654, 0.22855201363563538, 0.18966099619865417, 0.17042526602745056, 0.09359098970890045]&['Proteins in neutrophil cytoplasm', 'Collagen', 'Double -stranded DNA', 'Nucleolar protein', 'Phospholipid']","[0.3125770390033722, 0.23120681941509247, 0.17307937145233154, 0.15857893228530884, 0.12455783039331436]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Nucleolar protein', 'Phospholipid']","[0.4084090292453766, 0.20514187216758728, 0.17979522049427032, 0.12243885546922684, 0.08421505242586136]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Nucleolar protein', 'Phospholipid']","[0.4461013376712799, 0.22016766667366028, 0.14588625729084015, 0.09659440815448761, 0.09125030785799026]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Phospholipid', 'Nucleolar protein']","[0.2712773084640503, 0.25939324498176575, 0.18194423615932465, 0.15080098807811737, 0.13658417761325836]&['Collagen', 'Phospholipid', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm', 'Double -stranded DNA']","[0.3193342685699463, 0.26428475975990295, 0.17281080782413483, 0.14620226621627808, 0.09736797213554382]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Nucleolar protein', 'Phospholipid']","[0.41914504766464233, 0.18900087475776672, 0.14030799269676208, 0.13156560063362122, 0.11998053640127182]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Phospholipid', 'Double -stranded DNA']","[0.3330387771129608, 0.2809949815273285, 0.1509227603673935, 0.12350011616945267, 0.11154342442750931]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Nucleolar protein', 'Phospholipid']","[0.28776201605796814, 0.21331936120986938, 0.19419264793395996, 0.19285760819911957, 0.11186842620372772]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Phospholipid', 'Nucleolar protein']","[0.3730427920818329, 0.1697387993335724, 0.16767281293869019, 0.15505506098270416, 0.13449054956436157]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Phospholipid', 'Nucleolar protein']","[0.28075966238975525, 0.20887844264507294, 0.18696047365665436, 0.17059378325939178, 0.1528075784444809]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Phospholipid', 'Double -stranded DNA', 'Nucleolar protein']"
3,"[0.47038185596466064, 0.2863214313983917, 0.1307026892900467, 0.11259406805038452]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.3639708161354065, 0.23828212916851044, 0.23262789845466614, 0.1651192158460617]&['Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially']","[0.465636670589447, 0.19857634603977203, 0.17874372005462646, 0.15704327821731567]&['Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.3905302882194519, 0.2399485856294632, 0.22420085966587067, 0.14532029628753662]&['Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.42006388306617737, 0.2264203429222107, 0.18516628444194794, 0.1683495044708252]&['Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially']","[0.3692542612552643, 0.24310770630836487, 0.20828871428966522, 0.1793493628501892]&['Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']","[0.4144204556941986, 0.2539043426513672, 0.21242229640483856, 0.11925282329320908]&['Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially']","[0.38103440403938293, 0.20818836987018585, 0.20679450035095215, 0.20398272573947906]&['Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.385183185338974, 0.24177928268909454, 0.223244771361351, 0.14979270100593567]&['Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.30817410349845886, 0.2691061794757843, 0.22164328396320343, 0.20107652246952057]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent']","[0.4218754470348358, 0.23570086061954498, 0.1824190467596054, 0.16000469028949738]&['Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']"
4,"[0.30232858657836914, 0.19752447307109833, 0.1876976639032364, 0.1831410825252533, 0.12930825352668762]&['Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Decreased protein binding  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes']","[0.3689303994178772, 0.17874516546726227, 0.17452996969223022, 0.15025918185710907, 0.12753528356552124]&['Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Decreased protein binding  ', 'Increased alcohol intake  ', 'Induction of cytochrome enzymes']","[0.2182294875383377, 0.20621579885482788, 0.20464520156383514, 0.20026104152202606, 0.17064841091632843]&['Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes']","[0.2682763636112213, 0.22966933250427246, 0.21823911368846893, 0.15813510119915009, 0.125680074095726]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ']","[0.29575327038764954, 0.2261914610862732, 0.17408894002437592, 0.15637139976024628, 0.14759483933448792]&['Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes']","[0.22381091117858887, 0.2100067436695099, 0.20790185034275055, 0.1941653937101364, 0.1641150563955307]&['Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Induction of cytochrome enzymes']","[0.32283440232276917, 0.18030112981796265, 0.177113339304924, 0.1648014634847641, 0.1549495905637741]&['Eradication of gut flora  ', 'Increased alcohol intake  ', 'Induction of cytochrome enzymes', 'Increased vegetable consumption  ', 'Decreased protein binding  ']","[0.41532063484191895, 0.18702919781208038, 0.16376329958438873, 0.11935736238956451, 0.11452948302030563]&['Eradication of gut flora  ', 'Increased alcohol intake  ', 'Induction of cytochrome enzymes', 'Decreased protein binding  ', 'Increased vegetable consumption  ']","[0.28600597381591797, 0.2063310146331787, 0.1775345802307129, 0.16808803379535675, 0.16204047203063965]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Decreased protein binding  ']","[0.3092409670352936, 0.2660601735115051, 0.17521309852600098, 0.16035376489162445, 0.08913197368383408]&['Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Induction of cytochrome enzymes']","[0.28849169611930847, 0.261049747467041, 0.16237734258174896, 0.16182269155979156, 0.1262584924697876]&['Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Induction of cytochrome enzymes']"
5,"[0.40039926767349243, 0.268399715423584, 0.23710492253303528, 0.050561338663101196, 0.04353468865156174]&['Streptococcal pharyngitis', 'Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Epstein -Barr virus infection  ']","[0.2515278458595276, 0.2346089780330658, 0.209002286195755, 0.1759909689426422, 0.1288699060678482]&['HIV infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis', 'Epstein -Barr virus infection  ']","[0.2597886621952057, 0.19674910604953766, 0.19598612189292908, 0.17987318336963654, 0.16760292649269104]&['Epstein -Barr virus infection  ', 'HIV infection  ', 'Streptococcal pharyngitis', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ']","[0.382073312997818, 0.18764442205429077, 0.16400563716888428, 0.1372135430574417, 0.12906302511692047]&['Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ', 'Streptococcal pharyngitis', 'Gonococcal pharyngitis  ', 'HIV infection  ']","[0.26494476199150085, 0.2115645557641983, 0.18342654407024384, 0.18132750689983368, 0.15873666107654572]&['HIV infection  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ']","[0.22565916180610657, 0.21023452281951904, 0.1910058856010437, 0.19089056551456451, 0.1822098195552826]&['HIV infection  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ']","[0.2567509114742279, 0.2059953361749649, 0.19793269038200378, 0.1789625734090805, 0.1603585034608841]&['Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis', 'HIV infection  ']","[0.3379940092563629, 0.24678277969360352, 0.17207178473472595, 0.1433781385421753, 0.09977322816848755]&['Streptococcal pharyngitis', 'Gonococcal pharyngitis  ', 'HIV infection  ', 'Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ']","[0.26274001598358154, 0.20982134342193604, 0.19985775649547577, 0.1694556474685669, 0.15812523663043976]&['Epstein -Barr virus infection  ', 'HIV infection  ', 'Streptococcal pharyngitis', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ']","[0.3302534818649292, 0.23093248903751373, 0.15943020582199097, 0.1520044207572937, 0.1273793876171112]&['HIV infection  ', 'Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.212709441781044, 0.20682966709136963, 0.19809316098690033, 0.19685345888137817, 0.18551430106163025]&['Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis', 'HIV infection  ', 'Gonococcal pharyngitis  ']"
6,"[0.35688623785972595, 0.26960986852645874, 0.21437932550907135, 0.09942703694105148, 0.059697475284338]&['Tractional retinal detachment', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ']","[0.27813854813575745, 0.2389855980873108, 0.20638665556907654, 0.13863816857337952, 0.13785111904144287]&['Posterior subcapsular cataracts  ', 'Tractional retinal detachment', 'Arteriovenous nicking  ', 'Optic neuritis  ', 'Melanocytes in the uvea  ']","[0.32944145798683167, 0.20081515610218048, 0.19023430347442627, 0.15009310841560364, 0.12941597402095795]&['Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Optic neuritis  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ']","[0.38509711623191833, 0.190261110663414, 0.18593043088912964, 0.1630399227142334, 0.07567138224840164]&['Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Optic neuritis  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ']","[0.2719023525714874, 0.2588055431842804, 0.21721884608268738, 0.1371794492006302, 0.11489378660917282]&['Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Optic neuritis  ', 'Melanocytes in the uvea  ']","[0.3367447257041931, 0.20722147822380066, 0.1782502681016922, 0.17060193419456482, 0.10718158632516861]&['Tractional retinal detachment', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Optic neuritis  ', 'Melanocytes in the uvea  ']","[0.3707857131958008, 0.2518927752971649, 0.12738674879074097, 0.1272381991147995, 0.12269652634859085]&['Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Optic neuritis  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment']","[0.29157555103302, 0.22615419328212738, 0.2048404961824417, 0.15963764488697052, 0.11779209226369858]&['Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Tractional retinal detachment', 'Melanocytes in the uvea  ', 'Optic neuritis  ']","[0.2931974530220032, 0.23918208479881287, 0.19358521699905396, 0.1486198902130127, 0.1254153549671173]&['Tractional retinal detachment', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Optic neuritis  ', 'Melanocytes in the uvea  ']","[0.2693456709384918, 0.2531476616859436, 0.18590985238552094, 0.16161669790744781, 0.12998013198375702]&['Posterior subcapsular cataracts  ', 'Tractional retinal detachment', 'Optic neuritis  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ']","[0.35172367095947266, 0.19518566131591797, 0.1948491334915161, 0.1524839997291565, 0.10575752705335617]&['Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Optic neuritis  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ']"
7,"[0.3298592269420624, 0.26665446162223816, 0.17505697906017303, 0.1487860232591629, 0.07964331656694412]&['Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole']","[0.3606484830379486, 0.24661509692668915, 0.19460712373256683, 0.1254572570323944, 0.07267200201749802]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.2930067777633667, 0.2700832486152649, 0.24395783245563507, 0.11772239953279495, 0.07522977143526077]&['Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.30121761560440063, 0.2856370210647583, 0.18889640271663666, 0.14345383644104004, 0.08079507201910019]&['Order an upper endoscopy  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole']","[0.35771408677101135, 0.24043533205986023, 0.18432994186878204, 0.13379248976707458, 0.08372816443443298]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.349360853433609, 0.24565376341342926, 0.193674698472023, 0.12270749360322952, 0.08860320597887039]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.2982494831085205, 0.2596377432346344, 0.21244652569293976, 0.13828760385513306, 0.09137856960296631]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.3257037401199341, 0.21077542006969452, 0.16926023364067078, 0.14831861853599548, 0.14594197273254395]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.3405260443687439, 0.32076576352119446, 0.19361235201358795, 0.11091117560863495, 0.034184642136096954]&['Order an upper endoscopy  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole']","[0.2764821946620941, 0.23798203468322754, 0.21431827545166016, 0.14163321256637573, 0.12958422303199768]&['Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.35444802045822144, 0.27228471636772156, 0.1657038778066635, 0.1153598204255104, 0.0922035202383995]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']"
8,"[0.2928095757961273, 0.25657588243484497, 0.2055148035287857, 0.19785764813423157, 0.04724209010601044]&['Methionine  ', 'Cysteine  ', 'Tyrosine', 'Glutamine  ', 'Phenylalanine  ']","[0.5555710792541504, 0.18594269454479218, 0.15814898908138275, 0.0771690383553505, 0.023168161511421204]&['Tyrosine', 'Methionine  ', 'Cysteine  ', 'Phenylalanine  ', 'Glutamine  ']","[0.38270652294158936, 0.20301330089569092, 0.18354029953479767, 0.153347447514534, 0.07739235460758209]&['Tyrosine', 'Cysteine  ', 'Phenylalanine  ', 'Methionine  ', 'Glutamine  ']","[0.4539906680583954, 0.26640209555625916, 0.13601744174957275, 0.07515230774879456, 0.06843747943639755]&['Methionine  ', 'Cysteine  ', 'Glutamine  ', 'Tyrosine', 'Phenylalanine  ']","[0.28867465257644653, 0.2288953959941864, 0.19289542734622955, 0.15530647337436676, 0.13422806560993195]&['Cysteine  ', 'Methionine  ', 'Phenylalanine  ', 'Tyrosine', 'Glutamine  ']","[0.2654479146003723, 0.2406371533870697, 0.19490277767181396, 0.19233570992946625, 0.10667639970779419]&['Phenylalanine  ', 'Cysteine  ', 'Tyrosine', 'Methionine  ', 'Glutamine  ']","[0.291636198759079, 0.2809162437915802, 0.26090699434280396, 0.1092841774225235, 0.05725635215640068]&['Cysteine  ', 'Methionine  ', 'Tyrosine', 'Phenylalanine  ', 'Glutamine  ']","[0.31334587931632996, 0.2158634215593338, 0.20719672739505768, 0.1883067786693573, 0.07528726756572723]&['Phenylalanine  ', 'Methionine  ', 'Cysteine  ', 'Tyrosine', 'Glutamine  ']","[0.398949533700943, 0.364669531583786, 0.1313800811767578, 0.08629762381315231, 0.018703188747167587]&['Methionine  ', 'Cysteine  ', 'Glutamine  ', 'Phenylalanine  ', 'Tyrosine']","[0.5850808620452881, 0.18325825035572052, 0.10062059015035629, 0.09436137229204178, 0.03667887672781944]&['Tyrosine', 'Methionine  ', 'Cysteine  ', 'Phenylalanine  ', 'Glutamine  ']","[0.25143399834632874, 0.23253324627876282, 0.21293406188488007, 0.21135088801383972, 0.09174778312444687]&['Phenylalanine  ', 'Tyrosine', 'Cysteine  ', 'Methionine  ', 'Glutamine  ']"
9,"[0.27259987592697144, 0.20755237340927124, 0.15999367833137512, 0.10096953809261322, 0.09907791018486023, 0.09341239929199219, 0.06639433652162552]&['Superior mesenteric artery  ', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Superior vena cava', 'Left colic vein  ', 'Pulmonary vein  ', 'Middle colic artery  ']","[0.27967873215675354, 0.19553035497665405, 0.16035594046115875, 0.14359964430332184, 0.09035764634609222, 0.07749374955892563, 0.05298391357064247]&['Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Superior vena cava', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Left colic vein  ']","[0.19951944053173065, 0.18305182456970215, 0.16165517270565033, 0.15824081003665924, 0.12415892630815506, 0.10214948654174805, 0.07122430950403214]&['Superior vena cava', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Left colic vein  ']","[0.21343205869197845, 0.1750534176826477, 0.13531246781349182, 0.1346430778503418, 0.13330617547035217, 0.11971903592348099, 0.0885336846113205]&['Inferior vena cava  ', 'Superior vena cava', 'Inferior mesenteric vein  ', 'Pulmonary vein  ', 'Superior mesenteric artery  ', 'Middle colic artery  ', 'Left colic vein  ']","[0.2987367808818817, 0.15666116774082184, 0.1480412483215332, 0.14238443970680237, 0.10829537361860275, 0.08167514950037003, 0.06420589983463287]&['Inferior vena cava  ', 'Superior vena cava', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Left colic vein  ']","[0.3162512481212616, 0.16534383594989777, 0.15392282605171204, 0.11967112123966217, 0.10386046022176743, 0.07741888612508774, 0.06353157013654709]&['Inferior vena cava  ', 'Superior vena cava', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Left colic vein  ']","[0.23511523008346558, 0.1872415989637375, 0.14923769235610962, 0.13317738473415375, 0.12517577409744263, 0.09036905318498611, 0.07968318462371826]&['Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Superior vena cava', 'Middle colic artery  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Left colic vein  ']","[0.2761901915073395, 0.1504150778055191, 0.1468600332736969, 0.1302770972251892, 0.12163009494543076, 0.09366151690483093, 0.08096598088741302]&['Inferior vena cava  ', 'Superior vena cava', 'Superior mesenteric artery  ', 'Inferior mesenteric vein  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Left colic vein  ']","[0.2993675172328949, 0.15309961140155792, 0.14068295061588287, 0.1324591487646103, 0.11079063266515732, 0.10337421298027039, 0.0602259561419487]&['Superior vena cava', 'Pulmonary vein  ', 'Superior mesenteric artery  ', 'Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Left colic vein  ', 'Middle colic artery  ']","[0.24879656732082367, 0.1689748615026474, 0.16154907643795013, 0.14374925196170807, 0.1230098158121109, 0.09644472599029541, 0.057475801557302475]&['Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Middle colic artery  ', 'Superior vena cava', 'Superior mesenteric artery  ', 'Left colic vein  ', 'Pulmonary vein  ']","[0.3180791437625885, 0.1470949500799179, 0.1383851170539856, 0.12096764892339706, 0.10801593959331512, 0.09754910320043564, 0.0699080228805542]&['Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Superior vena cava', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Left colic vein  ']"
