,en,es,ar,cs,de,id,ko,ja,lv,nl,it
0,"[0.39777180552482605, 0.2581125497817993, 0.19002105295658112, 0.07792721688747406, 0.07616735994815826]&['Recent physical activity', 'BMI', 'Medication use', 'Family history', 'Previous  fractures']","[0.37189871072769165, 0.30166271328926086, 0.13407684862613678, 0.11758802831172943, 0.07477365434169769]&['BMI', 'Recent physical activity', 'Medication use', 'Family history', 'Previous  fractures']","[0.4237838089466095, 0.34023764729499817, 0.10059785097837448, 0.0856497660279274, 0.04973100870847702]&['Recent physical activity', 'BMI', 'Medication use', 'Family history', 'Previous  fractures']","[0.34186211228370667, 0.2902815043926239, 0.17500706017017365, 0.1302119493484497, 0.06263741850852966]&['Recent physical activity', 'BMI', 'Medication use', 'Family history', 'Previous  fractures']","[0.3553818166255951, 0.3484684228897095, 0.13378854095935822, 0.08952298760414124, 0.0728382095694542]&['BMI', 'Recent physical activity', 'Medication use', 'Family history', 'Previous  fractures']","[0.4953520596027374, 0.2514735758304596, 0.10244228690862656, 0.09967652708292007, 0.051055554300546646]&['Recent physical activity', 'BMI', 'Medication use', 'Family history', 'Previous  fractures']","[0.35326677560806274, 0.34541720151901245, 0.15192769467830658, 0.1036398634314537, 0.0457485094666481]&['BMI', 'Recent physical activity', 'Medication use', 'Family history', 'Previous  fractures']","[0.43992501497268677, 0.3416411280632019, 0.09300342947244644, 0.08425159007310867, 0.04117877781391144]&['Recent physical activity', 'BMI', 'Medication use', 'Family history', 'Previous  fractures']","[0.41647204756736755, 0.2831510901451111, 0.1431979537010193, 0.10543300211429596, 0.05174601078033447]&['BMI', 'Recent physical activity', 'Medication use', 'Family history', 'Previous  fractures']","[0.3854748606681824, 0.36375442147254944, 0.10994146764278412, 0.07248848676681519, 0.06834078580141068]&['BMI', 'Recent physical activity', 'Medication use', 'Previous  fractures', 'Family history']","[0.47783902287483215, 0.2842869758605957, 0.11534914374351501, 0.08044642210006714, 0.04207843914628029]&['BMI', 'Recent physical activity', 'Medication use', 'Family history', 'Previous  fractures']"
1,"[0.40488162636756897, 0.30136212706565857, 0.15438537299633026, 0.1393708884716034]&['Increased total lung capacity', 'Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy']","[0.3264573812484741, 0.32378098368644714, 0.21594709157943726, 0.13381455838680267]&['Increased total lung capacity', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration']","[0.3491820693016052, 0.3211263418197632, 0.19196002185344696, 0.13773150742053986]&['Increased hemoglobin concentration', 'Increased total lung capacity', 'Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration']","[0.36631929874420166, 0.29755863547325134, 0.2162863314151764, 0.11983569711446762]&['Increased total lung capacity', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration']","[0.33522120118141174, 0.2937583923339844, 0.2518867254257202, 0.11913371831178665]&['Increased hemoglobin concentration', 'Increased total lung capacity', 'Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration']","[0.31580880284309387, 0.30765500664711, 0.2532074749469757, 0.12332868576049805]&['Increased hemoglobin concentration', 'Increased total lung capacity', 'Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration']","[0.3256644904613495, 0.320697158575058, 0.22715725004673004, 0.12648111581802368]&['Increased hemoglobin concentration', 'Increased total lung capacity', 'Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration']","[0.40177294611930847, 0.24358223378658295, 0.23943881690502167, 0.1152060478925705]&['Increased total lung capacity', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration']","[0.38627463579177856, 0.3558949828147888, 0.133062481880188, 0.12476792186498642]&['Increased total lung capacity', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration']","[0.3449174463748932, 0.3144049048423767, 0.20686523616313934, 0.13381245732307434]&['Increased hemoglobin concentration', 'Increased total lung capacity', 'Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration']","[0.32188305258750916, 0.3023470342159271, 0.2532820701599121, 0.122487872838974]&['Increased hemoglobin concentration', 'Increased total lung capacity', 'Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration']"
2,"[0.37407612800598145, 0.2778729498386383, 0.22537192702293396, 0.06999233365058899, 0.05268671736121178]&['Double -stranded DNA', 'Phospholipid', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Collagen']","[0.3398405611515045, 0.23260681331157684, 0.20586754381656647, 0.12539440393447876, 0.09629058837890625]&['Double -stranded DNA', 'Phospholipid', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Collagen']","[0.3763847053050995, 0.2018311321735382, 0.18282613158226013, 0.14098727703094482, 0.09797078371047974]&['Double -stranded DNA', 'Proteins in neutrophil cytoplasm', 'Phospholipid', 'Nucleolar protein', 'Collagen']","[0.27166450023651123, 0.24282856285572052, 0.20277096331119537, 0.15789112448692322, 0.12484490871429443]&['Double -stranded DNA', 'Proteins in neutrophil cytoplasm', 'Phospholipid', 'Nucleolar protein', 'Collagen']","[0.44730108976364136, 0.21488362550735474, 0.15220099687576294, 0.13771848380565643, 0.04789578169584274]&['Double -stranded DNA', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Phospholipid', 'Collagen']","[0.33959782123565674, 0.23753571510314941, 0.20400208234786987, 0.12367172539234161, 0.09519262611865997]&['Double -stranded DNA', 'Proteins in neutrophil cytoplasm', 'Phospholipid', 'Nucleolar protein', 'Collagen']","[0.30973175168037415, 0.27889811992645264, 0.24224959313869476, 0.1065831184387207, 0.06253743916749954]&['Phospholipid', 'Double -stranded DNA', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Collagen']","[0.29584380984306335, 0.27201011776924133, 0.2464127540588379, 0.10083380341529846, 0.08489950001239777]&['Phospholipid', 'Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Collagen', 'Nucleolar protein']","[0.34325167536735535, 0.19624203443527222, 0.18397872149944305, 0.17467498779296875, 0.1018526554107666]&['Double -stranded DNA', 'Proteins in neutrophil cytoplasm', 'Phospholipid', 'Nucleolar protein', 'Collagen']","[0.336647093296051, 0.23947100341320038, 0.20723281800746918, 0.13050726056098938, 0.08614180237054825]&['Double -stranded DNA', 'Phospholipid', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Collagen']","[0.35593366622924805, 0.2173174023628235, 0.21373923122882843, 0.12187925726175308, 0.09113045781850815]&['Double -stranded DNA', 'Proteins in neutrophil cytoplasm', 'Phospholipid', 'Nucleolar protein', 'Collagen']"
3,"[0.3438514173030853, 0.2566407322883606, 0.23802541196346283, 0.16148242354393005]&['Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially', 'Fusion of the inferior poles of the metanephros during ascent']","[0.33008864521980286, 0.2907238304615021, 0.2603644132614136, 0.11882306635379791]&['Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']","[0.3093686103820801, 0.2657944858074188, 0.26194554567337036, 0.16289129853248596]&['Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']","[0.2900165021419525, 0.2669607698917389, 0.22574706375598907, 0.21727560460567474]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']","[0.32351943850517273, 0.24891780316829681, 0.21523532271385193, 0.2123275101184845]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally']","[0.33787640929222107, 0.25036272406578064, 0.21166321635246277, 0.20009763538837433]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent']","[0.2957637906074524, 0.2727097272872925, 0.25830936431884766, 0.17321714758872986]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']","[0.34003210067749023, 0.23816314339637756, 0.21677573025226593, 0.20502899587154388]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']","[0.2632356584072113, 0.25962579250335693, 0.25945377349853516, 0.217684805393219]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent']","[0.319815993309021, 0.2955876290798187, 0.20305383205413818, 0.18154262006282806]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']","[0.34008774161338806, 0.24124066531658173, 0.2097911387681961, 0.2088804543018341]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']"
4,"[0.44340595602989197, 0.40435320138931274, 0.10529284179210663, 0.03727744147181511, 0.009670640341937542]&['Decreased protein binding  ', 'Increased alcohol intake  ', 'Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes']","[0.43008366227149963, 0.3115841746330261, 0.11258541792631149, 0.09068398922681808, 0.05506275221705437]&['Decreased protein binding  ', 'Eradication of gut flora  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes']","[0.4497556686401367, 0.34453022480010986, 0.08458325266838074, 0.0722358301281929, 0.04889505356550217]&['Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes']","[0.38882601261138916, 0.35574573278427124, 0.10420838743448257, 0.0951833575963974, 0.05603645369410515]&['Decreased protein binding  ', 'Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Induction of cytochrome enzymes']","[0.3835572302341461, 0.36496683955192566, 0.13901470601558685, 0.06584127992391586, 0.04661989212036133]&['Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes']","[0.36849451065063477, 0.33561816811561584, 0.1489398032426834, 0.08479601889848709, 0.06215152144432068]&['Decreased protein binding  ', 'Eradication of gut flora  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes']","[0.4269411861896515, 0.3391795754432678, 0.11308661103248596, 0.0727243572473526, 0.04806828871369362]&['Decreased protein binding  ', 'Eradication of gut flora  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes']","[0.4168333113193512, 0.4128643572330475, 0.09014244377613068, 0.04699832946062088, 0.033161457628011703]&['Decreased protein binding  ', 'Eradication of gut flora  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes']","[0.36040040850639343, 0.338682621717453, 0.1762668341398239, 0.10247649252414703, 0.022173652425408363]&['Decreased protein binding  ', 'Eradication of gut flora  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes']","[0.44076716899871826, 0.3039306402206421, 0.11708454042673111, 0.10398728400468826, 0.03423032909631729]&['Decreased protein binding  ', 'Eradication of gut flora  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes']","[0.4700941741466522, 0.34698769450187683, 0.0636635571718216, 0.061952028423547745, 0.05730248987674713]&['Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']"
5,"[0.44662001729011536, 0.233396515250206, 0.16577409207820892, 0.14688220620155334, 0.007327153347432613]&['Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Epstein -Barr virus infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.3608570992946625, 0.30186927318573, 0.17806202173233032, 0.1521569937467575, 0.0070547079667449]&['Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis']","[0.36618396639823914, 0.27681636810302734, 0.21459992229938507, 0.13369721174240112, 0.008702547289431095]&['Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis']","[0.376625657081604, 0.31178945302963257, 0.21220248937606812, 0.08645795285701752, 0.012924418784677982]&['HIV infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis']","[0.39500662684440613, 0.2603242099285126, 0.20025910437107086, 0.13624633848667145, 0.008163615129888058]&['Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis']","[0.3407599925994873, 0.26109734177589417, 0.24708254635334015, 0.13934727013111115, 0.011712762527167797]&['Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'HIV infection  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis']","[0.35076069831848145, 0.2560707926750183, 0.2556650936603546, 0.12249518185853958, 0.015008296817541122]&['Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'HIV infection  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis']","[0.349296897649765, 0.23786801099777222, 0.22654861211776733, 0.18176895380020142, 0.004517589695751667]&['Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Epstein -Barr virus infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis']","[0.3508778214454651, 0.3378893733024597, 0.21002529561519623, 0.07736026495695114, 0.02384723164141178]&['HIV infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis']","[0.3492336869239807, 0.28469085693359375, 0.20987291634082794, 0.14878663420677185, 0.007415915839374065]&['Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis']","[0.36842212080955505, 0.31097838282585144, 0.19410447776317596, 0.11947392672300339, 0.007021110504865646]&['Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis']"
6,"[0.3782256841659546, 0.2717682421207428, 0.20356199145317078, 0.1221102923154831, 0.024333812296390533]&['Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.32877999544143677, 0.3036133944988251, 0.24789747595787048, 0.0988340675830841, 0.020875101909041405]&['Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.3929222822189331, 0.26310038566589355, 0.19649088382720947, 0.13273166120052338, 0.01475476659834385]&['Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.4084877073764801, 0.2565614581108093, 0.1987752616405487, 0.1201205924153328, 0.01605500839650631]&['Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.39279866218566895, 0.3035258948802948, 0.18692928552627563, 0.10200603306293488, 0.014740169048309326]&['Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.340122789144516, 0.2835378348827362, 0.27089059352874756, 0.09242600947618484, 0.013022768311202526]&['Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.4375939667224884, 0.3048490583896637, 0.1249454915523529, 0.12013693153858185, 0.012474543415009975]&['Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.32437607645988464, 0.30338120460510254, 0.21810735762119293, 0.13952235877513885, 0.014612982049584389]&['Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.3113122880458832, 0.27729710936546326, 0.25405141711235046, 0.1374310553073883, 0.019908204674720764]&['Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.42699524760246277, 0.31290632486343384, 0.15186528861522675, 0.09987667948007584, 0.008356495760381222]&['Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ', 'Tractional retinal detachment']","[0.33321934938430786, 0.2683786451816559, 0.24704022705554962, 0.12953047454357147, 0.021831240504980087]&['Posterior subcapsular cataracts  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Optic neuritis  ', 'Tractional retinal detachment']"
7,"[0.5909394025802612, 0.21121804416179657, 0.15012933313846588, 0.04601147025823593, 0.0017017859499901533]&['Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']","[0.3902624547481537, 0.31254634261131287, 0.2640729546546936, 0.02694721333682537, 0.006171065382659435]&['Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']","[0.39474958181381226, 0.2907085418701172, 0.2654361426830292, 0.03764151781797409, 0.011464240960776806]&['Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']","[0.3790881931781769, 0.3499346077442169, 0.16127274930477142, 0.10564841330051422, 0.004056073725223541]&['Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Order an upper endoscopy  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']","[0.38568851351737976, 0.36030319333076477, 0.21235142648220062, 0.03578227013349533, 0.005874642636626959]&['Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']","[0.3616046905517578, 0.32616662979125977, 0.2739160358905792, 0.031048573553562164, 0.0072640301659703255]&['Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']","[0.3724091649055481, 0.35545679926872253, 0.23892660439014435, 0.023279322311282158, 0.009928186424076557]&['Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']","[0.4418163597583771, 0.26626625657081604, 0.2167222797870636, 0.0680789202451706, 0.00711619621142745]&['Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Order an upper endoscopy  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']","[0.354654997587204, 0.33895033597946167, 0.23533758521080017, 0.06626050174236298, 0.004796541761606932]&['Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Order an upper endoscopy  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']","[0.6364551186561584, 0.2072727084159851, 0.11067814379930496, 0.042514633387327194, 0.0030793731566518545]&['Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']","[0.3664325177669525, 0.3342100977897644, 0.2639619708061218, 0.02855231612920761, 0.006843117997050285]&['Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Switch the omeprazole to pantoprazole']"
8,"[0.4719153046607971, 0.3961718678474426, 0.07036759704351425, 0.05848066136240959, 0.003064451739192009]&['Methionine  ', 'Cysteine  ', 'Phenylalanine  ', 'Glutamine  ', 'Tyrosine']","[0.3760063648223877, 0.26518598198890686, 0.21023179590702057, 0.14318154752254486, 0.005394353065639734]&['Methionine  ', 'Glutamine  ', 'Cysteine  ', 'Phenylalanine  ', 'Tyrosine']","[0.3687710464000702, 0.26353153586387634, 0.2331112027168274, 0.12646806240081787, 0.008118221536278725]&['Methionine  ', 'Glutamine  ', 'Cysteine  ', 'Phenylalanine  ', 'Tyrosine']","[0.4912559688091278, 0.2035239338874817, 0.16396234929561615, 0.13582074642181396, 0.005437053274363279]&['Methionine  ', 'Cysteine  ', 'Glutamine  ', 'Phenylalanine  ', 'Tyrosine']","[0.3949298560619354, 0.2454954832792282, 0.2122684121131897, 0.13795076310634613, 0.009355491027235985]&['Methionine  ', 'Glutamine  ', 'Cysteine  ', 'Phenylalanine  ', 'Tyrosine']","[0.42052748799324036, 0.20468109846115112, 0.19393324851989746, 0.17080047726631165, 0.010057704523205757]&['Methionine  ', 'Phenylalanine  ', 'Glutamine  ', 'Cysteine  ', 'Tyrosine']","[0.3154859244823456, 0.2898203730583191, 0.25588440895080566, 0.13238844275474548, 0.006420780438929796]&['Methionine  ', 'Cysteine  ', 'Glutamine  ', 'Phenylalanine  ', 'Tyrosine']","[0.47255265712738037, 0.20933106541633606, 0.17002767324447632, 0.1399151086807251, 0.008173544891178608]&['Methionine  ', 'Glutamine  ', 'Phenylalanine  ', 'Cysteine  ', 'Tyrosine']","[0.4884594976902008, 0.21108947694301605, 0.1639305055141449, 0.13049402832984924, 0.006026541814208031]&['Methionine  ', 'Cysteine  ', 'Glutamine  ', 'Phenylalanine  ', 'Tyrosine']","[0.38648363947868347, 0.23668773472309113, 0.21267347037792206, 0.1573510318994522, 0.00680400338023901]&['Methionine  ', 'Glutamine  ', 'Cysteine  ', 'Phenylalanine  ', 'Tyrosine']","[0.41088205575942993, 0.21765176951885223, 0.18124720454216003, 0.18110138177871704, 0.009117613546550274]&['Methionine  ', 'Phenylalanine  ', 'Glutamine  ', 'Cysteine  ', 'Tyrosine']"
9,"[0.35178640484809875, 0.26119014620780945, 0.13449788093566895, 0.11562427133321762, 0.07416839152574539, 0.057548511773347855, 0.0051844376139342785]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Left colic vein  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Superior vena cava']","[0.2945619523525238, 0.24411889910697937, 0.15721148252487183, 0.11764297634363174, 0.1097206398844719, 0.06827560067176819, 0.0084684481844306]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Left colic vein  ', 'Middle colic artery  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Superior vena cava']","[0.2944435775279999, 0.2004777193069458, 0.19545166194438934, 0.13997997343540192, 0.10671813040971756, 0.056435711681842804, 0.0064931949600577354]&['Inferior vena cava  ', 'Left colic vein  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Middle colic artery  ', 'Pulmonary vein  ', 'Superior vena cava']","[0.30701375007629395, 0.2034463733434677, 0.19659587740898132, 0.09765458106994629, 0.09749139100313187, 0.07698961347341537, 0.0208083838224411]&['Inferior vena cava  ', 'Left colic vein  ', 'Inferior mesenteric vein  ', 'Pulmonary vein  ', 'Superior mesenteric artery  ', 'Middle colic artery  ', 'Superior vena cava']","[0.24134287238121033, 0.22201086580753326, 0.18471193313598633, 0.13865789771080017, 0.131856769323349, 0.07083022594451904, 0.010589455254375935]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Left colic vein  ', 'Superior mesenteric artery  ', 'Middle colic artery  ', 'Pulmonary vein  ', 'Superior vena cava']","[0.2984100580215454, 0.21862831711769104, 0.15594783425331116, 0.12893427908420563, 0.10381141304969788, 0.08517550677061081, 0.009092656895518303]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Left colic vein  ', 'Middle colic artery  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Superior vena cava']","[0.35672053694725037, 0.21583938598632812, 0.1312890648841858, 0.10601233690977097, 0.09547609835863113, 0.08534085750579834, 0.009321644902229309]&['Inferior vena cava  ', 'Left colic vein  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Superior vena cava']","[0.2553286850452423, 0.23000147938728333, 0.1754111796617508, 0.15916691720485687, 0.11540276557207108, 0.05845928564667702, 0.006229727528989315]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Left colic vein  ', 'Middle colic artery  ', 'Pulmonary vein  ', 'Superior vena cava']","[0.21949152648448944, 0.1902703046798706, 0.18908828496932983, 0.15610206127166748, 0.1388615518808365, 0.09414070099592209, 0.012045656330883503]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Left colic vein  ', 'Superior mesenteric artery  ', 'Middle colic artery  ', 'Pulmonary vein  ', 'Superior vena cava']","[0.27031421661376953, 0.22644750773906708, 0.17887242138385773, 0.12456433475017548, 0.1021009013056755, 0.08386659622192383, 0.013834020122885704]&['Left colic vein  ', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Middle colic artery  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Superior vena cava']","[0.3302821218967438, 0.22471466660499573, 0.14792229235172272, 0.11937462538480759, 0.1013052687048912, 0.06786724925041199, 0.008533759973943233]&['Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Left colic vein  ', 'Middle colic artery  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Superior vena cava']"
