,Original,Below Basic,Basic,Intermediate,Advanced
0,"[0.38551071286201477, 0.31552159786224365, 0.17038579285144806, 0.11916279047727585, 0.009419010952115059]&['Medication use', 'BMI', 'Family history', 'Recent physical activity', 'Previous  fractures']","[0.34038999676704407, 0.2954305410385132, 0.21699529886245728, 0.13269513845443726, 0.014489047229290009]&['Family history', 'BMI', 'Recent physical activity', 'Medication use', 'Previous  fractures']","[0.2794131338596344, 0.2565058469772339, 0.2514060139656067, 0.13312497735023499, 0.07955007255077362]&['BMI', 'Family history', 'Recent physical activity', 'Previous  fractures', 'Medication use']","[0.32143735885620117, 0.31197741627693176, 0.1658642590045929, 0.1610856056213379, 0.03963536396622658]&['BMI', 'Recent physical activity', 'Family history', 'Medication use', 'Previous  fractures']","[0.34793564677238464, 0.2974110245704651, 0.23679111897945404, 0.06938651204109192, 0.048475708812475204]&['Recent physical activity', 'BMI', 'Medication use', 'Family history', 'Previous  fractures']"
1,"[0.5327886343002319, 0.19416818022727966, 0.16613365709781647, 0.10690947622060776]&['Increased total lung capacity', 'Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration']","[0.47620889544487, 0.19530297815799713, 0.1724831610918045, 0.15600496530532837]&['Increased total lung capacity', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy']","[0.3992883861064911, 0.24857518076896667, 0.2223319709300995, 0.12980450689792633]&['Increased total lung capacity', 'Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration']","[0.4140453040599823, 0.38770192861557007, 0.11084321141242981, 0.08740955591201782]&['Decreased serum bicarbonate concentration', 'Increased total lung capacity', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration']","[0.2950930595397949, 0.2700042426586151, 0.22869758307933807, 0.2062050998210907]&['Increased total lung capacity', 'Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration']"
2,"[0.570938766002655, 0.19248977303504944, 0.11658938974142075, 0.10410661995410919, 0.015875445678830147]&['Phospholipid', 'Collagen', 'Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm']","[0.50068598985672, 0.23518598079681396, 0.16269420087337494, 0.057876359671354294, 0.043557509779930115]&['Phospholipid', 'Collagen', 'Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm']","[0.3586238622665405, 0.24277666211128235, 0.183182030916214, 0.172598734498024, 0.04281872510910034]&['Collagen', 'Phospholipid', 'Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm']","[0.3983501195907593, 0.23689217865467072, 0.14404550194740295, 0.1311565488576889, 0.08955562114715576]&['Collagen', 'Phospholipid', 'Double -stranded DNA', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein']","[0.5105794668197632, 0.15565326809883118, 0.14769162237644196, 0.13262230157852173, 0.053453363478183746]&['Collagen', 'Phospholipid', 'Double -stranded DNA', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm']"
3,"[0.2964845597743988, 0.28386005759239197, 0.2504677474498749, 0.16918766498565674]&['Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']","[0.4288483262062073, 0.24843746423721313, 0.19335530698299408, 0.12935885787010193]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent']","[0.40692421793937683, 0.22284337878227234, 0.20376287400722504, 0.1664695143699646]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent']","[0.379662424325943, 0.21943971514701843, 0.20478297770023346, 0.1961149126291275]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent']","[0.35423415899276733, 0.28070348501205444, 0.1828974038362503, 0.18216495215892792]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent']"
4,"[0.41571253538131714, 0.388244092464447, 0.09701527655124664, 0.06449593603610992, 0.034532129764556885]&['Increased alcohol intake  ', 'Decreased protein binding  ', 'Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes']","[0.748175323009491, 0.12615317106246948, 0.08484979718923569, 0.029560651630163193, 0.01126100867986679]&['Increased alcohol intake  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes', 'Eradication of gut flora  ']","[0.602632462978363, 0.19706717133522034, 0.11733445525169373, 0.053361572325229645, 0.02960427664220333]&['Increased alcohol intake  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Induction of cytochrome enzymes', 'Eradication of gut flora  ']","[0.4642592668533325, 0.2012946754693985, 0.1985243409872055, 0.07117769867181778, 0.0647440105676651]&['Increased alcohol intake  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes']","[0.4032268822193146, 0.3809339702129364, 0.10703787207603455, 0.05507994443178177, 0.05372132360935211]&['Increased alcohol intake  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes']"
5,"[0.4859734773635864, 0.31354114413261414, 0.11869481205940247, 0.06716262549161911, 0.014627932570874691]&['Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.28309324383735657, 0.2648722529411316, 0.2536548972129822, 0.17640116810798645, 0.02197839505970478]&['Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.3484812080860138, 0.2622215747833252, 0.1921292245388031, 0.17056886851787567, 0.02659907191991806]&['Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.31390389800071716, 0.26255133748054504, 0.23844128847122192, 0.11960935592651367, 0.06549414992332458]&['Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Streptococcal pharyngitis']","[0.3234734833240509, 0.3047206997871399, 0.18829631805419922, 0.1632544845342636, 0.02025500498712063]&['Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'HIV infection  ', 'Epstein -Barr virus infection  ', 'Streptococcal pharyngitis']"
6,"[0.3717523217201233, 0.2604060769081116, 0.24156036972999573, 0.07241056114435196, 0.053870681673288345]&['Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Optic neuritis  ', 'Tractional retinal detachment', 'Melanocytes in the uvea  ']","[0.39622050523757935, 0.34982985258102417, 0.17416232824325562, 0.047442030161619186, 0.032345280051231384]&['Optic neuritis  ', 'Tractional retinal detachment', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ']","[0.3554106652736664, 0.3028562664985657, 0.2583850026130676, 0.044281814247369766, 0.039066240191459656]&['Optic neuritis  ', 'Tractional retinal detachment', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Posterior subcapsular cataracts  ']","[0.39225149154663086, 0.33418598771095276, 0.15422280132770538, 0.07996591925621033, 0.03937380760908127]&['Optic neuritis  ', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Tractional retinal detachment', 'Melanocytes in the uvea  ']","[0.36088019609451294, 0.3229158818721771, 0.25277459621429443, 0.039711881428956985, 0.023717520758509636]&['Optic neuritis  ', 'Tractional retinal detachment', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ']"
7,"[0.32096564769744873, 0.2835830748081207, 0.22422733902931213, 0.13828539848327637, 0.03293855860829353]&['Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Order an upper endoscopy  ', 'Switch the omeprazole to pantoprazole']","[0.551038920879364, 0.15753227472305298, 0.14623300731182098, 0.09981463849544525, 0.04538124054670334]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Switch the omeprazole to pantoprazole']","[0.4648055136203766, 0.18059591948986053, 0.15573465824127197, 0.13584205508232117, 0.06302182376384735]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Switch the omeprazole to pantoprazole']","[0.498769074678421, 0.17561161518096924, 0.16720058023929596, 0.1289786845445633, 0.029440056532621384]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.2745358943939209, 0.2676383852958679, 0.26494571566581726, 0.11802641302347183, 0.07485360652208328]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole']"
8,"[0.3702331781387329, 0.2215968817472458, 0.2130410373210907, 0.18221719563007355, 0.0129117825999856]&['Glutamine  ', 'Methionine  ', 'Cysteine  ', 'Phenylalanine  ', 'Tyrosine']","[0.39768826961517334, 0.3113420903682709, 0.1719154417514801, 0.09857123345136642, 0.02048298716545105]&['Glutamine  ', 'Cysteine  ', 'Methionine  ', 'Phenylalanine  ', 'Tyrosine']","[0.4227044880390167, 0.279902845621109, 0.19189567863941193, 0.09703507274389267, 0.008461816236376762]&['Glutamine  ', 'Cysteine  ', 'Methionine  ', 'Phenylalanine  ', 'Tyrosine']","[0.39453887939453125, 0.2848530113697052, 0.2162361741065979, 0.09972894936800003, 0.004643009509891272]&['Glutamine  ', 'Cysteine  ', 'Methionine  ', 'Phenylalanine  ', 'Tyrosine']","[0.3308706283569336, 0.3144546151161194, 0.24018320441246033, 0.10994050651788712, 0.004551060032099485]&['Cysteine  ', 'Glutamine  ', 'Methionine  ', 'Phenylalanine  ', 'Tyrosine']"
9,"[0.3442867398262024, 0.20305103063583374, 0.11734218895435333, 0.11388296633958817, 0.09920185804367065, 0.08370834589004517, 0.03852688521146774]&['Left colic vein  ', 'Middle colic artery  ', 'Pulmonary vein  ', 'Superior mesenteric artery  ', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Superior vena cava']","[0.4368526041507721, 0.13105979561805725, 0.10865870863199234, 0.10198558866977692, 0.09731928259134293, 0.07352927327156067, 0.05059466511011124]&['Left colic vein  ', 'Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Middle colic artery  ', 'Superior vena cava']","[0.42540016770362854, 0.16311703622341156, 0.15083874762058258, 0.09584079682826996, 0.08147243410348892, 0.05541069060564041, 0.027920106425881386]&['Left colic vein  ', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Pulmonary vein  ', 'Superior mesenteric artery  ', 'Superior vena cava', 'Middle colic artery  ']","[0.2880575358867645, 0.21589352190494537, 0.16878384351730347, 0.14760081470012665, 0.07908418774604797, 0.052818264812231064, 0.047761812806129456]&['Left colic vein  ', 'Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Middle colic artery  ', 'Superior vena cava']","[0.5364517569541931, 0.14049111306667328, 0.11681373417377472, 0.07205048948526382, 0.07140060514211655, 0.04109788313508034, 0.0216944832354784]&['Left colic vein  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Superior vena cava']"
