,Original,Below Basic,Basic,Intermediate,Advanced
0,"[0.48874443769454956, 0.3600313663482666, 0.060349736362695694, 0.05120781064033508, 0.03966667875647545]&['Recent physical activity', 'Previous  fractures', 'Family history', 'Medication use', 'BMI']","[0.5095203518867493, 0.3307637870311737, 0.09862510114908218, 0.04608110710978508, 0.015009698458015919]&['Previous  fractures', 'Recent physical activity', 'Medication use', 'Family history', 'BMI']","[0.610198438167572, 0.26814910769462585, 0.05342768132686615, 0.0360146090388298, 0.03221016377210617]&['Recent physical activity', 'Previous  fractures', 'Family history', 'BMI', 'Medication use']","[0.42843979597091675, 0.26974180340766907, 0.14200930297374725, 0.08437376469373703, 0.07543535530567169]&['Previous  fractures', 'Recent physical activity', 'Medication use', 'Family history', 'BMI']","[0.483252614736557, 0.38347557187080383, 0.08121688663959503, 0.033900294452905655, 0.018154624849557877]&['Previous  fractures', 'Recent physical activity', 'Medication use', 'Family history', 'BMI']"
1,"[0.46235668659210205, 0.22394268214702606, 0.20197515189647675, 0.11172547191381454]&['Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration', 'Increased total lung capacity', 'Increased hemoglobin concentration']","[0.3420247435569763, 0.2781605124473572, 0.2677212357521057, 0.11209353059530258]&['Decreased serum bicarbonate concentration', 'Increased total lung capacity', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration']","[0.4392105042934418, 0.19758276641368866, 0.19438333809375763, 0.16882342100143433]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.499685138463974, 0.21306544542312622, 0.15204766392707825, 0.13520178198814392]&['Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy', 'Increased total lung capacity']","[0.35950174927711487, 0.24472348392009735, 0.23537972569465637, 0.1603950709104538]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity']"
2,"[0.2849704623222351, 0.2643413543701172, 0.1653585135936737, 0.15795689821243286, 0.12737272679805756]&['Double -stranded DNA', 'Proteins in neutrophil cytoplasm', 'Phospholipid', 'Nucleolar protein', 'Collagen']","[0.2884044647216797, 0.23247632384300232, 0.22506079077720642, 0.17720860242843628, 0.07684989273548126]&['Proteins in neutrophil cytoplasm', 'Collagen', 'Nucleolar protein', 'Double -stranded DNA', 'Phospholipid']","[0.36059337854385376, 0.2503167390823364, 0.16425806283950806, 0.12185736745595932, 0.10297445952892303]&['Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Double -stranded DNA', 'Collagen', 'Phospholipid']","[0.29497209191322327, 0.2801745533943176, 0.19317345321178436, 0.12348981201648712, 0.10819008946418762]&['Collagen', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Phospholipid', 'Double -stranded DNA']","[0.3215605616569519, 0.21710002422332764, 0.1937008500099182, 0.1853005439043045, 0.08233795315027237]&['Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Double -stranded DNA', 'Collagen', 'Phospholipid']"
3,"[0.35184937715530396, 0.2603623867034912, 0.22607006132602692, 0.1617182195186615]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']","[0.3723520338535309, 0.27738478779792786, 0.2291562855243683, 0.12110688537359238]&['Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially', 'Fusion of the inferior poles of the metanephros during ascent']","[0.3515579104423523, 0.2637508511543274, 0.2600443959236145, 0.12464691698551178]&['Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially', 'Fusion of the inferior poles of the metanephros during ascent']","[0.3880229592323303, 0.24249380826950073, 0.22364765405654907, 0.14583554863929749]&['Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially', 'Fusion of the inferior poles of the metanephros during ascent']","[0.3065962493419647, 0.2741715908050537, 0.23358121514320374, 0.1856509894132614]&['Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']"
4,"[0.5056852698326111, 0.29328009486198425, 0.07594748586416245, 0.07175340503454208, 0.053333841264247894]&['Induction of cytochrome enzymes', 'Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Increased alcohol intake  ', 'Decreased protein binding  ']","[0.6346138715744019, 0.13049855828285217, 0.10130033642053604, 0.07916191220283508, 0.05442534014582634]&['Induction of cytochrome enzymes', 'Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased alcohol intake  ']","[0.534371018409729, 0.1706920713186264, 0.16277121007442474, 0.08461908996105194, 0.04754657670855522]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Decreased protein binding  ', 'Increased alcohol intake  ']","[0.4673529267311096, 0.20287875831127167, 0.17722377181053162, 0.08135759830474854, 0.07118700444698334]&['Induction of cytochrome enzymes', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Increased alcohol intake  ']","[0.7083276510238647, 0.12824377417564392, 0.07986349612474442, 0.045524027198553085, 0.03804102912545204]&['Induction of cytochrome enzymes', 'Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased alcohol intake  ']"
5,"[0.6514892578125, 0.12020786851644516, 0.09884683787822723, 0.08427959680557251, 0.04517640173435211]&['Streptococcal pharyngitis', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ']","[0.5509918332099915, 0.17864637076854706, 0.15473099052906036, 0.05967654660344124, 0.0559542179107666]&['Streptococcal pharyngitis', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ']","[0.5260754823684692, 0.21218450367450714, 0.10173745453357697, 0.10159461200237274, 0.058407921344041824]&['Streptococcal pharyngitis', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Lymphogranuloma venereum infection  ']","[0.3528061807155609, 0.2745451033115387, 0.17383898794651031, 0.12552490830421448, 0.0732848197221756]&['Streptococcal pharyngitis', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Lymphogranuloma venereum infection  ']","[0.6362859010696411, 0.13753345608711243, 0.09246399253606796, 0.08698618412017822, 0.04673052206635475]&['Streptococcal pharyngitis', 'Gonococcal pharyngitis  ', 'HIV infection  ', 'Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ']"
6,"[0.3976287245750427, 0.23651385307312012, 0.1571754366159439, 0.1406337320804596, 0.06804820150136948]&['Tractional retinal detachment', 'Optic neuritis  ', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ']","[0.4582955241203308, 0.2110453099012375, 0.18841417133808136, 0.07271424680948257, 0.06953071057796478]&['Arteriovenous nicking  ', 'Tractional retinal detachment', 'Optic neuritis  ', 'Melanocytes in the uvea  ', 'Posterior subcapsular cataracts  ']","[0.4877811372280121, 0.23700466752052307, 0.13518692553043365, 0.08219050616025925, 0.057836707681417465]&['Arteriovenous nicking  ', 'Tractional retinal detachment', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ']","[0.29857736825942993, 0.2752247750759125, 0.2716238796710968, 0.0881049782037735, 0.06646905094385147]&['Optic neuritis  ', 'Arteriovenous nicking  ', 'Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ']","[0.38588592410087585, 0.2689509987831116, 0.2004680037498474, 0.07861296087503433, 0.06608206778764725]&['Arteriovenous nicking  ', 'Tractional retinal detachment', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ']"
7,"[0.8897088170051575, 0.05445723235607147, 0.03416113555431366, 0.015836719423532486, 0.005836058873683214]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole']","[0.764681339263916, 0.10667996853590012, 0.05382774397730827, 0.05371277779340744, 0.02109823375940323]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole']","[0.5340192914009094, 0.17848846316337585, 0.16995100677013397, 0.06807710230350494, 0.04946405813097954]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole']","[0.6018980145454407, 0.20525749027729034, 0.1209489032626152, 0.04928326979279518, 0.022612322121858597]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole']","[0.39284056425094604, 0.2079835832118988, 0.16460669040679932, 0.14807313680648804, 0.08649592101573944]&['Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole', 'Order an upper endoscopy  ']"
8,"[0.7294812202453613, 0.16129738092422485, 0.04837893322110176, 0.03343186900019646, 0.027410592883825302]&['Tyrosine', 'Phenylalanine  ', 'Methionine  ', 'Glutamine  ', 'Cysteine  ']","[0.78941810131073, 0.07800062745809555, 0.06339318305253983, 0.04750426858663559, 0.021683882921934128]&['Tyrosine', 'Phenylalanine  ', 'Methionine  ', 'Cysteine  ', 'Glutamine  ']","[0.6666837930679321, 0.13281817734241486, 0.07746458053588867, 0.07396936416625977, 0.04906408488750458]&['Tyrosine', 'Methionine  ', 'Cysteine  ', 'Phenylalanine  ', 'Glutamine  ']","[0.43974629044532776, 0.19957751035690308, 0.19011171162128448, 0.10029546171426773, 0.07026897370815277]&['Tyrosine', 'Methionine  ', 'Phenylalanine  ', 'Glutamine  ', 'Cysteine  ']","[0.6219093799591064, 0.13212178647518158, 0.12544701993465424, 0.06702806800603867, 0.05349373817443848]&['Tyrosine', 'Phenylalanine  ', 'Methionine  ', 'Glutamine  ', 'Cysteine  ']"
9,"[0.5400555729866028, 0.21303994953632355, 0.07141441851854324, 0.07124274224042892, 0.043220579624176025, 0.03169944882392883, 0.02932726964354515]&['Pulmonary vein  ', 'Superior vena cava', 'Inferior mesenteric vein  ', 'Middle colic artery  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Left colic vein  ']","[0.2551051080226898, 0.24031418561935425, 0.21485519409179688, 0.10986876487731934, 0.0859232172369957, 0.05817752331495285, 0.03575592860579491]&['Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Pulmonary vein  ', 'Superior vena cava', 'Superior mesenteric artery  ', 'Middle colic artery  ', 'Left colic vein  ']","[0.36910971999168396, 0.13939908146858215, 0.13294617831707, 0.11883895844221115, 0.10135601460933685, 0.10100321471691132, 0.03734683245420456]&['Pulmonary vein  ', 'Left colic vein  ', 'Superior vena cava', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Middle colic artery  ', 'Superior mesenteric artery  ']","[0.4341847598552704, 0.1624489575624466, 0.12980929017066956, 0.11728529632091522, 0.06502584367990494, 0.051732663065195084, 0.03951319307088852]&['Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior vena cava', 'Middle colic artery  ', 'Left colic vein  ', 'Superior mesenteric artery  ']","[0.3494507670402527, 0.2267707735300064, 0.13798128068447113, 0.10642115771770477, 0.07881573587656021, 0.060171984136104584, 0.0403883121907711]&['Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Superior mesenteric artery  ', 'Middle colic artery  ', 'Superior vena cava', 'Left colic vein  ']"
10,"[0.3262328505516052, 0.2836708128452301, 0.12805059552192688, 0.11970509588718414, 0.11231575161218643, 0.030024949461221695]&['Bowman capsule  ', 'Supraoptic nucleus', 'Anterior pituitary gland  ', 'Loop of Henle  ', 'Glomerulus  ', 'Hypophysial portal system  ']","[0.4615337550640106, 0.20246054232120514, 0.1590539515018463, 0.12300987541675568, 0.02860424481332302, 0.025337636470794678]&['Bowman capsule  ', 'Supraoptic nucleus', 'Anterior pituitary gland  ', 'Glomerulus  ', 'Loop of Henle  ', 'Hypophysial portal system  ']","[0.3292882740497589, 0.25319576263427734, 0.17706695199012756, 0.16113650798797607, 0.047911662608385086, 0.031400907784700394]&['Supraoptic nucleus', 'Glomerulus  ', 'Anterior pituitary gland  ', 'Bowman capsule  ', 'Loop of Henle  ', 'Hypophysial portal system  ']","[0.38055458664894104, 0.29279065132141113, 0.11004567891359329, 0.09445750713348389, 0.09263107925653458, 0.02952049858868122]&['Supraoptic nucleus', 'Glomerulus  ', 'Anterior pituitary gland  ', 'Bowman capsule  ', 'Loop of Henle  ', 'Hypophysial portal system  ']","[0.3903452455997467, 0.231664776802063, 0.17797140777111053, 0.1140546202659607, 0.05001140758395195, 0.03595263510942459]&['Glomerulus  ', 'Supraoptic nucleus', 'Anterior pituitary gland  ', 'Bowman capsule  ', 'Loop of Henle  ', 'Hypophysial portal system  ']"
11,"[0.4455093741416931, 0.22246693074703217, 0.16728918254375458, 0.10399339348077774, 0.06074107065796852]&['Fibrosis of intraventricular conduction pathways  ', 'Myocyte hyperplasia as a result of induction of embryonic genes', 'Increased synthesis of contractile filaments  ', 'Misfolding and aggregation of cytoskeletal proteins  ', 'Excessive accumulation of glycogen  ']","[0.45047491788864136, 0.21232300996780396, 0.160945326089859, 0.10940602421760559, 0.0668507069349289]&['Fibrosis of intraventricular conduction pathways  ', 'Misfolding and aggregation of cytoskeletal proteins  ', 'Increased synthesis of contractile filaments  ', 'Myocyte hyperplasia as a result of induction of embryonic genes', 'Excessive accumulation of glycogen  ']","[0.4766724705696106, 0.16705308854579926, 0.15058644115924835, 0.1263439953327179, 0.0793440192937851]&['Fibrosis of intraventricular conduction pathways  ', 'Myocyte hyperplasia as a result of induction of embryonic genes', 'Misfolding and aggregation of cytoskeletal proteins  ', 'Increased synthesis of contractile filaments  ', 'Excessive accumulation of glycogen  ']","[0.4236152172088623, 0.18808694183826447, 0.179050013422966, 0.10560427606105804, 0.10364355891942978]&['Fibrosis of intraventricular conduction pathways  ', 'Myocyte hyperplasia as a result of induction of embryonic genes', 'Increased synthesis of contractile filaments  ', 'Misfolding and aggregation of cytoskeletal proteins  ', 'Excessive accumulation of glycogen  ']","[0.42404118180274963, 0.2560908794403076, 0.1482190042734146, 0.10381031781435013, 0.0678386315703392]&['Fibrosis of intraventricular conduction pathways  ', 'Myocyte hyperplasia as a result of induction of embryonic genes', 'Increased synthesis of contractile filaments  ', 'Misfolding and aggregation of cytoskeletal proteins  ', 'Excessive accumulation of glycogen  ']"
12,"[0.5362882614135742, 0.22918365895748138, 0.10306748747825623, 0.09758608043193817, 0.0338745079934597]&['Vitamin B 12 (cobalamin)  ', 'Zinc', 'Vitamin A  ', 'Magnesium  ', 'Vitamin C  ']","[0.415937602519989, 0.33545607328414917, 0.1308552324771881, 0.07580849528312683, 0.04194256663322449]&['Vitamin A  ', 'Vitamin B 12 (cobalamin)  ', 'Zinc', 'Vitamin C  ', 'Magnesium  ']","[0.5097227096557617, 0.18779559433460236, 0.1828191578388214, 0.062387626618146896, 0.05727488547563553]&['Vitamin B 12 (cobalamin)  ', 'Vitamin A  ', 'Zinc', 'Magnesium  ', 'Vitamin C  ']","[0.3162037134170532, 0.29058533906936646, 0.2627856731414795, 0.06558041274547577, 0.06484488397836685]&['Vitamin B 12 (cobalamin)  ', 'Zinc', 'Vitamin A  ', 'Vitamin C  ', 'Magnesium  ']","[0.4285169243812561, 0.2549416720867157, 0.17732258141040802, 0.07182108610868454, 0.06739766895771027]&['Vitamin B 12 (cobalamin)  ', 'Zinc', 'Vitamin A  ', 'Magnesium  ', 'Vitamin C  ']"
13,"[0.5901652574539185, 0.1338496208190918, 0.11329249292612076, 0.0914251059293747, 0.07126746326684952]&['129 -131', '128 -132 ', '125 -135 ', '120 -140 ', '105 -155 ']","[0.4263058006763458, 0.22155852615833282, 0.14773152768611908, 0.13402006030082703, 0.07038410753011703]&['129 -131', '125 -135 ', '105 -155 ', '120 -140 ', '128 -132 ']","[0.5673007369041443, 0.17203329503536224, 0.11756576597690582, 0.09636525064706802, 0.04673492908477783]&['129 -131', '125 -135 ', '120 -140 ', '105 -155 ', '128 -132 ']","[0.40468829870224, 0.2312329262495041, 0.1678742617368698, 0.11585652083158493, 0.08034799247980118]&['129 -131', '128 -132 ', '125 -135 ', '105 -155 ', '120 -140 ']","[0.6454674005508423, 0.11818903684616089, 0.10331007838249207, 0.08379613608121872, 0.049237288534641266]&['129 -131', '120 -140 ', '125 -135 ', '128 -132 ', '105 -155 ']"
14,"[0.6316540241241455, 0.176969513297081, 0.07095666229724884, 0.0682930201292038, 0.05212679132819176]&['Emphysema', 'Chronic pulmonary fibrosis  ', 'Asthma  ', 'Bronchiectasis  ', 'Cystic fibrosis  ']","[0.46751388907432556, 0.2979608178138733, 0.0965106189250946, 0.07274038344621658, 0.06527427583932877]&['Emphysema', 'Bronchiectasis  ', 'Asthma  ', 'Cystic fibrosis  ', 'Chronic pulmonary fibrosis  ']","[0.49193891882896423, 0.17074120044708252, 0.16419950127601624, 0.09180095046758652, 0.08131945878267288]&['Emphysema', 'Cystic fibrosis  ', 'Bronchiectasis  ', 'Chronic pulmonary fibrosis  ', 'Asthma  ']","[0.4283555746078491, 0.21230585873126984, 0.15104883909225464, 0.11430015414953232, 0.09398950636386871]&['Emphysema', 'Cystic fibrosis  ', 'Asthma  ', 'Chronic pulmonary fibrosis  ', 'Bronchiectasis  ']","[0.2749454975128174, 0.2521708309650421, 0.22498837113380432, 0.14406359195709229, 0.1038317158818245]&['Bronchiectasis  ', 'Emphysema', 'Chronic pulmonary fibrosis  ', 'Asthma  ', 'Cystic fibrosis  ']"
15,"[0.5407662391662598, 0.1725488156080246, 0.1398267149925232, 0.07622669637203217, 0.07063157111406326]&['Impossible to predict', 'Greater chance of a Type II error  ', 'Greater chance of a Type I error  ', 'Less chance of a Type II error  ', 'Less chance of a Type I error  ']","[0.28435462713241577, 0.21562589704990387, 0.20984774827957153, 0.14848370850086212, 0.1416880488395691]&['Less chance of a Type II error  ', 'Less chance of a Type I error  ', 'Greater chance of a Type II error  ', 'Greater chance of a Type I error  ', 'Impossible to predict']","[0.24880294501781464, 0.23927640914916992, 0.1876598298549652, 0.1774144172668457, 0.14684642851352692]&['Greater chance of a Type II error  ', 'Greater chance of a Type I error  ', 'Less chance of a Type II error  ', 'Impossible to predict', 'Less chance of a Type I error  ']","[0.6106466054916382, 0.13270452618598938, 0.09521687775850296, 0.08854593336582184, 0.07288606464862823]&['Impossible to predict', 'Greater chance of a Type II error  ', 'Greater chance of a Type I error  ', 'Less chance of a Type II error  ', 'Less chance of a Type I error  ']","[0.4937888979911804, 0.15699739754199982, 0.14327013492584229, 0.11184684932231903, 0.09409675747156143]&['Impossible to predict', 'Greater chance of a Type I error  ', 'Greater chance of a Type II error  ', 'Less chance of a Type I error  ', 'Less chance of a Type II error  ']"
16,"[0.4346746504306793, 0.2224644422531128, 0.12065188586711884, 0.10597270727157593, 0.07441875338554382, 0.0418175645172596]&['Increased fasting insulin concentration  ', 'Decreased leptin concentration  ', 'Decreased estrone concentration  ', 'Increased thyroid -stimulating hormone concentration', 'Decreased cholesterol excretion  ', 'Increased growth hormone concentration  ']","[0.22786077857017517, 0.204507976770401, 0.16092225909233093, 0.14746148884296417, 0.14370256662368774, 0.11554491519927979]&['Increased fasting insulin concentration  ', 'Decreased leptin concentration  ', 'Decreased estrone concentration  ', 'Increased growth hormone concentration  ', 'Decreased cholesterol excretion  ', 'Increased thyroid -stimulating hormone concentration']","[0.30608001351356506, 0.19418559968471527, 0.14368078112602234, 0.1394350379705429, 0.11832533031702042, 0.0982932299375534]&['Increased fasting insulin concentration  ', 'Decreased leptin concentration  ', 'Decreased estrone concentration  ', 'Increased thyroid -stimulating hormone concentration', 'Increased growth hormone concentration  ', 'Decreased cholesterol excretion  ']","[0.3448244333267212, 0.21306733787059784, 0.1841931939125061, 0.09789318591356277, 0.086944580078125, 0.07307735830545425]&['Increased fasting insulin concentration  ', 'Decreased leptin concentration  ', 'Decreased estrone concentration  ', 'Decreased cholesterol excretion  ', 'Increased growth hormone concentration  ', 'Increased thyroid -stimulating hormone concentration']","[0.3149045407772064, 0.2401542365550995, 0.16171564161777496, 0.10708785057067871, 0.09694879502058029, 0.07918893545866013]&['Increased fasting insulin concentration  ', 'Increased thyroid -stimulating hormone concentration', 'Decreased leptin concentration  ', 'Decreased estrone concentration  ', 'Decreased cholesterol excretion  ', 'Increased growth hormone concentration  ']"
17,"[0.4121827185153961, 0.2942539155483246, 0.17301222681999207, 0.10191258788108826, 0.018638523295521736]&['Schizophrenia', 'Bipolar disorder, manic, with psychotic features  ', 'Brief psychotic disorder  ', 'Psychotic disorder due to general medical condition  ', 'Delusional disorder  ']","[0.37684789299964905, 0.3044871389865875, 0.14557325839996338, 0.14099101722240448, 0.03210068866610527]&['Bipolar disorder, manic, with psychotic features  ', 'Brief psychotic disorder  ', 'Schizophrenia', 'Psychotic disorder due to general medical condition  ', 'Delusional disorder  ']","[0.48486122488975525, 0.21365748345851898, 0.1650044023990631, 0.09386656433343887, 0.042610377073287964]&['Bipolar disorder, manic, with psychotic features  ', 'Brief psychotic disorder  ', 'Schizophrenia', 'Psychotic disorder due to general medical condition  ', 'Delusional disorder  ']","[0.42965009808540344, 0.21783295273780823, 0.21738019585609436, 0.09233506768941879, 0.042801667004823685]&['Bipolar disorder, manic, with psychotic features  ', 'Brief psychotic disorder  ', 'Schizophrenia', 'Psychotic disorder due to general medical condition  ', 'Delusional disorder  ']","[0.3830038905143738, 0.2568323016166687, 0.2453048825263977, 0.08308812230825424, 0.03177081048488617]&['Schizophrenia', 'Brief psychotic disorder  ', 'Bipolar disorder, manic, with psychotic features  ', 'Psychotic disorder due to general medical condition  ', 'Delusional disorder  ']"
18,"[0.2607411742210388, 0.24859271943569183, 0.24182796478271484, 0.14720454812049866, 0.10163366794586182]&[""Allowing the couple's primary care physician to discuss most of the information with them  "", 'Allowing the parents time to tell other family members  ', 'Delaying parental distress until the information is completely disclosed  ', 'Disclosing the most important information so that it can be understood as fully as possible  ', ""Influencing the parents' course of action about what is medically most appropriate""]","[0.44542255997657776, 0.26839983463287354, 0.2551925480365753, 0.025566941127181053, 0.005418131593614817]&['Allowing the parents time to tell other family members  ', 'Disclosing the most important information so that it can be understood as fully as possible  ', 'Delaying parental distress until the information is completely disclosed  ', ""Allowing the couple's primary care physician to discuss most of the information with them  "", ""Influencing the parents' course of action about what is medically most appropriate""]","[0.4358483850955963, 0.36887747049331665, 0.11641062796115875, 0.053663041442632675, 0.025200461968779564]&['Delaying parental distress until the information is completely disclosed  ', 'Allowing the parents time to tell other family members  ', 'Disclosing the most important information so that it can be understood as fully as possible  ', ""Allowing the couple's primary care physician to discuss most of the information with them  "", ""Influencing the parents' course of action about what is medically most appropriate""]","[0.29719963669776917, 0.259760320186615, 0.1569671332836151, 0.15360713005065918, 0.13246580958366394]&['Delaying parental distress until the information is completely disclosed  ', 'Allowing the parents time to tell other family members  ', ""Allowing the couple's primary care physician to discuss most of the information with them  "", ""Influencing the parents' course of action about what is medically most appropriate"", 'Disclosing the most important information so that it can be understood as fully as possible  ']","[0.30353376269340515, 0.303080290555954, 0.16956770420074463, 0.12091299891471863, 0.1029052585363388]&[""Allowing the couple's primary care physician to discuss most of the information with them  "", 'Allowing the parents time to tell other family members  ', 'Delaying parental distress until the information is completely disclosed  ', ""Influencing the parents' course of action about what is medically most appropriate"", 'Disclosing the most important information so that it can be understood as fully as possible  ']"
