,en,es,ar,cs,de,id,ko,ja,lv,nl,it
0,"[0.38667216897010803, 0.23481588065624237, 0.22927573323249817, 0.11740133166313171, 0.03183484822511673]&['Medication use', 'BMI', 'Family history', 'Previous  fractures', 'Recent physical activity']","[0.3611048758029938, 0.21352818608283997, 0.16680531203746796, 0.13865529000759125, 0.11990635097026825]&['BMI', 'Family history', 'Previous  fractures', 'Medication use', 'Recent physical activity']","[0.5324007868766785, 0.19938993453979492, 0.09411706030368805, 0.09099526703357697, 0.08309696614742279]&['Medication use', 'Family history', 'BMI', 'Previous  fractures', 'Recent physical activity']","[0.6401654481887817, 0.14707791805267334, 0.12047523260116577, 0.05571107566356659, 0.03657035157084465]&['Medication use', 'Family history', 'Recent physical activity', 'BMI', 'Previous  fractures']","[0.30988627672195435, 0.29400399327278137, 0.1689423769712448, 0.12327738106250763, 0.10388996452093124]&['Family history', 'Medication use', 'BMI', 'Recent physical activity', 'Previous  fractures']","[0.4688901901245117, 0.27383193373680115, 0.10942067950963974, 0.08307844400405884, 0.06477873027324677]&['Medication use', 'Family history', 'Previous  fractures', 'Recent physical activity', 'BMI']","[0.4537312090396881, 0.2584517300128937, 0.15228062868118286, 0.07646636664867401, 0.05907012149691582]&['Medication use', 'Family history', 'Previous  fractures', 'Recent physical activity', 'BMI']","[0.7027057409286499, 0.24347087740898132, 0.023713910952210426, 0.018765369430184364, 0.01134415902197361]&['Family history', 'Medication use', 'Recent physical activity', 'BMI', 'Previous  fractures']","[0.6549445390701294, 0.24438568949699402, 0.057158611714839935, 0.03013475425541401, 0.013376421295106411]&['Medication use', 'Family history', 'BMI', 'Previous  fractures', 'Recent physical activity']","[0.3494100868701935, 0.28018197417259216, 0.206414595246315, 0.0937279611825943, 0.07026537507772446]&['BMI', 'Medication use', 'Family history', 'Previous  fractures', 'Recent physical activity']","[0.5135842561721802, 0.24210023880004883, 0.1261477768421173, 0.07711366564035416, 0.04105404391884804]&['Medication use', 'Family history', 'BMI', 'Previous  fractures', 'Recent physical activity']"
1,"[0.45359528064727783, 0.31104719638824463, 0.13481834530830383, 0.10053916275501251]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration']","[0.6280016303062439, 0.1648997664451599, 0.12638026475906372, 0.08071834594011307]&['Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration', 'Increased total lung capacity', 'Increased hemoglobin concentration']","[0.37587592005729675, 0.36762547492980957, 0.14867772161960602, 0.10782083868980408]&['Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration', 'Increased total lung capacity', 'Increased hemoglobin concentration']","[0.3393200635910034, 0.3076169192790985, 0.17782609164714813, 0.17523698508739471]&['Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.45392894744873047, 0.264112263917923, 0.15547427535057068, 0.12648454308509827]&['Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.6693946123123169, 0.1823483407497406, 0.11303313821554184, 0.03522387892007828]&['Decreased serum bicarbonate concentration', 'Increased total lung capacity', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration']","[0.3164920210838318, 0.24492394924163818, 0.2411147505044937, 0.1974693238735199]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity']","[0.3313356041908264, 0.2814808785915375, 0.24945929646492004, 0.1377241462469101]&['Increased total lung capacity', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy']","[0.6017383337020874, 0.22976067662239075, 0.09429918974637985, 0.07420177757740021]&['Increased total lung capacity', 'Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy']","[0.5185461044311523, 0.26744726300239563, 0.1638680100440979, 0.05013860762119293]&['Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased total lung capacity', 'Increased hemoglobin concentration']","[0.7606989741325378, 0.12572595477104187, 0.06957375258207321, 0.04400130361318588]&['Left ventricular hypertrophy', 'Decreased serum bicarbonate concentration', 'Increased total lung capacity', 'Increased hemoglobin concentration']"
2,"[0.7712455987930298, 0.181085005402565, 0.02796052396297455, 0.0161953903734684, 0.0035135347861796618]&['Nucleolar protein', 'Phospholipid', 'Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Collagen']","[0.4533168077468872, 0.3343363106250763, 0.1272764354944229, 0.04892529174685478, 0.036145199090242386]&['Phospholipid', 'Nucleolar protein', 'Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Collagen']","[0.7515197992324829, 0.2383240908384323, 0.008798820897936821, 0.0012648147530853748, 9.247937123291194e-05]&['Nucleolar protein', 'Phospholipid', 'Double -stranded DNA', 'Proteins in neutrophil cytoplasm', 'Collagen']","[0.7116595506668091, 0.08498881757259369, 0.0848035216331482, 0.07779751718044281, 0.040750548243522644]&['Nucleolar protein', 'Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Phospholipid', 'Collagen']","[0.7193967700004578, 0.11533329635858536, 0.1036718413233757, 0.061421677470207214, 0.0001764334156177938]&['Proteins in neutrophil cytoplasm', 'Phospholipid', 'Nucleolar protein', 'Double -stranded DNA', 'Collagen']","[0.776718020439148, 0.1412237584590912, 0.06191016361117363, 0.016147268936038017, 0.004000788554549217]&['Phospholipid', 'Nucleolar protein', 'Double -stranded DNA', 'Collagen', 'Proteins in neutrophil cytoplasm']","[0.5082181692123413, 0.46729713678359985, 0.01405380666255951, 0.006045085843652487, 0.0043858191929757595]&['Phospholipid', 'Nucleolar protein', 'Double -stranded DNA', 'Proteins in neutrophil cytoplasm', 'Collagen']","[0.7235128879547119, 0.11766204982995987, 0.10205531120300293, 0.04585126042366028, 0.010918577201664448]&['Nucleolar protein', 'Phospholipid', 'Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Collagen']","[0.616539478302002, 0.18714755773544312, 0.1614569127559662, 0.03218814358115196, 0.0026678896974772215]&['Phospholipid', 'Nucleolar protein', 'Double -stranded DNA', 'Proteins in neutrophil cytoplasm', 'Collagen']","[0.5784200429916382, 0.39352482557296753, 0.017423441633582115, 0.009502265602350235, 0.0011294662253931165]&['Nucleolar protein', 'Phospholipid', 'Double -stranded DNA', 'Proteins in neutrophil cytoplasm', 'Collagen']","[0.6758544445037842, 0.3070785701274872, 0.008576497435569763, 0.007434628903865814, 0.0010558526264503598]&['Nucleolar protein', 'Phospholipid', 'Double -stranded DNA', 'Proteins in neutrophil cytoplasm', 'Collagen']"
3,"[0.412737101316452, 0.28142860531806946, 0.25283578038215637, 0.05299847200512886]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.47610849142074585, 0.3481626808643341, 0.13800203800201416, 0.03772682324051857]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially']","[0.5602600574493408, 0.2093386948108673, 0.1545918583869934, 0.07580932974815369]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.5287652015686035, 0.2860894501209259, 0.1425774246454239, 0.0425679013133049]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.4481741487979889, 0.2730676531791687, 0.15538616478443146, 0.12337201088666916]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Failure of the kidneys to rotate 90 degrees medially']","[0.529914915561676, 0.25098609924316406, 0.11414263397455215, 0.10495638102293015]&['Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.4336519241333008, 0.2544230818748474, 0.1592785120010376, 0.15264645218849182]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.454645037651062, 0.369487464427948, 0.09454651176929474, 0.08132094889879227]&['Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']","[0.39425593614578247, 0.3498111069202423, 0.20917393267154694, 0.04675903543829918]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally']","[0.34408828616142273, 0.26300370693206787, 0.2140524685382843, 0.1788555532693863]&['Failure of one ureteric bud to develop normally', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Fusion of the inferior poles of the metanephros during ascent']","[0.3553100526332855, 0.29214224219322205, 0.1822483241558075, 0.17029933631420135]&['Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']"
4,"[0.5041683316230774, 0.25440990924835205, 0.10819678008556366, 0.08647973835468292, 0.04674525931477547]&['Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes']","[0.5233476758003235, 0.19036254286766052, 0.16616299748420715, 0.11196111142635345, 0.008165634237229824]&['Increased vegetable consumption  ', 'Decreased protein binding  ', 'Increased alcohol intake  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes']","[0.3866530656814575, 0.233432337641716, 0.1795099526643753, 0.15754733979701996, 0.04285731166601181]&['Increased vegetable consumption  ', 'Decreased protein binding  ', 'Eradication of gut flora  ', 'Increased alcohol intake  ', 'Induction of cytochrome enzymes']","[0.6226375699043274, 0.1937515139579773, 0.159781351685524, 0.0142094437032938, 0.009620130062103271]&['Increased vegetable consumption  ', 'Decreased protein binding  ', 'Increased alcohol intake  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes']","[0.34368160367012024, 0.24658124148845673, 0.18681100010871887, 0.1242561861872673, 0.09866996854543686]&['Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes', 'Increased alcohol intake  ']","[0.42947354912757874, 0.2618962824344635, 0.15862484276294708, 0.11475703865289688, 0.035248372703790665]&['Increased vegetable consumption  ', 'Decreased protein binding  ', 'Increased alcohol intake  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes']","[0.5109325647354126, 0.21893881261348724, 0.14389076828956604, 0.06826241314411163, 0.05797545239329338]&['Increased vegetable consumption  ', 'Decreased protein binding  ', 'Eradication of gut flora  ', 'Increased alcohol intake  ', 'Induction of cytochrome enzymes']","[0.2757571339607239, 0.22886469960212708, 0.19727641344070435, 0.19384095072746277, 0.10426084697246552]&['Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes']","[0.4117743670940399, 0.3854708969593048, 0.09438644349575043, 0.05460285395383835, 0.05376546457409859]&['Increased vegetable consumption  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes', 'Increased alcohol intake  ', 'Decreased protein binding  ']","[0.46272149682044983, 0.2665509283542633, 0.15212473273277283, 0.0826578363776207, 0.03594493865966797]&['Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes']","[0.3156066834926605, 0.2978115677833557, 0.2782459557056427, 0.08762956410646439, 0.020706111565232277]&['Increased vegetable consumption  ', 'Increased alcohol intake  ', 'Decreased protein binding  ', 'Eradication of gut flora  ', 'Induction of cytochrome enzymes']"
5,"[0.6659787893295288, 0.12084149569272995, 0.12038936465978622, 0.06498142331838608, 0.027808869257569313]&['Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'HIV infection  ', 'Streptococcal pharyngitis', 'Epstein -Barr virus infection  ']","[0.5195836424827576, 0.37672486901283264, 0.04465639591217041, 0.039915796369314194, 0.019119199365377426]&['HIV infection  ', 'Lymphogranuloma venereum infection  ', 'Streptococcal pharyngitis', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ']","[0.389208048582077, 0.27134889364242554, 0.17459771037101746, 0.1271553486585617, 0.0376899391412735]&['Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Streptococcal pharyngitis', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ']","[0.5360490083694458, 0.1792891025543213, 0.14047715067863464, 0.10314323753118515, 0.04104146361351013]&['Lymphogranuloma venereum infection  ', 'Streptococcal pharyngitis', 'HIV infection  ', 'Epstein -Barr virus infection  ', 'Gonococcal pharyngitis  ']","[0.42334094643592834, 0.34629130363464355, 0.1270100325345993, 0.07211966812610626, 0.031238026916980743]&['Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Streptococcal pharyngitis', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ']","[0.6527014374732971, 0.2500450015068054, 0.04617330804467201, 0.0375395342707634, 0.013540638610720634]&['HIV infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis', 'Epstein -Barr virus infection  ']","[0.6344162821769714, 0.21359269320964813, 0.07338502258062363, 0.060770709067583084, 0.01783524453639984]&['Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis', 'Epstein -Barr virus infection  ']","[0.3822571933269501, 0.277476966381073, 0.1910860240459442, 0.09564569592475891, 0.05353410542011261]&['Lymphogranuloma venereum infection  ', 'Streptococcal pharyngitis', 'HIV infection  ', 'Epstein -Barr virus infection  ', 'Gonococcal pharyngitis  ']","[0.514261782169342, 0.24556110799312592, 0.11875803768634796, 0.06260891258716583, 0.058810122311115265]&['Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Streptococcal pharyngitis', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ']","[0.4614066183567047, 0.3607688546180725, 0.10763482004404068, 0.05255534499883652, 0.017634430900216103]&['Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Streptococcal pharyngitis', 'Epstein -Barr virus infection  ']","[0.5656535029411316, 0.23881733417510986, 0.08978796005249023, 0.05526511371135712, 0.050476036965847015]&['Lymphogranuloma venereum infection  ', 'Streptococcal pharyngitis', 'HIV infection  ', 'Gonococcal pharyngitis  ', 'Epstein -Barr virus infection  ']"
6,"[0.39628520607948303, 0.28675830364227295, 0.18147611618041992, 0.08522126078605652, 0.05025910213589668]&['Optic neuritis  ', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment']","[0.2939046025276184, 0.245723158121109, 0.19743360579013824, 0.15603746473789215, 0.10690123587846756]&['Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ']","[0.892874538898468, 0.05223795026540756, 0.034843407571315765, 0.0100840013474226, 0.00996005441993475]&['Optic neuritis  ', 'Melanocytes in the uvea  ', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Tractional retinal detachment']","[0.730097234249115, 0.1142791137099266, 0.08381526917219162, 0.05218788981437683, 0.01962048001587391]&['Optic neuritis  ', 'Melanocytes in the uvea  ', 'Arteriovenous nicking  ', 'Tractional retinal detachment', 'Posterior subcapsular cataracts  ']","[0.7414068579673767, 0.10124407708644867, 0.0827300176024437, 0.03798289969563484, 0.03663617745041847]&['Optic neuritis  ', 'Melanocytes in the uvea  ', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Tractional retinal detachment']","[0.5047769546508789, 0.24398203194141388, 0.12839235365390778, 0.06697678565979004, 0.05587194487452507]&['Arteriovenous nicking  ', 'Tractional retinal detachment', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ']","[0.43752482533454895, 0.4174840450286865, 0.053448427468538284, 0.05129094421863556, 0.04025173559784889]&['Melanocytes in the uvea  ', 'Optic neuritis  ', 'Tractional retinal detachment', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ']","[0.3726048469543457, 0.25995486974716187, 0.25428417325019836, 0.07680729776620865, 0.0363488495349884]&['Arteriovenous nicking  ', 'Tractional retinal detachment', 'Melanocytes in the uvea  ', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ']","[0.6232306361198425, 0.2373594343662262, 0.06585824489593506, 0.0384540893137455, 0.0350976400077343]&['Optic neuritis  ', 'Melanocytes in the uvea  ', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ', 'Tractional retinal detachment']","[0.6669858694076538, 0.20547570288181305, 0.06202344596385956, 0.03624482825398445, 0.02927008457481861]&['Optic neuritis  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ', 'Posterior subcapsular cataracts  ', 'Tractional retinal detachment']","[0.44799497723579407, 0.36189576983451843, 0.07395832985639572, 0.06583251804113388, 0.050318460911512375]&['Optic neuritis  ', 'Melanocytes in the uvea  ', 'Tractional retinal detachment', 'Arteriovenous nicking  ', 'Posterior subcapsular cataracts  ']"
7,"[0.6242002844810486, 0.1402028203010559, 0.11908403038978577, 0.1126779168844223, 0.0038349067326635122]&['Switch the omeprazole to pantoprazole', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ']","[0.7044857144355774, 0.22361227869987488, 0.05938302353024483, 0.008429835550487041, 0.004089165944606066]&['Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ']","[0.7692784667015076, 0.14236582815647125, 0.05136813223361969, 0.03342190384864807, 0.003565700026229024]&['Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ']","[0.7666471600532532, 0.15949319303035736, 0.050365135073661804, 0.015282763168215752, 0.008211725391447544]&['Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole', 'Order an upper endoscopy  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ']","[0.42610618472099304, 0.3421774208545685, 0.1399284154176712, 0.07061966508626938, 0.021168338134884834]&['Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Switch the omeprazole to pantoprazole']","[0.6655418872833252, 0.2596413195133209, 0.04776083678007126, 0.02517293207347393, 0.0018831335473805666]&['Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ']","[0.7631936073303223, 0.22086940705776215, 0.009313284419476986, 0.0057577164843678474, 0.0008660706807859242]&['Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole', 'Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ']","[0.9198322296142578, 0.06401477009057999, 0.006046896800398827, 0.006000829394906759, 0.0041052731685340405]&['Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole', 'Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ']","[0.4505195617675781, 0.3871344327926636, 0.1396450251340866, 0.020557230338454247, 0.0021438158582895994]&['Switch the omeprazole to pantoprazole', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ']","[0.9182568788528442, 0.05626750364899635, 0.011224514804780483, 0.009002766571938992, 0.005248361267149448]&['Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Switch the omeprazole to pantoprazole', 'Order an upper endoscopy  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ']","[0.6681824922561646, 0.22696028649806976, 0.07212089747190475, 0.03176219016313553, 0.0009742461261339486]&['Ask the patient how much he is eating and drinking during the holidays  ', 'Switch the omeprazole to pantoprazole', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ', 'Order an upper endoscopy  ']"
8,"[0.6757011413574219, 0.2192489355802536, 0.07143077254295349, 0.019981632009148598, 0.013637490570545197]&['Glutamine  ', 'Phenylalanine  ', 'Cysteine  ', 'Methionine  ', 'Tyrosine']","[0.7130019664764404, 0.1639764904975891, 0.11241833865642548, 0.007737789303064346, 0.0028654239140450954]&['Glutamine  ', 'Phenylalanine  ', 'Cysteine  ', 'Tyrosine', 'Methionine  ']","[0.6504995822906494, 0.2881231904029846, 0.047307588160037994, 0.007499888073652983, 0.006569729186594486]&['Phenylalanine  ', 'Cysteine  ', 'Glutamine  ', 'Methionine  ', 'Tyrosine']","[0.4405660033226013, 0.3124951720237732, 0.21571031212806702, 0.021378176286816597, 0.00985028501600027]&['Cysteine  ', 'Phenylalanine  ', 'Glutamine  ', 'Methionine  ', 'Tyrosine']","[0.4799867868423462, 0.4484981894493103, 0.06404796987771988, 0.006470987107604742, 0.000996068469248712]&['Cysteine  ', 'Phenylalanine  ', 'Glutamine  ', 'Tyrosine', 'Methionine  ']","[0.39494356513023376, 0.3711528182029724, 0.19921287894248962, 0.019513817504048347, 0.015176944434642792]&['Cysteine  ', 'Phenylalanine  ', 'Glutamine  ', 'Tyrosine', 'Methionine  ']","[0.5227948427200317, 0.39402061700820923, 0.0738343745470047, 0.0050963847897946835, 0.004253726452589035]&['Phenylalanine  ', 'Glutamine  ', 'Cysteine  ', 'Tyrosine', 'Methionine  ']","[0.5743339657783508, 0.19908539950847626, 0.14622196555137634, 0.055294010788202286, 0.02506464719772339]&['Phenylalanine  ', 'Glutamine  ', 'Cysteine  ', 'Tyrosine', 'Methionine  ']","[0.5815420746803284, 0.2992861568927765, 0.07605021446943283, 0.03940790146589279, 0.003713657148182392]&['Phenylalanine  ', 'Cysteine  ', 'Glutamine  ', 'Tyrosine', 'Methionine  ']","[0.5247661471366882, 0.3475928008556366, 0.12147832661867142, 0.0031479259487241507, 0.0030147952493280172]&['Glutamine  ', 'Phenylalanine  ', 'Cysteine  ', 'Methionine  ', 'Tyrosine']","[0.42124322056770325, 0.30066731572151184, 0.17974364757537842, 0.06447314471006393, 0.033872704952955246]&['Cysteine  ', 'Phenylalanine  ', 'Glutamine  ', 'Methionine  ', 'Tyrosine']"
9,"[0.3207128345966339, 0.29636144638061523, 0.11505181342363358, 0.1099591925740242, 0.07876157015562057, 0.06834650039672852, 0.010806627571582794]&['Superior mesenteric artery  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Left colic vein  ', 'Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Superior vena cava']","[0.29910004138946533, 0.21875452995300293, 0.16895200312137604, 0.162157341837883, 0.11796585470438004, 0.025359340012073517, 0.007710907608270645]&['Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Middle colic artery  ', 'Left colic vein  ', 'Pulmonary vein  ', 'Inferior vena cava  ', 'Superior vena cava']","[0.3637450039386749, 0.24374888837337494, 0.14866358041763306, 0.11070891469717026, 0.10097727924585342, 0.017530374228954315, 0.014625916257500648]&['Superior mesenteric artery  ', 'Inferior mesenteric vein  ', 'Middle colic artery  ', 'Pulmonary vein  ', 'Left colic vein  ', 'Inferior vena cava  ', 'Superior vena cava']","[0.3921130895614624, 0.1640133559703827, 0.1411151885986328, 0.1265978068113327, 0.06936295330524445, 0.0601017102599144, 0.04669594019651413]&['Pulmonary vein  ', 'Superior mesenteric artery  ', 'Inferior mesenteric vein  ', 'Left colic vein  ', 'Middle colic artery  ', 'Inferior vena cava  ', 'Superior vena cava']","[0.4455235004425049, 0.13224497437477112, 0.12930817902088165, 0.09541792422533035, 0.08388300240039825, 0.0569104366004467, 0.05671197548508644]&['Pulmonary vein  ', 'Left colic vein  ', 'Superior mesenteric artery  ', 'Inferior mesenteric vein  ', 'Middle colic artery  ', 'Superior vena cava', 'Inferior vena cava  ']","[0.2814042270183563, 0.16031277179718018, 0.1447446644306183, 0.13122397661209106, 0.1273222118616104, 0.07825399190187454, 0.07673816382884979]&['Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Left colic vein  ', 'Middle colic artery  ', 'Inferior vena cava  ', 'Superior vena cava']","[0.2943165600299835, 0.2604919373989105, 0.16728568077087402, 0.09070707857608795, 0.07601858675479889, 0.06795700639486313, 0.043223123997449875]&['Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Inferior vena cava  ', 'Middle colic artery  ', 'Left colic vein  ', 'Superior vena cava']","[0.4476949870586395, 0.14971038699150085, 0.14388765394687653, 0.11442127078771591, 0.09880634397268295, 0.025545211508870125, 0.019934071227908134]&['Superior mesenteric artery  ', 'Pulmonary vein  ', 'Left colic vein  ', 'Inferior mesenteric vein  ', 'Middle colic artery  ', 'Superior vena cava', 'Inferior vena cava  ']","[0.2811649739742279, 0.26646825671195984, 0.21869082748889923, 0.10287195444107056, 0.09157784283161163, 0.035613372921943665, 0.0036128631327301264]&['Inferior vena cava  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Middle colic artery  ', 'Left colic vein  ', 'Superior vena cava']","[0.2371399849653244, 0.23617370426654816, 0.20372241735458374, 0.1533312052488327, 0.08755172789096832, 0.06540317833423615, 0.0166777353733778]&['Middle colic artery  ', 'Superior mesenteric artery  ', 'Pulmonary vein  ', 'Inferior mesenteric vein  ', 'Inferior vena cava  ', 'Left colic vein  ', 'Superior vena cava']","[0.28181856870651245, 0.28077471256256104, 0.15717139840126038, 0.13617825508117676, 0.09641899168491364, 0.027623794972896576, 0.020014237612485886]&['Middle colic artery  ', 'Superior mesenteric artery  ', 'Inferior mesenteric vein  ', 'Pulmonary vein  ', 'Left colic vein  ', 'Inferior vena cava  ', 'Superior vena cava']"
