,Original,Below Basic,Basic,Intermediate,Advanced
0,"[0.34981080889701843, 0.2625258266925812, 0.23057161271572113, 0.09402010589838028, 0.06307163089513779]&['Family history', 'Recent physical activity', 'Previous  fractures', 'Medication use', 'BMI']","[0.42396584153175354, 0.2648477554321289, 0.1987553834915161, 0.09896475076675415, 0.013466245494782925]&['Previous  fractures', 'Recent physical activity', 'Medication use', 'Family history', 'BMI']","[0.34794721007347107, 0.3044620752334595, 0.17118754982948303, 0.1389385610818863, 0.03746459260582924]&['Medication use', 'Previous  fractures', 'Family history', 'Recent physical activity', 'BMI']","[0.43290743231773376, 0.260497510433197, 0.16779714822769165, 0.12207254767417908, 0.016725368797779083]&['Previous  fractures', 'Recent physical activity', 'Medication use', 'Family history', 'BMI']","[0.5691835880279541, 0.17431634664535522, 0.1622738242149353, 0.06813506782054901, 0.02609115093946457]&['Previous  fractures', 'Family history', 'Recent physical activity', 'Medication use', 'BMI']"
1,"[0.5496664643287659, 0.16735781729221344, 0.15040309727191925, 0.13257254660129547]&['Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration', 'Left ventricular hypertrophy', 'Increased total lung capacity']","[0.40726733207702637, 0.3194895386695862, 0.182841494679451, 0.09040164202451706]&['Decreased serum bicarbonate concentration', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy', 'Increased total lung capacity']","[0.31633782386779785, 0.2542168200016022, 0.23925891518592834, 0.19018644094467163]&['Increased hemoglobin concentration', 'Decreased serum bicarbonate concentration', 'Increased total lung capacity', 'Left ventricular hypertrophy']","[0.32199522852897644, 0.25873565673828125, 0.2244158685207367, 0.1948532909154892]&['Left ventricular hypertrophy', 'Increased hemoglobin concentration', 'Increased total lung capacity', 'Decreased serum bicarbonate concentration']","[0.3373390734195709, 0.31716299057006836, 0.22968532145023346, 0.11581265181303024]&['Decreased serum bicarbonate concentration', 'Increased total lung capacity', 'Increased hemoglobin concentration', 'Left ventricular hypertrophy']"
2,"[0.6545652747154236, 0.18599575757980347, 0.09404778480529785, 0.04425632208585739, 0.021134814247488976]&['Double -stranded DNA', 'Nucleolar protein', 'Collagen', 'Phospholipid', 'Proteins in neutrophil cytoplasm']","[0.34100738167762756, 0.2134971171617508, 0.20585931837558746, 0.1959439516067505, 0.043692272156476974]&['Proteins in neutrophil cytoplasm', 'Double -stranded DNA', 'Nucleolar protein', 'Phospholipid', 'Collagen']","[0.3631892204284668, 0.2507241666316986, 0.1947021782398224, 0.1339680403470993, 0.0574164092540741]&['Double -stranded DNA', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Phospholipid', 'Collagen']","[0.44170790910720825, 0.21352779865264893, 0.15800032019615173, 0.13744565844535828, 0.04931828752160072]&['Double -stranded DNA', 'Phospholipid', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Collagen']","[0.34861549735069275, 0.24262383580207825, 0.21855995059013367, 0.11998265981674194, 0.07021808624267578]&['Double -stranded DNA', 'Phospholipid', 'Proteins in neutrophil cytoplasm', 'Nucleolar protein', 'Collagen']"
3,"[0.4207317531108856, 0.27149760723114014, 0.18427954614162445, 0.12349113076925278]&['Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']","[0.34165510535240173, 0.2622794806957245, 0.24140886962413788, 0.1546565592288971]&['Fusion of the inferior poles of the metanephros during ascent', 'Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Failure of one ureteric bud to develop normally']","[0.29817888140678406, 0.28708407282829285, 0.25672218203544617, 0.15801489353179932]&['Failure of normal kidney ascent', 'Failure of the kidneys to rotate 90 degrees medially', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally']","[0.35072144865989685, 0.2889120876789093, 0.20813536643981934, 0.1522310972213745]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Fusion of the inferior poles of the metanephros during ascent', 'Failure of one ureteric bud to develop normally']","[0.36095744371414185, 0.35850876569747925, 0.17000076174736023, 0.11053308099508286]&['Failure of the kidneys to rotate 90 degrees medially', 'Failure of normal kidney ascent', 'Failure of one ureteric bud to develop normally', 'Fusion of the inferior poles of the metanephros during ascent']"
4,"[0.4592970609664917, 0.40042421221733093, 0.09469302743673325, 0.03174778074026108, 0.013837906531989574]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']","[0.34158679842948914, 0.3035039007663727, 0.2610582709312439, 0.07392963767051697, 0.0199214406311512]&['Induction of cytochrome enzymes', 'Decreased protein binding  ', 'Eradication of gut flora  ', 'Increased vegetable consumption  ', 'Increased alcohol intake  ']","[0.3439991772174835, 0.28981417417526245, 0.21599668264389038, 0.10361707210540771, 0.04657283052802086]&['Eradication of gut flora  ', 'Induction of cytochrome enzymes', 'Decreased protein binding  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ']","[0.439266562461853, 0.21115562319755554, 0.1896596997976303, 0.10298552364110947, 0.056932639330625534]&['Eradication of gut flora  ', 'Decreased protein binding  ', 'Induction of cytochrome enzymes', 'Increased alcohol intake  ', 'Increased vegetable consumption  ']","[0.5432124137878418, 0.28225985169410706, 0.10967474430799484, 0.053790561854839325, 0.011062395758926868]&['Induction of cytochrome enzymes', 'Eradication of gut flora  ', 'Decreased protein binding  ', 'Increased alcohol intake  ', 'Increased vegetable consumption  ']"
5,"[0.6082547903060913, 0.1438727080821991, 0.10760338604450226, 0.09374800324440002, 0.046521056443452835]&['Streptococcal pharyngitis', 'Lymphogranuloma venereum infection  ', 'Epstein -Barr virus infection  ', 'HIV infection  ', 'Gonococcal pharyngitis  ']","[0.40837275981903076, 0.19754749536514282, 0.18143531680107117, 0.1137891486287117, 0.09885527193546295]&['Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ', 'Streptococcal pharyngitis', 'Gonococcal pharyngitis  ', 'HIV infection  ']","[0.3186882436275482, 0.2351676970720291, 0.19888684153556824, 0.17836198210716248, 0.06889522820711136]&['Lymphogranuloma venereum infection  ', 'HIV infection  ', 'Streptococcal pharyngitis', 'Epstein -Barr virus infection  ', 'Gonococcal pharyngitis  ']","[0.2604198157787323, 0.25715985894203186, 0.2248867154121399, 0.129203662276268, 0.12832987308502197]&['Streptococcal pharyngitis', 'Epstein -Barr virus infection  ', 'Lymphogranuloma venereum infection  ', 'Gonococcal pharyngitis  ', 'HIV infection  ']","[0.2886776924133301, 0.2633852958679199, 0.21253535151481628, 0.1736738681793213, 0.06172790378332138]&['HIV infection  ', 'Lymphogranuloma venereum infection  ', 'Streptococcal pharyngitis', 'Epstein -Barr virus infection  ', 'Gonococcal pharyngitis  ']"
6,"[0.7000457048416138, 0.16783209145069122, 0.05845982953906059, 0.040631357580423355, 0.033031001687049866]&['Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Optic neuritis  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ']","[0.4959622025489807, 0.2748993933200836, 0.13681936264038086, 0.054573848843574524, 0.03774517402052879]&['Optic neuritis  ', 'Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Arteriovenous nicking  ']","[0.37752729654312134, 0.34348249435424805, 0.12683327496051788, 0.09270460158586502, 0.05945231765508652]&['Tractional retinal detachment', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Arteriovenous nicking  ']","[0.7666954398155212, 0.10993143916130066, 0.0733230710029602, 0.039126522839069366, 0.010923526249825954]&['Tractional retinal detachment', 'Posterior subcapsular cataracts  ', 'Optic neuritis  ', 'Arteriovenous nicking  ', 'Melanocytes in the uvea  ']","[0.36148515343666077, 0.31437820196151733, 0.1865735799074173, 0.09139689058065414, 0.04616611823439598]&['Tractional retinal detachment', 'Optic neuritis  ', 'Posterior subcapsular cataracts  ', 'Melanocytes in the uvea  ', 'Arteriovenous nicking  ']"
7,"[0.5072606205940247, 0.32515159249305725, 0.11073976010084152, 0.05606302246451378, 0.0007849913672544062]&['Switch the omeprazole to pantoprazole', 'Order an upper endoscopy  ', 'Refer the patient to a gastroenterologist  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ']","[0.8122066855430603, 0.07543987780809402, 0.07418657094240189, 0.030514445155858994, 0.007652441971004009]&['Switch the omeprazole to pantoprazole', 'Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ']","[0.9507290124893188, 0.0223447997123003, 0.013953023590147495, 0.010997856967151165, 0.0019752858206629753]&['Switch the omeprazole to pantoprazole', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Order an upper endoscopy  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ']","[0.8736392259597778, 0.06384912133216858, 0.029516953974962234, 0.02641073614358902, 0.006583948154002428]&['Switch the omeprazole to pantoprazole', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ']","[0.6168563961982727, 0.19062727689743042, 0.16639168560504913, 0.024806471541523933, 0.0013182188849896193]&['Switch the omeprazole to pantoprazole', 'Order an upper endoscopy  ', 'Ask the patient how much he is eating and drinking during the holidays  ', 'Refer the patient to a gastroenterologist  ', 'Explain the hazards of untreated reflux in the presence of Barrett esophagus  ']"
8,"[0.37352675199508667, 0.20381876826286316, 0.19465017318725586, 0.1291138231754303, 0.09889048337936401]&['Phenylalanine  ', 'Glutamine  ', 'Tyrosine', 'Cysteine  ', 'Methionine  ']","[0.4788881838321686, 0.3243872821331024, 0.08433499187231064, 0.05696265399456024, 0.055426936596632004]&['Tyrosine', 'Phenylalanine  ', 'Methionine  ', 'Cysteine  ', 'Glutamine  ']","[0.41590210795402527, 0.31485944986343384, 0.15913325548171997, 0.060675252228975296, 0.04942998290061951]&['Phenylalanine  ', 'Tyrosine', 'Glutamine  ', 'Cysteine  ', 'Methionine  ']","[0.5983705520629883, 0.23467031121253967, 0.10730158537626266, 0.033085085451602936, 0.026572490110993385]&['Phenylalanine  ', 'Tyrosine', 'Glutamine  ', 'Cysteine  ', 'Methionine  ']","[0.4834900498390198, 0.28062903881073, 0.1340670883655548, 0.052716415375471115, 0.04909740015864372]&['Phenylalanine  ', 'Tyrosine', 'Glutamine  ', 'Methionine  ', 'Cysteine  ']"
9,"[0.6356803178787231, 0.14805608987808228, 0.10895129293203354, 0.04899111017584801, 0.04252579063177109, 0.011988741345703602, 0.003806677646934986]&['Superior vena cava', 'Inferior vena cava  ', 'Middle colic artery  ', 'Left colic vein  ', 'Superior mesenteric artery  ', 'Inferior mesenteric vein  ', 'Pulmonary vein  ']","[0.34123528003692627, 0.18152518570423126, 0.14776016771793365, 0.13162218034267426, 0.08417708426713943, 0.07921963185071945, 0.03446047008037567]&['Superior vena cava', 'Middle colic artery  ', 'Pulmonary vein  ', 'Inferior vena cava  ', 'Left colic vein  ', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ']","[0.35791483521461487, 0.18832963705062866, 0.15516212582588196, 0.12852245569229126, 0.09350333362817764, 0.041307393461465836, 0.0352601520717144]&['Superior vena cava', 'Inferior mesenteric vein  ', 'Superior mesenteric artery  ', 'Middle colic artery  ', 'Pulmonary vein  ', 'Left colic vein  ', 'Inferior vena cava  ']","[0.495739609003067, 0.1609114408493042, 0.15172269940376282, 0.08825235068798065, 0.04383382201194763, 0.03190279006958008, 0.027637263759970665]&['Superior vena cava', 'Superior mesenteric artery  ', 'Middle colic artery  ', 'Inferior mesenteric vein  ', 'Pulmonary vein  ', 'Inferior vena cava  ', 'Left colic vein  ']","[0.5328728556632996, 0.10142403095960617, 0.09960165619850159, 0.09532704949378967, 0.09274762868881226, 0.04420892894268036, 0.03381786122918129]&['Superior vena cava', 'Middle colic artery  ', 'Left colic vein  ', 'Pulmonary vein  ', 'Superior mesenteric artery  ', 'Inferior mesenteric vein  ', 'Inferior vena cava  ']"
